,ID,Province_State,Date,Confirmed,Deaths
0,0,Alabama,04-12-2020,3563,93
50,50,Alabama,04-13-2020,3734,99
100,100,Alabama,04-14-2020,3953,114
150,150,Alabama,04-15-2020,4075,118
200,200,Alabama,04-16-2020,4345,133
250,250,Alabama,04-17-2020,4571,148
300,300,Alabama,04-18-2020,4712,153
350,350,Alabama,04-19-2020,4888,157
400,400,Alabama,04-20-2020,5079,163
450,450,Alabama,04-21-2020,5317,183
500,500,Alabama,04-22-2020,5593,196
550,550,Alabama,04-23-2020,5832,202
600,600,Alabama,04-24-2020,6026,209
650,650,Alabama,04-25-2020,6026,209
700,700,Alabama,04-26-2020,6421,219
750,750,Alabama,04-27-2020,6539,228
800,800,Alabama,04-28-2020,6750,242
850,850,Alabama,04-29-2020,6912,256
900,900,Alabama,04-30-2020,7088,272
950,950,Alabama,05-01-2020,7294,289
1000,1000,Alabama,05-02-2020,7611,288
1050,1050,Alabama,05-03-2020,7888,290
1100,1100,Alabama,05-04-2020,8112,298
1150,1150,Alabama,05-05-2020,8437,315
1200,1200,Alabama,05-06-2020,8691,343
1250,1250,Alabama,05-07-2020,9046,369
1300,1300,Alabama,05-08-2020,9385,383
1350,1350,Alabama,05-09-2020,9668,390
1400,1400,Alabama,05-10-2020,9889,393
1450,1450,Alabama,05-11-2020,10164,403
1500,1500,Alabama,05-12-2020,10464,435
1550,1550,Alabama,05-13-2020,10700,450
1600,1600,Alabama,05-14-2020,11101,473
1650,1650,Alabama,05-15-2020,11373,483
1700,1700,Alabama,05-16-2020,11674,485
1750,1750,Alabama,05-17-2020,11771,488
1800,1800,Alabama,05-18-2020,12086,489
1850,1850,Alabama,05-19-2020,12376,504
1900,1900,Alabama,05-20-2020,13052,522
1950,1950,Alabama,05-21-2020,13288,529
2000,2000,Alabama,05-22-2020,13670,541
2050,2050,Alabama,05-23-2020,14117,549
2100,2100,Alabama,05-24-2020,14478,551
2150,2150,Alabama,05-25-2020,14986,566
2200,2200,Alabama,05-26-2020,15650,580
2250,2250,Alabama,05-27-2020,16032,583
2300,2300,Alabama,05-28-2020,16530,591
