,ID,Province_State,Date,Confirmed,Deaths
1,1,Alaska,04-12-2020,272,8
51,51,Alaska,04-13-2020,277,8
101,101,Alaska,04-14-2020,285,9
151,151,Alaska,04-15-2020,293,9
201,201,Alaska,04-16-2020,300,9
251,251,Alaska,04-17-2020,309,9
301,301,Alaska,04-18-2020,314,9
351,351,Alaska,04-19-2020,319,9
401,401,Alaska,04-20-2020,321,9
451,451,Alaska,04-21-2020,329,9
501,501,Alaska,04-22-2020,335,9
551,551,Alaska,04-23-2020,337,9
601,601,Alaska,04-24-2020,339,9
651,651,Alaska,04-25-2020,339,9
701,701,Alaska,04-26-2020,340,9
751,751,Alaska,04-27-2020,345,9
801,801,Alaska,04-28-2020,351,9
851,851,Alaska,04-29-2020,355,9
901,901,Alaska,04-30-2020,355,9
951,951,Alaska,05-01-2020,364,9
1001,1001,Alaska,05-02-2020,365,9
1051,1051,Alaska,05-03-2020,368,9
1101,1101,Alaska,05-04-2020,370,9
1151,1151,Alaska,05-05-2020,371,9
1201,1201,Alaska,05-06-2020,372,10
1251,1251,Alaska,05-07-2020,374,10
1301,1301,Alaska,05-08-2020,377,10
1351,1351,Alaska,05-09-2020,378,10
1401,1401,Alaska,05-10-2020,379,10
1451,1451,Alaska,05-11-2020,379,10
1501,1501,Alaska,05-12-2020,383,10
1551,1551,Alaska,05-13-2020,383,10
1601,1601,Alaska,05-14-2020,383,10
1651,1651,Alaska,05-15-2020,388,10
1701,1701,Alaska,05-16-2020,388,10
1751,1751,Alaska,05-17-2020,388,10
1801,1801,Alaska,05-18-2020,388,10
1851,1851,Alaska,05-19-2020,400,10
1901,1901,Alaska,05-20-2020,401,10
1951,1951,Alaska,05-21-2020,401,10
2001,2001,Alaska,05-22-2020,403,10
2051,2051,Alaska,05-23-2020,407,10
2101,2101,Alaska,05-24-2020,407,10
2151,2151,Alaska,05-25-2020,408,10
2201,2201,Alaska,05-26-2020,410,10
2251,2251,Alaska,05-27-2020,411,10
2301,2301,Alaska,05-28-2020,424,10
2351,2351,Alaska,05-29-2020,429,10
2401,2401,Alaska,05-30-2020,433,10
2451,2451,Alaska,05-31-2020,459,10
2501,2501,Alaska,06-01-2020,466,10
2551,2551,Alaska,06-02-2020,486,10
2601,2601,Alaska,06-03-2020,504,10
2651,2651,Alaska,06-04-2020,512,10
2701,2701,Alaska,06-05-2020,523,10
2751,2751,Alaska,06-06-2020,535,10
2801,2801,Alaska,06-07-2020,543,10
2851,2851,Alaska,06-08-2020,562,10
2901,2901,Alaska,06-09-2020,572,11
2951,2951,Alaska,06-10-2020,592,11
3001,3001,Alaska,06-11-2020,609,11
3051,3051,Alaska,06-12-2020,624,12
3101,3101,Alaska,06-13-2020,653,12
3151,3151,Alaska,06-14-2020,660,12
3201,3201,Alaska,06-15-2020,663,12
3251,3251,Alaska,06-16-2020,675,12
3301,3301,Alaska,06-17-2020,695,12
3351,3351,Alaska,06-18-2020,707,12
3401,3401,Alaska,06-19-2020,720,12
3451,3451,Alaska,06-20-2020,741,12
3501,3501,Alaska,06-21-2020,752,12
3551,3551,Alaska,06-22-2020,758,12
3601,3601,Alaska,06-23-2020,760,12
3651,3651,Alaska,06-24-2020,789,12
3701,3701,Alaska,06-25-2020,813,12
3751,3751,Alaska,06-26-2020,833,14
3801,3801,Alaska,06-27-2020,851,14
3851,3851,Alaska,06-28-2020,880,14
