,ID,Province_State,Date,Confirmed,Deaths
2,2,Arizona,04-12-2020,3542,115
52,52,Arizona,04-13-2020,3705,122
102,102,Arizona,04-14-2020,3809,131
152,152,Arizona,04-15-2020,3964,142
202,202,Arizona,04-16-2020,4237,150
252,252,Arizona,04-17-2020,4511,169
302,302,Arizona,04-18-2020,4724,180
352,352,Arizona,04-19-2020,4933,184
402,402,Arizona,04-20-2020,5068,191
452,452,Arizona,04-21-2020,5256,208
502,502,Arizona,04-22-2020,5473,231
552,552,Arizona,04-23-2020,5772,249
602,602,Arizona,04-24-2020,6045,266
652,652,Arizona,04-25-2020,6286,273
702,702,Arizona,04-26-2020,6534,275
752,752,Arizona,04-27-2020,6725,275
802,802,Arizona,04-28-2020,6955,275
852,852,Arizona,04-29-2020,7209,308
902,902,Arizona,04-30-2020,7655,320
952,952,Arizona,05-01-2020,7969,330
1002,1002,Arizona,05-02-2020,8364,330
1052,1052,Arizona,05-03-2020,8640,362
1102,1102,Arizona,05-04-2020,8924,362
1152,1152,Arizona,05-05-2020,9305,395
1202,1202,Arizona,05-06-2020,9707,426
1252,1252,Arizona,05-07-2020,9945,450
1302,1302,Arizona,05-08-2020,10526,517
1352,1352,Arizona,05-09-2020,10960,532
1402,1402,Arizona,05-10-2020,11119,536
1452,1452,Arizona,05-11-2020,11383,542
1502,1502,Arizona,05-12-2020,11736,562
1552,1552,Arizona,05-13-2020,12216,595
1602,1602,Arizona,05-14-2020,12674,624
1652,1652,Arizona,05-15-2020,13169,651
1702,1702,Arizona,05-16-2020,13666,679
1752,1752,Arizona,05-17-2020,13945,680
1802,1802,Arizona,05-18-2020,14208,687
1852,1852,Arizona,05-19-2020,14576,705
1902,1902,Arizona,05-20-2020,14906,747
1952,1952,Arizona,05-21-2020,15348,764
2002,2002,Arizona,05-22-2020,15624,775
2052,2052,Arizona,05-23-2020,16053,801
2102,2102,Arizona,05-24-2020,16377,801
2152,2152,Arizona,05-25-2020,16575,807
2202,2202,Arizona,05-26-2020,16864,810
2252,2252,Arizona,05-27-2020,17318,834
2302,2302,Arizona,05-28-2020,17877,860
2352,2352,Arizona,05-29-2020,18472,886
2402,2402,Arizona,05-30-2020,19258,904
2452,2452,Arizona,05-31-2020,19936,907
2502,2502,Arizona,06-01-2020,20129,918
2552,2552,Arizona,06-02-2020,21264,943
2602,2602,Arizona,06-03-2020,22356,983
2652,2652,Arizona,06-04-2020,22886,999
2702,2702,Arizona,06-05-2020,24439,1015
