,ID,Province_State,Date,Confirmed,Deaths
3,3,Arkansas,04-12-2020,1280,27
53,53,Arkansas,04-13-2020,1410,29
103,103,Arkansas,04-14-2020,1498,32
153,153,Arkansas,04-15-2020,1569,33
203,203,Arkansas,04-16-2020,1620,37
253,253,Arkansas,04-17-2020,1695,37
303,303,Arkansas,04-18-2020,1744,38
353,353,Arkansas,04-19-2020,1781,39
403,403,Arkansas,04-20-2020,1973,41
453,453,Arkansas,04-21-2020,1990,42
503,503,Arkansas,04-22-2020,2276,42
553,553,Arkansas,04-23-2020,2599,45
603,603,Arkansas,04-24-2020,2810,47
653,653,Arkansas,04-25-2020,2911,48
703,703,Arkansas,04-26-2020,3001,51
753,753,Arkansas,04-27-2020,3069,51
803,803,Arkansas,04-28-2020,3127,57
853,853,Arkansas,04-29-2020,3193,57
903,903,Arkansas,04-30-2020,3281,61
953,953,Arkansas,05-01-2020,3337,64
1003,1003,Arkansas,05-02-2020,3372,72
1053,1053,Arkansas,05-03-2020,3437,76
1103,1103,Arkansas,05-04-2020,3491,80
1153,1153,Arkansas,05-05-2020,3525,83
1203,1203,Arkansas,05-06-2020,3611,87
1253,1253,Arkansas,05-07-2020,3703,87
1303,1303,Arkansas,05-08-2020,3747,88
1353,1353,Arkansas,05-09-2020,3747,88
1403,1403,Arkansas,05-10-2020,4012,91
1453,1453,Arkansas,05-11-2020,4043,94
1503,1503,Arkansas,05-12-2020,4164,95
1553,1553,Arkansas,05-13-2020,4236,97
1603,1603,Arkansas,05-14-2020,4366,98
1653,1653,Arkansas,05-15-2020,4463,98
1703,1703,Arkansas,05-16-2020,4578,98
1753,1753,Arkansas,05-17-2020,4759,98
1803,1803,Arkansas,05-18-2020,4813,100
1853,1853,Arkansas,05-19-2020,4923,102
1903,1903,Arkansas,05-20-2020,5003,107
1953,1953,Arkansas,05-21-2020,5458,110
2003,2003,Arkansas,05-22-2020,5612,113
2053,2053,Arkansas,05-23-2020,5775,115
2103,2103,Arkansas,05-24-2020,5922,116
2153,2153,Arkansas,05-25-2020,6029,117
2203,2203,Arkansas,05-26-2020,6180,119
2253,2253,Arkansas,05-27-2020,6277,120
2303,2303,Arkansas,05-28-2020,6538,125
2353,2353,Arkansas,05-29-2020,6777,132
2403,2403,Arkansas,05-30-2020,7013,133
2453,2453,Arkansas,05-31-2020,7253,133
2503,2503,Arkansas,06-01-2020,7443,133
2553,2553,Arkansas,06-02-2020,7818,136
2603,2603,Arkansas,06-03-2020,8067,142
2653,2653,Arkansas,06-04-2020,8425,151
2703,2703,Arkansas,06-05-2020,8651,152
2753,2753,Arkansas,06-06-2020,9101,154
2803,2803,Arkansas,06-07-2020,9426,154
2853,2853,Arkansas,06-08-2020,9740,155
2903,2903,Arkansas,06-09-2020,10080,161
2953,2953,Arkansas,06-10-2020,10368,165
3003,3003,Arkansas,06-11-2020,10816,171
3053,3053,Arkansas,06-12-2020,11547,176
3103,3103,Arkansas,06-13-2020,12095,177
3153,3153,Arkansas,06-14-2020,12501,179
3203,3203,Arkansas,06-15-2020,12917,182
3253,3253,Arkansas,06-16-2020,13191,188
3303,3303,Arkansas,06-17-2020,13606,197
3353,3353,Arkansas,06-18-2020,13928,208
3403,3403,Arkansas,06-19-2020,14631,214
3453,3453,Arkansas,06-20-2020,15142,224
3503,3503,Arkansas,06-21-2020,15561,225
3553,3553,Arkansas,06-22-2020,16083,227
3603,3603,Arkansas,06-23-2020,16678,237
3653,3653,Arkansas,06-24-2020,17375,240
3703,3703,Arkansas,06-25-2020,18062,240
3753,3753,Arkansas,06-26-2020,18740,249
3803,3803,Arkansas,06-27-2020,19310,259
3853,3853,Arkansas,06-28-2020,19818,264
3903,3903,Arkansas,06-29-2020,20257,265
3953,3953,Arkansas,06-30-2020,20777,270
4003,4003,Arkansas,07-01-2020,21197,277
4053,4053,Arkansas,07-02-2020,22075,279
4103,4103,Arkansas,07-03-2020,22622,281
4153,4153,Arkansas,07-04-2020,23209,286
4203,4203,Arkansas,07-05-2020,23814,287
4253,4253,Arkansas,07-06-2020,24253,292
4303,4303,Arkansas,07-07-2020,24512,301
4353,4353,Arkansas,07-08-2020,25246,305
4403,4403,Arkansas,07-09-2020,26052,309
4453,4453,Arkansas,07-10-2020,26803,313
4503,4503,Arkansas,07-11-2020,27864,319
4553,4553,Arkansas,07-12-2020,28367,321
4603,4603,Arkansas,07-13-2020,28939,323
4653,4653,Arkansas,07-14-2020,29812,331
4703,4703,Arkansas,07-15-2020,30297,335
4753,4753,Arkansas,07-16-2020,31114,341
4803,4803,Arkansas,07-17-2020,31762,353
