,ID,Province_State,Date,Confirmed,Deaths
4,4,California,04-12-2020,22795,640
54,54,California,04-13-2020,23931,714
104,104,California,04-14-2020,25356,767
154,154,California,04-15-2020,26686,860
204,204,California,04-16-2020,27677,956
254,254,California,04-17-2020,29157,1037
304,304,California,04-18-2020,30491,1140
354,354,California,04-19-2020,31431,1177
404,404,California,04-20-2020,33686,1225
454,454,California,04-21-2020,35465,1282
504,504,California,04-22-2020,37344,1421
554,554,California,04-23-2020,39561,1533
604,604,California,04-24-2020,41355,1621
654,654,California,04-25-2020,42368,1689
704,704,California,04-26-2020,43558,1725
754,754,California,04-27-2020,44966,1779
804,804,California,04-28-2020,46164,1864
854,854,California,04-29-2020,48747,1946
904,904,California,04-30-2020,50130,2031
954,954,California,05-01-2020,52026,2126
1004,1004,California,05-02-2020,53347,2180
1054,1054,California,05-03-2020,54903,2216
1104,1104,California,05-04-2020,55884,2278
1154,1154,California,05-05-2020,58456,2381
1204,1204,California,05-06-2020,60616,2464
1254,1254,California,05-07-2020,62148,2535
1304,1304,California,05-08-2020,63779,2613
1354,1354,California,05-09-2020,66558,2687
1404,1404,California,05-10-2020,67600,2716
1454,1454,California,05-11-2020,69329,2779
1504,1504,California,05-12-2020,70978,2879
1554,1554,California,05-13-2020,72798,2957
1604,1604,California,05-14-2020,74871,3052
1654,1654,California,05-15-2020,76693,3136
1704,1704,California,05-16-2020,78725,3208
1754,1754,California,05-17-2020,80166,3240
1804,1804,California,05-18-2020,81457,3279
1854,1854,California,05-19-2020,83752,3403
1904,1904,California,05-20-2020,85997,3497
1954,1954,California,05-21-2020,88031,3583
2004,2004,California,05-22-2020,90252,3666
2054,2054,California,05-23-2020,92539,3738
2104,2104,California,05-24-2020,94020,3754
2154,2154,California,05-25-2020,96400,3769
2204,2204,California,05-26-2020,99387,3819
2254,2254,California,05-27-2020,101050,3895
2304,2304,California,05-28-2020,103813,3993
2354,2354,California,05-29-2020,106622,4077
2404,2404,California,05-30-2020,109895,4144
2454,2454,California,05-31-2020,111951,4172
2504,2504,California,06-01-2020,114733,4217
2554,2554,California,06-02-2020,117215,4305
2604,2604,California,06-03-2020,119348,4374
2654,2654,California,06-04-2020,122168,4444
2704,2704,California,06-05-2020,125738,4529
2754,2754,California,06-06-2020,128593,4607
2804,2804,California,06-07-2020,130615,4632
2854,2854,California,06-08-2020,133816,4657
2904,2904,California,06-09-2020,136641,4745
2954,2954,California,06-10-2020,139715,4854
3004,3004,California,06-11-2020,143377,4934
3054,3054,California,06-12-2020,146659,4978
3104,3104,California,06-13-2020,150018,5076
3154,3154,California,06-14-2020,152300,5099
3204,3204,California,06-15-2020,155726,5114
3254,3254,California,06-16-2020,158961,5200
3304,3304,California,06-17-2020,162798,5271
3354,3354,California,06-18-2020,167086,5355
3404,3404,California,06-19-2020,170862,5426
3454,3454,California,06-20-2020,175213,5494
3504,3504,California,06-21-2020,178546,5515
3554,3554,California,06-22-2020,184765,5566
3604,3604,California,06-23-2020,191477,5626
3654,3654,California,06-24-2020,195925,5725
3704,3704,California,06-25-2020,201112,5806
3754,3754,California,06-26-2020,206844,5868
3804,3804,California,06-27-2020,210584,5899
3854,3854,California,06-28-2020,215296,5932
3904,3904,California,06-29-2020,223646,5983
3954,3954,California,06-30-2020,231232,6082
4004,4004,California,07-01-2020,238681,6169
4054,4054,California,07-02-2020,246550,6265
4104,4104,California,07-03-2020,250514,6315
4154,4154,California,07-04-2020,252895,6334
4204,4204,California,07-05-2020,264681,6373
4254,4254,California,07-06-2020,271035,6441
4304,4304,California,07-07-2020,284012,6573
4354,4354,California,07-08-2020,292560,6718
4404,4404,California,07-09-2020,302484,6859
4454,4454,California,07-10-2020,310885,6955
4504,4504,California,07-11-2020,318761,7027
4554,4554,California,07-12-2020,324543,7051
4604,4604,California,07-13-2020,333357,7089
4654,4654,California,07-14-2020,346211,7250
4704,4704,California,07-15-2020,354885,7375
4754,4754,California,07-16-2020,364706,7489
4804,4804,California,07-17-2020,373259,7603
4854,4854,California,07-18-2020,380745,7702
4904,4904,California,07-19-2020,386906,7715
4954,4954,California,07-20-2020,397870,7770
5004,5004,California,07-21-2020,409305,7888
5054,5054,California,07-22-2020,421286,8047
5104,5104,California,07-23-2020,430773,8201
5154,5154,California,07-24-2020,440185,8337
5204,5204,California,07-25-2020,446452,8408
5254,5254,California,07-26-2020,452288,8448
5304,5304,California,07-27-2020,458121,8494
5354,5354,California,07-28-2020,470762,8679
5404,5404,California,07-29-2020,484913,8908
5454,5454,California,07-30-2020,492934,9026
5504,5504,California,07-31-2020,500556,9214
5554,5554,California,08-01-2020,506613,9345
5604,5604,California,08-02-2020,512175,9396
5654,5654,California,08-03-2020,516851,9441
5704,5704,California,08-04-2020,526685,9684
5754,5754,California,08-05-2020,530606,9808
5804,5804,California,08-06-2020,541339,10021
5854,5854,California,08-07-2020,546814,10133
5904,5904,California,08-08-2020,554388,10307
5954,5954,California,08-09-2020,559746,10377
6004,6004,California,08-10-2020,574231,10476
6054,6054,California,08-11-2020,578946,10523
6104,6104,California,08-12-2020,591376,10753
6154,6154,California,08-13-2020,597984,10870
6204,6204,California,08-14-2020,613101,11148
6254,6254,California,08-15-2020,617994,11218
6304,6304,California,08-16-2020,623873,11243
6354,6354,California,08-17-2020,629415,11296
6404,6404,California,08-18-2020,638140,11504
6454,6454,California,08-19-2020,647274,11690
6504,6504,California,08-20-2020,652267,11810
6554,6554,California,08-21-2020,658900,11946
6604,6604,California,08-22-2020,664435,12131
6654,6654,California,08-23-2020,669280,12153
6704,6704,California,08-24-2020,675561,12235
6754,6754,California,08-25-2020,681032,12382
6804,6804,California,08-26-2020,687004,12532
6854,6854,California,08-27-2020,691821,12677
6904,6904,California,08-28-2020,697385,12805
6954,6954,California,08-29-2020,702038,12894
7004,7004,California,08-30-2020,705951,12937
7054,7054,California,08-31-2020,712475,13022
