,ID,Province_State,Date,Confirmed,Deaths
5,5,Colorado,04-12-2020,7307,289
55,55,Colorado,04-13-2020,7691,306
105,105,Colorado,04-14-2020,7950,327
155,155,Colorado,04-15-2020,7956,328
205,205,Colorado,04-16-2020,8286,355
255,255,Colorado,04-17-2020,8691,372
305,305,Colorado,04-18-2020,9047,389
355,355,Colorado,04-19-2020,9730,420
405,405,Colorado,04-20-2020,9730,420
455,455,Colorado,04-21-2020,10473,483
505,505,Colorado,04-22-2020,10891,506
555,555,Colorado,04-23-2020,11278,552
605,605,Colorado,04-24-2020,12256,674
655,655,Colorado,04-25-2020,12968,684
705,705,Colorado,04-26-2020,13441,688
755,755,Colorado,04-27-2020,13879,706
805,805,Colorado,04-28-2020,14316,736
855,855,Colorado,04-29-2020,14758,766
905,905,Colorado,04-30-2020,15284,777
955,955,Colorado,05-01-2020,15793,821
1005,1005,Colorado,05-02-2020,16225,832
1055,1055,Colorado,05-03-2020,16635,842
1105,1105,Colorado,05-04-2020,16918,851
1155,1155,Colorado,05-05-2020,17367,903
1205,1205,Colorado,05-06-2020,17832,919
1255,1255,Colorado,05-07-2020,18370,944
1305,1305,Colorado,05-08-2020,18827,960
1355,1355,Colorado,05-09-2020,19375,967
1405,1405,Colorado,05-10-2020,19703,971
1455,1455,Colorado,05-11-2020,19879,987
1505,1505,Colorado,05-12-2020,20157,1010
1555,1555,Colorado,05-13-2020,20475,1062
1605,1605,Colorado,05-14-2020,20838,1086
1655,1655,Colorado,05-15-2020,21232,1150
1705,1705,Colorado,05-16-2020,21633,1192
1755,1755,Colorado,05-17-2020,21938,1215
1805,1805,Colorado,05-18-2020,22202,1224
1855,1855,Colorado,05-19-2020,22482,1257
1905,1905,Colorado,05-20-2020,22797,1299
1955,1955,Colorado,05-21-2020,23191,1310
2005,2005,Colorado,05-22-2020,23487,1324
2055,2055,Colorado,05-23-2020,23964,1327
2105,2105,Colorado,05-24-2020,24174,1332
2155,2155,Colorado,05-25-2020,24256,1333
2205,2205,Colorado,05-26-2020,24552,1352
2255,2255,Colorado,05-27-2020,24754,1392
2305,2305,Colorado,05-28-2020,25107,1421
2355,2355,Colorado,05-29-2020,25598,1436
2405,2405,Colorado,05-30-2020,26084,1443
2455,2455,Colorado,05-31-2020,26364,1445
2505,2505,Colorado,06-01-2020,26563,1458
2555,2555,Colorado,06-02-2020,26774,1474
2605,2605,Colorado,06-03-2020,27046,1494
2655,2655,Colorado,06-04-2020,27346,1512
2705,2705,Colorado,06-05-2020,27601,1524
