,ID,Province_State,Date,Confirmed,Deaths
6,6,Connecticut,04-12-2020,12035,554
56,56,Connecticut,04-13-2020,13381,602
106,106,Connecticut,04-14-2020,13989,671
156,156,Connecticut,04-15-2020,14755,868
206,206,Connecticut,04-16-2020,15884,971
256,256,Connecticut,04-17-2020,16809,1036
306,306,Connecticut,04-18-2020,17550,1086
356,356,Connecticut,04-19-2020,17962,1127
406,406,Connecticut,04-20-2020,19815,1331
456,456,Connecticut,04-21-2020,20360,1423
506,506,Connecticut,04-22-2020,22469,1544
556,556,Connecticut,04-23-2020,23100,1639
606,606,Connecticut,04-24-2020,23936,1767
656,656,Connecticut,04-25-2020,24583,1865
706,706,Connecticut,04-26-2020,25269,1924
756,756,Connecticut,04-27-2020,25997,2012
806,806,Connecticut,04-28-2020,26312,2087
856,856,Connecticut,04-29-2020,26767,2169
906,906,Connecticut,04-30-2020,27700,2257
956,956,Connecticut,05-01-2020,28764,2339
1006,1006,Connecticut,05-02-2020,29287,2436
1056,1056,Connecticut,05-03-2020,29287,2436
1106,1106,Connecticut,05-04-2020,29973,2556
1156,1156,Connecticut,05-05-2020,30621,2633
1206,1206,Connecticut,05-06-2020,30995,2718
1256,1256,Connecticut,05-07-2020,31784,2797
1306,1306,Connecticut,05-08-2020,32411,2874
1356,1356,Connecticut,05-09-2020,32984,2932
1406,1406,Connecticut,05-10-2020,33554,2967
1456,1456,Connecticut,05-11-2020,33765,3008
1506,1506,Connecticut,05-12-2020,34333,3041
1556,1556,Connecticut,05-13-2020,34855,3125
1606,1606,Connecticut,05-14-2020,35464,3219
1656,1656,Connecticut,05-15-2020,36085,3285
1706,1706,Connecticut,05-16-2020,36703,3339
1756,1756,Connecticut,05-17-2020,37419,3408
1806,1806,Connecticut,05-18-2020,38116,3450
1856,1856,Connecticut,05-19-2020,38430,3472
1906,1906,Connecticut,05-20-2020,39017,3529
1956,1956,Connecticut,05-21-2020,39208,3583
2006,2006,Connecticut,05-22-2020,39640,3637
2056,2056,Connecticut,05-23-2020,40022,3675
2106,2106,Connecticut,05-24-2020,40468,3693
2156,2156,Connecticut,05-25-2020,40873,3742
2206,2206,Connecticut,05-26-2020,41303,3769
2256,2256,Connecticut,05-27-2020,41288,3803
2306,2306,Connecticut,05-28-2020,41559,3826
2356,2356,Connecticut,05-29-2020,41762,3868
2406,2406,Connecticut,05-30-2020,42022,3912
2456,2456,Connecticut,05-31-2020,42201,3944
2506,2506,Connecticut,06-01-2020,42740,3970
2556,2556,Connecticut,06-02-2020,42979,3972
2606,2606,Connecticut,06-03-2020,43091,3989
2656,2656,Connecticut,06-04-2020,43239,4007
