,ID,Province_State,Date,Confirmed,Deaths
7,7,Delaware,04-12-2020,1625,35
57,57,Delaware,04-13-2020,1758,41
107,107,Delaware,04-14-2020,1926,43
157,157,Delaware,04-15-2020,2014,46
207,207,Delaware,04-16-2020,2070,55
257,257,Delaware,04-17-2020,2317,61
307,307,Delaware,04-18-2020,2538,67
357,357,Delaware,04-19-2020,2538,67
407,407,Delaware,04-20-2020,2745,72
457,457,Delaware,04-21-2020,2931,82
507,507,Delaware,04-22-2020,3200,89
557,557,Delaware,04-23-2020,3308,92
607,607,Delaware,04-24-2020,3442,100
657,657,Delaware,04-25-2020,3576,112
707,707,Delaware,04-26-2020,4034,120
757,757,Delaware,04-27-2020,4162,125
807,807,Delaware,04-28-2020,4575,137
857,857,Delaware,04-29-2020,4655,144
907,907,Delaware,04-30-2020,4734,152
957,957,Delaware,05-01-2020,4918,159
1007,1007,Delaware,05-02-2020,5038,168
1057,1057,Delaware,05-03-2020,5208,177
1107,1107,Delaware,05-04-2020,5288,182
1157,1157,Delaware,05-05-2020,5371,187
1207,1207,Delaware,05-06-2020,5778,193
1257,1257,Delaware,05-07-2020,5939,202
1307,1307,Delaware,05-08-2020,6111,213
1357,1357,Delaware,05-09-2020,6277,221
1407,1407,Delaware,05-10-2020,6277,221
1457,1457,Delaware,05-11-2020,6565,225
1507,1507,Delaware,05-12-2020,6741,237
1557,1557,Delaware,05-13-2020,6952,247
1607,1607,Delaware,05-14-2020,7223,260
1657,1657,Delaware,05-15-2020,7373,271
1707,1707,Delaware,05-16-2020,7547,286
1757,1757,Delaware,05-17-2020,7670,290
1807,1807,Delaware,05-18-2020,7869,297
1857,1857,Delaware,05-19-2020,8037,304
1907,1907,Delaware,05-20-2020,8194,310
1957,1957,Delaware,05-21-2020,8386,317
2007,2007,Delaware,05-22-2020,8529,322
2057,2057,Delaware,05-23-2020,8529,322
2107,2107,Delaware,05-24-2020,8809,326
2157,2157,Delaware,05-25-2020,8965,332
2207,2207,Delaware,05-26-2020,9066,335
2257,2257,Delaware,05-27-2020,9096,344
2307,2307,Delaware,05-28-2020,9171,345
2357,2357,Delaware,05-29-2020,9236,356
2407,2407,Delaware,05-30-2020,9422,361
2457,2457,Delaware,05-31-2020,9498,366
2507,2507,Delaware,06-01-2020,9605,368
2557,2557,Delaware,06-02-2020,9685,373
2607,2607,Delaware,06-03-2020,9712,375
2657,2657,Delaware,06-04-2020,9746,386
2707,2707,Delaware,06-05-2020,9773,388
2757,2757,Delaware,06-06-2020,9845,390
2807,2807,Delaware,06-07-2020,9942,398
2857,2857,Delaware,06-08-2020,9972,398
2907,2907,Delaware,06-09-2020,10020,410
2957,2957,Delaware,06-10-2020,10056,413
3007,3007,Delaware,06-11-2020,10106,414
