,ID,Province_State,Date,Confirmed,Deaths
8,8,Florida,04-12-2020,19895,461
58,58,Florida,04-13-2020,21019,499
108,108,Florida,04-14-2020,21628,571
158,158,Florida,04-15-2020,22511,596
208,208,Florida,04-16-2020,23343,668
258,258,Florida,04-17-2020,24759,725
308,308,Florida,04-18-2020,25492,748
358,358,Florida,04-19-2020,26314,774
408,408,Florida,04-20-2020,27059,822
458,458,Florida,04-21-2020,27869,867
508,508,Florida,04-22-2020,28309,893
558,558,Florida,04-23-2020,29648,987
608,608,Florida,04-24-2020,30533,1046
658,658,Florida,04-25-2020,30839,1055
708,708,Florida,04-26-2020,31532,1075
758,758,Florida,04-27-2020,32138,1088
808,808,Florida,04-28-2020,32848,1171
858,858,Florida,04-29-2020,33193,1218
908,908,Florida,04-30-2020,33690,1268
958,958,Florida,05-01-2020,34728,1314
1008,1008,Florida,05-02-2020,35463,1364
1058,1058,Florida,05-03-2020,36078,1379
1108,1108,Florida,05-04-2020,36897,1399
1158,1158,Florida,05-05-2020,37439,1471
1208,1208,Florida,05-06-2020,38002,1539
1258,1258,Florida,05-07-2020,38828,1600
1308,1308,Florida,05-08-2020,39199,1669
1358,1358,Florida,05-09-2020,40001,1715
1408,1408,Florida,05-10-2020,40596,1721
1458,1458,Florida,05-11-2020,40982,1735
1508,1508,Florida,05-12-2020,41923,1779
1558,1558,Florida,05-13-2020,42402,1827
1608,1608,Florida,05-14-2020,43210,1875
1658,1658,Florida,05-15-2020,44138,1917
1708,1708,Florida,05-16-2020,44811,1964
1758,1758,Florida,05-17-2020,45588,1973
1808,1808,Florida,05-18-2020,46442,1997
1858,1858,Florida,05-19-2020,46944,2052
1908,1908,Florida,05-20-2020,47471,2096
1958,1958,Florida,05-21-2020,48675,2144
2008,2008,Florida,05-22-2020,49451,2190
2058,2058,Florida,05-23-2020,50127,2233
2108,2108,Florida,05-24-2020,50867,2237
2158,2158,Florida,05-25-2020,51746,2252
2208,2208,Florida,05-26-2020,52255,2259
2258,2258,Florida,05-27-2020,52634,2319
2308,2308,Florida,05-28-2020,53285,2364
2358,2358,Florida,05-29-2020,54497,2413
2408,2408,Florida,05-30-2020,55424,2447
2458,2458,Florida,05-31-2020,56163,2451
2508,2508,Florida,06-01-2020,56830,2460
2558,2558,Florida,06-02-2020,57447,2530
2608,2608,Florida,06-03-2020,58764,2566
2658,2658,Florida,06-04-2020,60183,2607
2708,2708,Florida,06-05-2020,61488,2660
2758,2758,Florida,06-06-2020,62758,2688
2808,2808,Florida,06-07-2020,63938,2700
2858,2858,Florida,06-08-2020,64904,2712
2908,2908,Florida,06-09-2020,66000,2765
2958,2958,Florida,06-10-2020,67371,2801
3008,3008,Florida,06-11-2020,69069,2848
3058,3058,Florida,06-12-2020,70971,2877
3108,3108,Florida,06-13-2020,73552,2925
3158,3158,Florida,06-14-2020,75568,2931
3208,3208,Florida,06-15-2020,77326,2938
