,ID,Province_State,Date,Confirmed,Deaths
9,9,Georgia,04-12-2020,12452,433
59,59,Georgia,04-13-2020,13315,465
109,109,Georgia,04-14-2020,14578,525
159,159,Georgia,04-15-2020,14987,552
209,209,Georgia,04-16-2020,15669,587
259,259,Georgia,04-17-2020,17194,650
309,309,Georgia,04-18-2020,17669,673
359,359,Georgia,04-19-2020,18301,687
409,409,Georgia,04-20-2020,19407,775
459,459,Georgia,04-21-2020,19881,798
509,509,Georgia,04-22-2020,21214,848
559,559,Georgia,04-23-2020,21883,881
609,609,Georgia,04-24-2020,22491,899
659,659,Georgia,04-25-2020,23222,907
709,709,Georgia,04-26-2020,23486,916
759,759,Georgia,04-27-2020,24302,995
809,809,Georgia,04-28-2020,24922,1036
859,859,Georgia,04-29-2020,25775,1101
909,909,Georgia,04-30-2020,26264,1132
959,959,Georgia,05-01-2020,27489,1169
1009,1009,Georgia,05-02-2020,28331,1177
1059,1059,Georgia,05-03-2020,28665,1184
1109,1109,Georgia,05-04-2020,29451,1246
1159,1159,Georgia,05-05-2020,29998,1299
1209,1209,Georgia,05-06-2020,30743,1327
1259,1259,Georgia,05-07-2020,31618,1355
1309,1309,Georgia,05-08-2020,32181,1400
1359,1359,Georgia,05-09-2020,32588,1403
1409,1409,Georgia,05-10-2020,33580,1406
1459,1459,Georgia,05-11-2020,34002,1444
1509,1509,Georgia,05-12-2020,34924,1498
1559,1559,Georgia,05-13-2020,35427,1517
1609,1609,Georgia,05-14-2020,35977,1545
1659,1659,Georgia,05-15-2020,36772,1588
1709,1709,Georgia,05-16-2020,37212,1598
1759,1759,Georgia,05-17-2020,37579,1610
1809,1809,Georgia,05-18-2020,38283,1649
1859,1859,Georgia,05-19-2020,38855,1675
1909,1909,Georgia,05-20-2020,39801,1697
1959,1959,Georgia,05-21-2020,40663,1775
2009,2009,Georgia,05-22-2020,41482,1808
2059,2059,Georgia,05-23-2020,42242,1822
2109,2109,Georgia,05-24-2020,42902,1827
2159,2159,Georgia,05-25-2020,43400,1848
