,ID,Province_State,Date,Confirmed,Deaths
10,10,Hawaii,04-12-2020,499,9
60,60,Hawaii,04-13-2020,504,9
110,110,Hawaii,04-14-2020,511,9
160,160,Hawaii,04-15-2020,524,9
210,210,Hawaii,04-16-2020,530,9
260,260,Hawaii,04-17-2020,541,9
310,310,Hawaii,04-18-2020,574,9
360,360,Hawaii,04-19-2020,580,10
410,410,Hawaii,04-20-2020,584,10
460,460,Hawaii,04-21-2020,586,10
510,510,Hawaii,04-22-2020,592,12
560,560,Hawaii,04-23-2020,596,12
610,610,Hawaii,04-24-2020,601,13
660,660,Hawaii,04-25-2020,605,13
710,710,Hawaii,04-26-2020,606,14
760,760,Hawaii,04-27-2020,607,16
810,810,Hawaii,04-28-2020,609,16
860,860,Hawaii,04-29-2020,613,16
910,910,Hawaii,04-30-2020,618,16
960,960,Hawaii,05-01-2020,619,16
1010,1010,Hawaii,05-02-2020,620,16
1060,1060,Hawaii,05-03-2020,620,17
1110,1110,Hawaii,05-04-2020,621,17
1160,1160,Hawaii,05-05-2020,625,17
1210,1210,Hawaii,05-06-2020,626,17
1260,1260,Hawaii,05-07-2020,629,17
1310,1310,Hawaii,05-08-2020,629,17
1360,1360,Hawaii,05-09-2020,631,17
1410,1410,Hawaii,05-10-2020,632,17
1460,1460,Hawaii,05-11-2020,634,17
1510,1510,Hawaii,05-12-2020,635,17
1560,1560,Hawaii,05-13-2020,638,17
1610,1610,Hawaii,05-14-2020,637,17
1660,1660,Hawaii,05-15-2020,638,17
1710,1710,Hawaii,05-16-2020,639,17
1760,1760,Hawaii,05-17-2020,640,17
1810,1810,Hawaii,05-18-2020,640,17
1860,1860,Hawaii,05-19-2020,641,17
1910,1910,Hawaii,05-20-2020,643,17
1960,1960,Hawaii,05-21-2020,647,17
2010,2010,Hawaii,05-22-2020,642,17
2060,2060,Hawaii,05-23-2020,643,17
2110,2110,Hawaii,05-24-2020,643,17
2160,2160,Hawaii,05-25-2020,643,17
2210,2210,Hawaii,05-26-2020,643,17
2260,2260,Hawaii,05-27-2020,644,17
2310,2310,Hawaii,05-28-2020,647,17
2360,2360,Hawaii,05-29-2020,649,17
2410,2410,Hawaii,05-30-2020,651,17
2460,2460,Hawaii,05-31-2020,652,17
2510,2510,Hawaii,06-01-2020,652,17
