,ID,Province_State,Date,Confirmed,Deaths
11,11,Idaho,04-12-2020,1407,27
61,61,Idaho,04-13-2020,1426,27
111,111,Idaho,04-14-2020,1464,33
161,161,Idaho,04-15-2020,1473,39
211,211,Idaho,04-16-2020,1587,41
261,261,Idaho,04-17-2020,1609,41
311,311,Idaho,04-18-2020,1655,43
361,361,Idaho,04-19-2020,1668,44
411,411,Idaho,04-20-2020,1672,45
461,461,Idaho,04-21-2020,1736,48
511,511,Idaho,04-22-2020,1766,51
561,561,Idaho,04-23-2020,1836,54
611,611,Idaho,04-24-2020,1870,54
661,661,Idaho,04-25-2020,1887,56
711,711,Idaho,04-26-2020,1897,56
761,761,Idaho,04-27-2020,1897,56
811,811,Idaho,04-28-2020,1952,60
861,861,Idaho,04-29-2020,1952,60
911,911,Idaho,04-30-2020,1984,60
961,961,Idaho,05-01-2020,2015,63
1011,1011,Idaho,05-02-2020,2061,64
1061,1061,Idaho,05-03-2020,2061,64
1111,1111,Idaho,05-04-2020,2106,64
1161,1161,Idaho,05-05-2020,2127,65
1211,1211,Idaho,05-06-2020,2158,66
1261,1261,Idaho,05-07-2020,2178,67
1311,1311,Idaho,05-08-2020,2178,67
1361,1361,Idaho,05-09-2020,2205,67
1411,1411,Idaho,05-10-2020,2230,67
1461,1461,Idaho,05-11-2020,2260,70
1511,1511,Idaho,05-12-2020,2293,69
1561,1561,Idaho,05-13-2020,2293,69
1611,1611,Idaho,05-14-2020,2351,72
1661,1661,Idaho,05-15-2020,2351,72
1711,1711,Idaho,05-16-2020,2419,73
1761,1761,Idaho,05-17-2020,2419,73
1811,1811,Idaho,05-18-2020,2455,74
1861,1861,Idaho,05-19-2020,2455,74
1911,1911,Idaho,05-20-2020,2506,77
1961,1961,Idaho,05-21-2020,2506,77
2011,2011,Idaho,05-22-2020,2595,79
2061,2061,Idaho,05-23-2020,2595,79
2111,2111,Idaho,05-24-2020,2626,79
2161,2161,Idaho,05-25-2020,2626,79
2211,2211,Idaho,05-26-2020,2626,79
2261,2261,Idaho,05-27-2020,2699,81
2311,2311,Idaho,05-28-2020,2770,82
2361,2361,Idaho,05-29-2020,2770,82
2411,2411,Idaho,05-30-2020,2803,82
2461,2461,Idaho,05-31-2020,2839,82
2511,2511,Idaho,06-01-2020,2839,82
2561,2561,Idaho,06-02-2020,2933,83
2611,2611,Idaho,06-03-2020,2933,83
2661,2661,Idaho,06-04-2020,2990,83
2711,2711,Idaho,06-05-2020,3111,83
2761,2761,Idaho,06-06-2020,3139,83
2811,2811,Idaho,06-07-2020,3139,83
2861,2861,Idaho,06-08-2020,3189,83
2911,2911,Idaho,06-09-2020,3221,85
2961,2961,Idaho,06-10-2020,3260,85
3011,3011,Idaho,06-11-2020,3260,85
3061,3061,Idaho,06-12-2020,3353,87
3111,3111,Idaho,06-13-2020,3353,87
3161,3161,Idaho,06-14-2020,3399,87
3211,3211,Idaho,06-15-2020,3399,87
3261,3261,Idaho,06-16-2020,3462,88
3311,3311,Idaho,06-17-2020,3632,88
3361,3361,Idaho,06-18-2020,3743,89
3411,3411,Idaho,06-19-2020,3871,89
3461,3461,Idaho,06-20-2020,4004,89
3511,3511,Idaho,06-21-2020,4006,89
3561,3561,Idaho,06-22-2020,4256,89
3611,3611,Idaho,06-23-2020,4254,89
3661,3661,Idaho,06-24-2020,4402,89
3711,3711,Idaho,06-25-2020,4865,90
3761,3761,Idaho,06-26-2020,4865,90
3811,3811,Idaho,06-27-2020,5322,91
3861,3861,Idaho,06-28-2020,5322,91
3911,3911,Idaho,06-29-2020,5752,91
3961,3961,Idaho,06-30-2020,6117,92
4011,4011,Idaho,07-01-2020,6370,92
4061,4061,Idaho,07-02-2020,6593,92
4111,4111,Idaho,07-03-2020,6994,93
4161,4161,Idaho,07-04-2020,7370,93
4211,4211,Idaho,07-05-2020,7733,93
4261,4261,Idaho,07-06-2020,8052,94
4311,4311,Idaho,07-07-2020,8539,94
4361,4361,Idaho,07-08-2020,8969,98
4411,4411,Idaho,07-09-2020,9429,100
4461,4461,Idaho,07-10-2020,9929,101
4511,4511,Idaho,07-11-2020,10506,102
4561,4561,Idaho,07-12-2020,10903,102
4611,4611,Idaho,07-13-2020,11404,102
