,ID,Province_State,Date,Confirmed,Deaths
12,12,Illinois,04-12-2020,20852,720
62,62,Illinois,04-13-2020,22025,798
112,112,Illinois,04-14-2020,23248,868
162,162,Illinois,04-15-2020,24593,949
212,212,Illinois,04-16-2020,25734,1072
262,262,Illinois,04-17-2020,27578,1132
312,312,Illinois,04-18-2020,29160,1259
362,362,Illinois,04-19-2020,30357,1290
412,412,Illinois,04-20-2020,31513,1349
462,462,Illinois,04-21-2020,33059,1468
512,512,Illinois,04-22-2020,35107,1565
562,562,Illinois,04-23-2020,36937,1688
612,612,Illinois,04-24-2020,39658,1795
662,662,Illinois,04-25-2020,41777,1875
712,712,Illinois,04-26-2020,43903,1933
762,762,Illinois,04-27-2020,45883,1983
812,812,Illinois,04-28-2020,48102,2125
862,862,Illinois,04-29-2020,50358,2215
912,912,Illinois,04-30-2020,52918,2355
962,962,Illinois,05-01-2020,56055,2457
1012,1012,Illinois,05-02-2020,58505,2559
1062,1062,Illinois,05-03-2020,61499,2618
1112,1112,Illinois,05-04-2020,63777,2659
1162,1162,Illinois,05-05-2020,65889,2834
1212,1212,Illinois,05-06-2020,68232,2974
1262,1262,Illinois,05-07-2020,70871,3111
1312,1312,Illinois,05-08-2020,73760,3241
1362,1362,Illinois,05-09-2020,76085,3349
1412,1412,Illinois,05-10-2020,77741,3406
1462,1462,Illinois,05-11-2020,79007,3459
1512,1512,Illinois,05-12-2020,83021,3601
1562,1562,Illinois,05-13-2020,84694,3792
1612,1612,Illinois,05-14-2020,87937,3928
1662,1662,Illinois,05-15-2020,90369,4059
1712,1712,Illinois,05-16-2020,92457,4129
1762,1762,Illinois,05-17-2020,94191,4177
1812,1812,Illinois,05-18-2020,96485,4234
1862,1862,Illinois,05-19-2020,98030,4379
1912,1912,Illinois,05-20-2020,100418,4525
1962,1962,Illinois,05-21-2020,102688,4607
2012,2012,Illinois,05-22-2020,105444,4715
2062,2062,Illinois,05-23-2020,107796,4790
2112,2112,Illinois,05-24-2020,110304,4856
2162,2162,Illinois,05-25-2020,112017,4885
2212,2212,Illinois,05-26-2020,113195,4923
2262,2262,Illinois,05-27-2020,114306,5083
2312,2312,Illinois,05-28-2020,115833,5186
2362,2362,Illinois,05-29-2020,117455,5270
2412,2412,Illinois,05-30-2020,118917,5330
2462,2462,Illinois,05-31-2020,120260,5390
2512,2512,Illinois,06-01-2020,121234,5412
2562,2562,Illinois,06-02-2020,122848,5525
2612,2612,Illinois,06-03-2020,123830,5621
2662,2662,Illinois,06-04-2020,124759,5736
2712,2712,Illinois,06-05-2020,125915,5795
2762,2762,Illinois,06-06-2020,126890,5864
2812,2812,Illinois,06-07-2020,127757,5904
2862,2862,Illinois,06-08-2020,128415,5924
2912,2912,Illinois,06-09-2020,129212,6018
2962,2962,Illinois,06-10-2020,129837,6095
3012,3012,Illinois,06-11-2020,130603,6185
3062,3062,Illinois,06-12-2020,131198,6260
3112,3112,Illinois,06-13-2020,131871,6289
3162,3162,Illinois,06-14-2020,132543,6308
3212,3212,Illinois,06-15-2020,133016,6326
3262,3262,Illinois,06-16-2020,133639,6398
3312,3312,Illinois,06-17-2020,134185,6485
3362,3362,Illinois,06-18-2020,134778,6537
3412,3412,Illinois,06-19-2020,135470,6580
3462,3462,Illinois,06-20-2020,136104,6625
3512,3512,Illinois,06-21-2020,136762,6647
3562,3562,Illinois,06-22-2020,137224,6671
3612,3612,Illinois,06-23-2020,137825,6707
3662,3662,Illinois,06-24-2020,138540,6770
