,ID,Province_State,Date,Confirmed,Deaths
13,13,Indiana,04-12-2020,7928,343
63,63,Indiana,04-13-2020,8359,350
113,113,Indiana,04-14-2020,8527,387
163,163,Indiana,04-15-2020,8960,436
213,213,Indiana,04-16-2020,9542,477
263,263,Indiana,04-17-2020,10154,522
313,313,Indiana,04-18-2020,10641,545
363,363,Indiana,04-19-2020,11211,562
413,413,Indiana,04-20-2020,11688,577
463,463,Indiana,04-21-2020,12097,635
513,513,Indiana,04-22-2020,12438,666
563,563,Indiana,04-23-2020,13039,706
613,613,Indiana,04-24-2020,13681,741
663,663,Indiana,04-25-2020,14399,786
713,713,Indiana,04-26-2020,15012,813
763,763,Indiana,04-27-2020,15961,844
813,813,Indiana,04-28-2020,16588,901
863,863,Indiana,04-29-2020,17182,964
913,913,Indiana,04-30-2020,17835,1114
963,963,Indiana,05-01-2020,18630,1175
1013,1013,Indiana,05-02-2020,19295,1115
1063,1063,Indiana,05-03-2020,19933,1132
1113,1113,Indiana,05-04-2020,20507,1151
1163,1163,Indiana,05-05-2020,21033,1211
1213,1213,Indiana,05-06-2020,21870,1377
1263,1263,Indiana,05-07-2020,22503,1414
1313,1313,Indiana,05-08-2020,23146,1447
1363,1363,Indiana,05-09-2020,23732,1490
1413,1413,Indiana,05-10-2020,24126,1508
1463,1463,Indiana,05-11-2020,24627,1540
1513,1513,Indiana,05-12-2020,25127,1578
1563,1563,Indiana,05-13-2020,25473,1619
1613,1613,Indiana,05-14-2020,26053,1646
1663,1663,Indiana,05-15-2020,26656,1691
1713,1713,Indiana,05-16-2020,27280,1741
1763,1763,Indiana,05-17-2020,27778,1751
1813,1813,Indiana,05-18-2020,28255,1765
1863,1863,Indiana,05-19-2020,28705,1824
1913,1913,Indiana,05-20-2020,29274,1864
1963,1963,Indiana,05-21-2020,29936,1913
2013,2013,Indiana,05-22-2020,30409,1941
2063,2063,Indiana,05-23-2020,30901,1964
2113,2113,Indiana,05-24-2020,31376,1976
2163,2163,Indiana,05-25-2020,31715,1984
2213,2213,Indiana,05-26-2020,32078,2004
2263,2263,Indiana,05-27-2020,32437,2030
2313,2313,Indiana,05-28-2020,33068,2068
2363,2363,Indiana,05-29-2020,33558,2110
2413,2413,Indiana,05-30-2020,34211,2125
2463,2463,Indiana,05-31-2020,34574,2134
2513,2513,Indiana,06-01-2020,34830,2143
2563,2563,Indiana,06-02-2020,35237,2197
2613,2613,Indiana,06-03-2020,35712,2207
2663,2663,Indiana,06-04-2020,36096,2231
2713,2713,Indiana,06-05-2020,36578,2258
2763,2763,Indiana,06-06-2020,36997,2292
2813,2813,Indiana,06-07-2020,37397,2303
2863,2863,Indiana,06-08-2020,37623,2316
2913,2913,Indiana,06-09-2020,38033,2339
2963,2963,Indiana,06-10-2020,38337,2355
3013,3013,Indiana,06-11-2020,38748,2380
3063,3063,Indiana,06-12-2020,39146,2396
3113,3113,Indiana,06-13-2020,39543,2413
3163,3163,Indiana,06-14-2020,39909,2422
3213,3213,Indiana,06-15-2020,40430,2433
3263,3263,Indiana,06-16-2020,40786,2447
3313,3313,Indiana,06-17-2020,41013,2475
3363,3363,Indiana,06-18-2020,41438,2491
3413,3413,Indiana,06-19-2020,41746,2516
3463,3463,Indiana,06-20-2020,42061,2536
3513,3513,Indiana,06-21-2020,42423,2540
3563,3563,Indiana,06-22-2020,42633,2553
3613,3613,Indiana,06-23-2020,42871,2569
3663,3663,Indiana,06-24-2020,43140,2578
3713,3713,Indiana,06-25-2020,43655,2586
3763,3763,Indiana,06-26-2020,44140,2595
3813,3813,Indiana,06-27-2020,44575,2616
3863,3863,Indiana,06-28-2020,44930,2619
3913,3913,Indiana,06-29-2020,45228,2624
3963,3963,Indiana,06-30-2020,45594,2640
4013,4013,Indiana,07-01-2020,45952,2650
4063,4063,Indiana,07-02-2020,46387,2662
4113,4113,Indiana,07-03-2020,46915,2681
4163,4163,Indiana,07-04-2020,47432,2687
4213,4213,Indiana,07-05-2020,48201,2693
4263,4263,Indiana,07-06-2020,48524,2698
4313,4313,Indiana,07-07-2020,48626,2717
4363,4363,Indiana,07-08-2020,49063,2732
4413,4413,Indiana,07-09-2020,49575,2739
4463,4463,Indiana,07-10-2020,50300,2748
4513,4513,Indiana,07-11-2020,51079,2756
4563,4563,Indiana,07-12-2020,51612,2760
4613,4613,Indiana,07-13-2020,52037,2762
