,ID,Province_State,Date,Confirmed,Deaths
14,14,Iowa,04-12-2020,1587,41
64,64,Iowa,04-13-2020,1710,41
114,114,Iowa,04-14-2020,1899,49
164,164,Iowa,04-15-2020,1995,53
214,214,Iowa,04-16-2020,2141,60
264,264,Iowa,04-17-2020,2332,64
314,314,Iowa,04-18-2020,2513,74
364,364,Iowa,04-19-2020,2902,75
414,414,Iowa,04-20-2020,3159,79
464,464,Iowa,04-21-2020,3641,83
514,514,Iowa,04-22-2020,3748,90
564,564,Iowa,04-23-2020,3924,96
614,614,Iowa,04-24-2020,4445,107
664,664,Iowa,04-25-2020,5092,112
714,714,Iowa,04-26-2020,5476,118
764,764,Iowa,04-27-2020,5868,127
814,814,Iowa,04-28-2020,6376,136
864,864,Iowa,04-29-2020,6843,148
914,914,Iowa,04-30-2020,7145,162
964,964,Iowa,05-01-2020,7884,170
1014,1014,Iowa,05-02-2020,8643,175
1064,1064,Iowa,05-03-2020,9175,184
1114,1114,Iowa,05-04-2020,9703,188
1164,1164,Iowa,05-05-2020,10111,207
1214,1214,Iowa,05-06-2020,10404,219
1264,1264,Iowa,05-07-2020,11059,231
1314,1314,Iowa,05-08-2020,11457,243
1364,1364,Iowa,05-09-2020,11671,252
1414,1414,Iowa,05-10-2020,11959,265
1464,1464,Iowa,05-11-2020,12373,271
1514,1514,Iowa,05-12-2020,12912,289
1564,1564,Iowa,05-13-2020,13289,306
1614,1614,Iowa,05-14-2020,13675,318
1664,1664,Iowa,05-15-2020,14049,336
1714,1714,Iowa,05-16-2020,14328,346
1764,1764,Iowa,05-17-2020,14651,351
1814,1814,Iowa,05-18-2020,14955,355
1864,1864,Iowa,05-19-2020,15296,367
1914,1914,Iowa,05-20-2020,15620,393
1964,1964,Iowa,05-21-2020,16170,410
2014,2014,Iowa,05-22-2020,16492,424
2064,2064,Iowa,05-23-2020,16898,446
2114,2114,Iowa,05-24-2020,17251,456
2164,2164,Iowa,05-25-2020,17557,456
2214,2214,Iowa,05-26-2020,17703,477
2264,2264,Iowa,05-27-2020,18369,496
2314,2314,Iowa,05-28-2020,18586,506
2364,2364,Iowa,05-29-2020,18957,524
2414,2414,Iowa,05-30-2020,19244,531
2464,2464,Iowa,05-31-2020,19552,535
2514,2514,Iowa,06-01-2020,19699,555
2564,2564,Iowa,06-02-2020,20019,561
2614,2614,Iowa,06-03-2020,20300,574
2664,2664,Iowa,06-04-2020,20806,583
2714,2714,Iowa,06-05-2020,21154,593
2764,2764,Iowa,06-06-2020,21478,599
2814,2814,Iowa,06-07-2020,21712,605
2864,2864,Iowa,06-08-2020,22007,617
2914,2914,Iowa,06-09-2020,22237,626
2964,2964,Iowa,06-10-2020,22626,631
3014,3014,Iowa,06-11-2020,22973,640
3064,3064,Iowa,06-12-2020,23350,644
3114,3114,Iowa,06-13-2020,23717,650
3164,3164,Iowa,06-14-2020,23926,652
3214,3214,Iowa,06-15-2020,24082,658
3264,3264,Iowa,06-16-2020,24179,665
3314,3314,Iowa,06-17-2020,24460,675
3364,3364,Iowa,06-18-2020,24861,680
3414,3414,Iowa,06-19-2020,25274,681
3464,3464,Iowa,06-20-2020,25496,681
3514,3514,Iowa,06-21-2020,25963,686
3564,3564,Iowa,06-22-2020,26146,686
3614,3614,Iowa,06-23-2020,26469,689
3664,3664,Iowa,06-24-2020,26601,690
3714,3714,Iowa,06-25-2020,27373,696
3764,3764,Iowa,06-26-2020,27717,704
3814,3814,Iowa,06-27-2020,28073,704
3864,3864,Iowa,06-28-2020,28520,706
3914,3914,Iowa,06-29-2020,28845,711
3964,3964,Iowa,06-30-2020,29074,716
4014,4014,Iowa,07-01-2020,29514,717
4064,4064,Iowa,07-02-2020,30259,719
4114,4114,Iowa,07-03-2020,30463,721
4164,4164,Iowa,07-04-2020,31061,721
4214,4214,Iowa,07-05-2020,31517,721
4264,4264,Iowa,07-06-2020,31758,723
4314,4314,Iowa,07-07-2020,32153,732
4364,4364,Iowa,07-08-2020,32624,736
4414,4414,Iowa,07-09-2020,33254,741
4464,4464,Iowa,07-10-2020,34172,743
