,ID,Province_State,Date,Confirmed,Deaths
15,15,Kansas,04-12-2020,1344,56
65,65,Kansas,04-13-2020,1390,62
115,115,Kansas,04-14-2020,1441,69
165,165,Kansas,04-15-2020,1504,71
215,215,Kansas,04-16-2020,1615,80
265,265,Kansas,04-17-2020,1730,82
315,315,Kansas,04-18-2020,1821,85
365,365,Kansas,04-19-2020,1905,93
415,415,Kansas,04-20-2020,2048,102
465,465,Kansas,04-21-2020,2164,109
515,515,Kansas,04-22-2020,2331,112
565,565,Kansas,04-23-2020,2721,113
615,615,Kansas,04-24-2020,2959,118
665,665,Kansas,04-25-2020,3135,120
715,715,Kansas,04-26-2020,3277,121
765,765,Kansas,04-27-2020,3473,126
815,815,Kansas,04-28-2020,3652,127
865,865,Kansas,04-29-2020,3839,134
915,915,Kansas,04-30-2020,4413,134
965,965,Kansas,05-01-2020,4634,140
1015,1015,Kansas,05-02-2020,4885,142
1065,1065,Kansas,05-03-2020,5156,144
1115,1115,Kansas,05-04-2020,5383,156
1165,1165,Kansas,05-05-2020,5648,161
1215,1215,Kansas,05-06-2020,5993,164
1265,1265,Kansas,05-07-2020,6332,165
1315,1315,Kansas,05-08-2020,6667,168
1365,1365,Kansas,05-09-2020,6829,174
1415,1415,Kansas,05-10-2020,6951,174
1465,1465,Kansas,05-11-2020,7159,180
1515,1515,Kansas,05-12-2020,7240,184
1565,1565,Kansas,05-13-2020,7518,188
1615,1615,Kansas,05-14-2020,7705,189
1665,1665,Kansas,05-15-2020,7886,193
1715,1715,Kansas,05-16-2020,7939,195
1765,1765,Kansas,05-17-2020,7953,195
1815,1815,Kansas,05-18-2020,8303,198
1865,1865,Kansas,05-19-2020,8353,199
1915,1915,Kansas,05-20-2020,8507,202
1965,1965,Kansas,05-21-2020,8625,204
2015,2015,Kansas,05-22-2020,8909,205
2065,2065,Kansas,05-23-2020,8946,205
2115,2115,Kansas,05-24-2020,9004,205
2165,2165,Kansas,05-25-2020,9125,207
2215,2215,Kansas,05-26-2020,9199,210
2265,2265,Kansas,05-27-2020,9291,213
2315,2315,Kansas,05-28-2020,9371,214
2365,2365,Kansas,05-29-2020,9662,215
2415,2415,Kansas,05-30-2020,9690,215
2465,2465,Kansas,05-31-2020,9700,215
2515,2515,Kansas,06-01-2020,9920,217
2565,2565,Kansas,06-02-2020,9965,222
2615,2615,Kansas,06-03-2020,10092,226
2665,2665,Kansas,06-04-2020,10167,227
2715,2715,Kansas,06-05-2020,10306,232
2765,2765,Kansas,06-06-2020,10361,233
2815,2815,Kansas,06-07-2020,10406,233
2865,2865,Kansas,06-08-2020,10544,236
2915,2915,Kansas,06-09-2020,10609,237
2965,2965,Kansas,06-10-2020,10750,240
3015,3015,Kansas,06-11-2020,10823,243
3065,3065,Kansas,06-12-2020,10973,243
3115,3115,Kansas,06-13-2020,11020,245
3165,3165,Kansas,06-14-2020,11101,245
3215,3215,Kansas,06-15-2020,11319,246
3265,3265,Kansas,06-16-2020,11411,246
3315,3315,Kansas,06-17-2020,11644,247
3365,3365,Kansas,06-18-2020,11753,251
3415,3415,Kansas,06-19-2020,12021,253
3465,3465,Kansas,06-20-2020,12097,256
3515,3515,Kansas,06-21-2020,12136,257
3565,3565,Kansas,06-22-2020,12428,258
3615,3615,Kansas,06-23-2020,12537,260
3665,3665,Kansas,06-24-2020,12930,260
3715,3715,Kansas,06-25-2020,13107,262
3765,3765,Kansas,06-26-2020,13462,265
3815,3815,Kansas,06-27-2020,13617,268
3865,3865,Kansas,06-28-2020,13847,269
3915,3915,Kansas,06-29-2020,14209,273
3965,3965,Kansas,06-30-2020,14370,273
4015,4015,Kansas,07-01-2020,14830,277
4065,4065,Kansas,07-02-2020,15002,280
4115,4115,Kansas,07-03-2020,15659,282
4165,4165,Kansas,07-04-2020,15911,283
4215,4215,Kansas,07-05-2020,16081,284
4265,4265,Kansas,07-06-2020,16638,285
4315,4315,Kansas,07-07-2020,16860,289
4365,4365,Kansas,07-08-2020,17332,289
4415,4415,Kansas,07-09-2020,17785,293
4465,4465,Kansas,07-10-2020,18303,293
4515,4515,Kansas,07-11-2020,18687,295
4565,4565,Kansas,07-12-2020,18981,297
4615,4615,Kansas,07-13-2020,19645,298
4665,4665,Kansas,07-14-2020,19887,299
4715,4715,Kansas,07-15-2020,20349,304
4765,4765,Kansas,07-16-2020,20817,305
4815,4815,Kansas,07-17-2020,21388,306
4865,4865,Kansas,07-18-2020,21693,308
4915,4915,Kansas,07-19-2020,21996,309
4965,4965,Kansas,07-20-2020,22656,312
5015,5015,Kansas,07-21-2020,22929,316
5065,5065,Kansas,07-22-2020,23481,321
