,ID,Province_State,Date,Confirmed,Deaths
16,16,Kentucky,04-12-2020,1963,97
66,66,Kentucky,04-13-2020,2018,113
116,116,Kentucky,04-14-2020,2048,106
166,166,Kentucky,04-15-2020,2210,115
216,216,Kentucky,04-16-2020,2435,129
266,266,Kentucky,04-17-2020,2522,137
316,316,Kentucky,04-18-2020,2707,144
366,366,Kentucky,04-19-2020,2960,146
416,416,Kentucky,04-20-2020,3050,154
466,466,Kentucky,04-21-2020,3204,171
516,516,Kentucky,04-22-2020,3378,185
566,566,Kentucky,04-23-2020,3479,191
616,616,Kentucky,04-24-2020,3779,200
666,666,Kentucky,04-25-2020,3915,205
716,716,Kentucky,04-26-2020,4085,208
766,766,Kentucky,04-27-2020,4156,213
816,816,Kentucky,04-28-2020,4375,225
866,866,Kentucky,04-29-2020,4537,234
916,916,Kentucky,04-30-2020,4708,240
966,966,Kentucky,05-01-2020,4882,246
1016,1016,Kentucky,05-02-2020,4879,248
1066,1066,Kentucky,05-03-2020,5130,253
1116,1116,Kentucky,05-04-2020,5245,261
1166,1166,Kentucky,05-05-2020,5822,275
1216,1216,Kentucky,05-06-2020,5934,283
1266,1266,Kentucky,05-07-2020,6129,294
1316,1316,Kentucky,05-08-2020,6288,298
1366,1366,Kentucky,05-09-2020,6440,304
1416,1416,Kentucky,05-10-2020,6440,304
1466,1466,Kentucky,05-11-2020,6677,311
1516,1516,Kentucky,05-12-2020,6853,321
1566,1566,Kentucky,05-13-2020,6853,321
1616,1616,Kentucky,05-14-2020,7225,328
1666,1666,Kentucky,05-15-2020,7444,332
1716,1716,Kentucky,05-16-2020,7688,334
1766,1766,Kentucky,05-17-2020,7688,334
1816,1816,Kentucky,05-18-2020,7935,346
1866,1866,Kentucky,05-19-2020,8069,366
1916,1916,Kentucky,05-20-2020,8167,376
1966,1966,Kentucky,05-21-2020,8286,386
2016,2016,Kentucky,05-22-2020,8426,391
2066,2066,Kentucky,05-23-2020,8571,391
2116,2116,Kentucky,05-24-2020,8571,391
2166,2166,Kentucky,05-25-2020,8571,391
2216,2216,Kentucky,05-26-2020,8951,394
2266,2266,Kentucky,05-27-2020,9077,400
2316,2316,Kentucky,05-28-2020,9185,409
2366,2366,Kentucky,05-29-2020,9464,418
2416,2416,Kentucky,05-30-2020,9704,431
2466,2466,Kentucky,05-31-2020,9704,431
2516,2516,Kentucky,06-01-2020,10046,439
2566,2566,Kentucky,06-02-2020,10185,442
2616,2616,Kentucky,06-03-2020,10410,450
2666,2666,Kentucky,06-04-2020,10705,458
2716,2716,Kentucky,06-05-2020,10977,466
2766,2766,Kentucky,06-06-2020,11287,470
2816,2816,Kentucky,06-07-2020,11287,470
2866,2866,Kentucky,06-08-2020,11476,472
2916,2916,Kentucky,06-09-2020,11707,477
2966,2966,Kentucky,06-10-2020,11883,484
3016,3016,Kentucky,06-11-2020,11945,493
3066,3066,Kentucky,06-12-2020,12166,497
3116,3116,Kentucky,06-13-2020,12445,499
3166,3166,Kentucky,06-14-2020,12445,499
3216,3216,Kentucky,06-15-2020,12647,505
3266,3266,Kentucky,06-16-2020,12647,505
3316,3316,Kentucky,06-17-2020,12995,518
3366,3366,Kentucky,06-18-2020,13197,520
3416,3416,Kentucky,06-19-2020,13454,522
3466,3466,Kentucky,06-20-2020,13630,524
3516,3516,Kentucky,06-21-2020,13750,526
3566,3566,Kentucky,06-22-2020,13839,526
3616,3616,Kentucky,06-23-2020,14141,537
3666,3666,Kentucky,06-24-2020,14363,538
3716,3716,Kentucky,06-25-2020,14617,546
3766,3766,Kentucky,06-26-2020,14859,553
3816,3816,Kentucky,06-27-2020,15167,554
3866,3866,Kentucky,06-28-2020,15232,558
3916,3916,Kentucky,06-29-2020,15347,560
3966,3966,Kentucky,06-30-2020,15624,565
4016,4016,Kentucky,07-01-2020,15842,572
