,ID,Province_State,Date,Confirmed,Deaths
17,17,Louisiana,04-12-2020,20595,840
67,67,Louisiana,04-13-2020,21016,884
117,117,Louisiana,04-14-2020,21518,1013
167,167,Louisiana,04-15-2020,21951,1103
217,217,Louisiana,04-16-2020,22532,1156
267,267,Louisiana,04-17-2020,23118,1213
317,317,Louisiana,04-18-2020,23580,1267
367,367,Louisiana,04-19-2020,23928,1296
417,417,Louisiana,04-20-2020,24523,1328
467,467,Louisiana,04-21-2020,24854,1405
517,517,Louisiana,04-22-2020,25258,1473
567,567,Louisiana,04-23-2020,25739,1599
617,617,Louisiana,04-24-2020,26140,1660
667,667,Louisiana,04-25-2020,26512,1707
717,717,Louisiana,04-26-2020,26773,1729
767,767,Louisiana,04-27-2020,27068,1740
817,817,Louisiana,04-28-2020,27286,1801
867,867,Louisiana,04-29-2020,27660,1845
917,917,Louisiana,04-30-2020,28001,1905
967,967,Louisiana,05-01-2020,28711,1970
1017,1017,Louisiana,05-02-2020,29140,1993
1067,1067,Louisiana,05-03-2020,29340,2012
1117,1117,Louisiana,05-04-2020,29673,2064
1167,1167,Louisiana,05-05-2020,29996,2115
1217,1217,Louisiana,05-06-2020,30399,2167
1267,1267,Louisiana,05-07-2020,30652,2208
1317,1317,Louisiana,05-08-2020,30855,2227
1367,1367,Louisiana,05-09-2020,31417,2267
1417,1417,Louisiana,05-10-2020,31600,2286
1467,1467,Louisiana,05-11-2020,31815,2308
1517,1517,Louisiana,05-12-2020,32050,2347
1567,1567,Louisiana,05-13-2020,32662,2381
1617,1617,Louisiana,05-14-2020,33489,2417
1667,1667,Louisiana,05-15-2020,33837,2448
1717,1717,Louisiana,05-16-2020,34117,2479
1767,1767,Louisiana,05-17-2020,34432,2491
1817,1817,Louisiana,05-18-2020,34709,2563
1867,1867,Louisiana,05-19-2020,35038,2581
1917,1917,Louisiana,05-20-2020,35316,2608
1967,1967,Louisiana,05-21-2020,36504,2629
2017,2017,Louisiana,05-22-2020,36925,2668
2067,2067,Louisiana,05-23-2020,36925,2668
2117,2117,Louisiana,05-24-2020,37169,2691
2167,2167,Louisiana,05-25-2020,37809,2691
2217,2217,Louisiana,05-26-2020,38054,2702
2267,2267,Louisiana,05-27-2020,38497,2723
2317,2317,Louisiana,05-28-2020,38802,2741
2367,2367,Louisiana,05-29-2020,38802,2767
2417,2417,Louisiana,05-30-2020,39577,2786
2467,2467,Louisiana,05-31-2020,39916,2791
2517,2517,Louisiana,06-01-2020,40341,2801
2567,2567,Louisiana,06-02-2020,40746,2835
2617,2617,Louisiana,06-03-2020,41133,2870
2667,2667,Louisiana,06-04-2020,41562,2883
2717,2717,Louisiana,06-05-2020,41989,2912
2767,2767,Louisiana,06-06-2020,42486,2925
2817,2817,Louisiana,06-07-2020,42816,2936
2867,2867,Louisiana,06-08-2020,43050,2944
2917,2917,Louisiana,06-09-2020,43612,2957
2967,2967,Louisiana,06-10-2020,44030,2968
3017,3017,Louisiana,06-11-2020,44472,2987
3067,3067,Louisiana,06-12-2020,44995,2996
3117,3117,Louisiana,06-13-2020,46283,3004
3167,3167,Louisiana,06-14-2020,46619,3014
3217,3217,Louisiana,06-15-2020,47172,3018
3267,3267,Louisiana,06-16-2020,47706,3042
