,ID,Province_State,Date,Confirmed,Deaths
18,18,Maine,04-12-2020,633,19
68,68,Maine,04-13-2020,698,19
118,118,Maine,04-14-2020,735,20
168,168,Maine,04-15-2020,770,24
218,218,Maine,04-16-2020,796,27
268,268,Maine,04-17-2020,827,29
318,318,Maine,04-18-2020,847,32
368,368,Maine,04-19-2020,867,34
418,418,Maine,04-20-2020,875,35
468,468,Maine,04-21-2020,888,36
518,518,Maine,04-22-2020,907,39
568,568,Maine,04-23-2020,937,44
618,618,Maine,04-24-2020,965,47
668,668,Maine,04-25-2020,965,47
718,718,Maine,04-26-2020,1015,50
768,768,Maine,04-27-2020,1023,51
818,818,Maine,04-28-2020,1040,51
868,868,Maine,04-29-2020,1056,52
918,918,Maine,04-30-2020,1095,53
968,968,Maine,05-01-2020,1123,55
1018,1018,Maine,05-02-2020,1153,56
1068,1068,Maine,05-03-2020,1185,57
1118,1118,Maine,05-04-2020,1205,57
1168,1168,Maine,05-05-2020,1226,61
1218,1218,Maine,05-06-2020,1254,62
1268,1268,Maine,05-07-2020,1330,62
1318,1318,Maine,05-08-2020,1374,63
1368,1368,Maine,05-09-2020,1408,64
1418,1418,Maine,05-10-2020,1436,64
1468,1468,Maine,05-11-2020,1462,65
1518,1518,Maine,05-12-2020,1477,65
1568,1568,Maine,05-13-2020,1515,66
1618,1618,Maine,05-14-2020,1565,69
1668,1668,Maine,05-15-2020,1603,69
1718,1718,Maine,05-16-2020,1648,70
1768,1768,Maine,05-17-2020,1687,70
1818,1818,Maine,05-18-2020,1713,71
1868,1868,Maine,05-19-2020,1741,73
1918,1918,Maine,05-20-2020,1819,73
1968,1968,Maine,05-21-2020,1877,73
2018,2018,Maine,05-22-2020,1948,75
2068,2068,Maine,05-23-2020,2013,77
2118,2118,Maine,05-24-2020,2055,78
2168,2168,Maine,05-25-2020,2074,78
2218,2218,Maine,05-26-2020,2109,79
2268,2268,Maine,05-27-2020,2137,81
2318,2318,Maine,05-28-2020,2189,84
2368,2368,Maine,05-29-2020,2226,85
2418,2418,Maine,05-30-2020,2282,89
2468,2468,Maine,05-31-2020,2325,89
2518,2518,Maine,06-01-2020,2349,89
2568,2568,Maine,06-02-2020,2377,94
2618,2618,Maine,06-03-2020,2418,95
2668,2668,Maine,06-04-2020,2446,95
2718,2718,Maine,06-05-2020,2482,98
2768,2768,Maine,06-06-2020,2524,98
2818,2818,Maine,06-07-2020,2570,99
2868,2868,Maine,06-08-2020,2588,99
2918,2918,Maine,06-09-2020,2606,100
2968,2968,Maine,06-10-2020,2637,100
3018,3018,Maine,06-11-2020,2667,100
3068,3068,Maine,06-12-2020,2721,100
3118,3118,Maine,06-13-2020,2757,100
3168,3168,Maine,06-14-2020,2793,100
3218,3218,Maine,06-15-2020,2810,101
3268,3268,Maine,06-16-2020,2819,101
3318,3318,Maine,06-17-2020,2836,102
3368,3368,Maine,06-18-2020,2878,102
3418,3418,Maine,06-19-2020,2913,102
3468,3468,Maine,06-20-2020,2938,102
3518,3518,Maine,06-21-2020,2957,102
3568,3568,Maine,06-22-2020,2971,102
3618,3618,Maine,06-23-2020,2996,102
3668,3668,Maine,06-24-2020,3017,103
3718,3718,Maine,06-25-2020,3070,103
3768,3768,Maine,06-26-2020,3102,103
3818,3818,Maine,06-27-2020,3154,104
3868,3868,Maine,06-28-2020,3191,104
3918,3918,Maine,06-29-2020,3219,105
3968,3968,Maine,06-30-2020,3253,105
