,ID,Province_State,Date,Confirmed,Deaths
19,19,Maryland,04-12-2020,8225,236
69,69,Maryland,04-13-2020,8936,262
119,119,Maryland,04-14-2020,9472,302
169,169,Maryland,04-15-2020,10032,311
219,219,Maryland,04-16-2020,10784,319
269,269,Maryland,04-17-2020,11572,334
319,319,Maryland,04-18-2020,12326,421
369,369,Maryland,04-19-2020,12847,461
419,419,Maryland,04-20-2020,13684,582
469,469,Maryland,04-21-2020,14193,652
519,519,Maryland,04-22-2020,14775,698
569,569,Maryland,04-23-2020,15737,748
619,619,Maryland,04-24-2020,16616,798
669,669,Maryland,04-25-2020,17766,875
719,719,Maryland,04-26-2020,18581,910
769,769,Maryland,04-27-2020,19487,945
819,819,Maryland,04-28-2020,20113,1016
869,869,Maryland,04-29-2020,20849,1078
919,919,Maryland,04-30-2020,21742,1140
969,969,Maryland,05-01-2020,23472,1080
1019,1019,Maryland,05-02-2020,24473,1251
1069,1069,Maryland,05-03-2020,25462,1281
1119,1119,Maryland,05-04-2020,26408,1317
1169,1169,Maryland,05-05-2020,27117,1390
1219,1219,Maryland,05-06-2020,28163,1437
1269,1269,Maryland,05-07-2020,29374,1503
1319,1319,Maryland,05-08-2020,30485,1560
1369,1369,Maryland,05-09-2020,31534,1614
1419,1419,Maryland,05-10-2020,32587,1644
1469,1469,Maryland,05-11-2020,33373,1683
1519,1519,Maryland,05-12-2020,34061,1756
1569,1569,Maryland,05-13-2020,34812,1809
1619,1619,Maryland,05-14-2020,35903,1866
1669,1669,Maryland,05-15-2020,36986,1911
1719,1719,Maryland,05-16-2020,37968,1957
1769,1769,Maryland,05-17-2020,38804,1992
1819,1819,Maryland,05-18-2020,39762,2023
1869,1869,Maryland,05-19-2020,41546,2081
1919,1919,Maryland,05-20-2020,42323,2123
1969,1969,Maryland,05-21-2020,43531,2159
2019,2019,Maryland,05-22-2020,44424,2207
2069,2069,Maryland,05-23-2020,45495,2243
2119,2119,Maryland,05-24-2020,46313,2277
2169,2169,Maryland,05-25-2020,47152,2302
2219,2219,Maryland,05-26-2020,47687,2333
2269,2269,Maryland,05-27-2020,48423,2392
2319,2319,Maryland,05-28-2020,49709,2428
2369,2369,Maryland,05-29-2020,50988,2466
2419,2419,Maryland,05-30-2020,52015,2509
2469,2469,Maryland,05-31-2020,52778,2532
2519,2519,Maryland,06-01-2020,53327,2552
2569,2569,Maryland,06-02-2020,54175,2597
2619,2619,Maryland,06-03-2020,54982,2641
2669,2669,Maryland,06-04-2020,55858,2668
2719,2719,Maryland,06-05-2020,56770,2702
2769,2769,Maryland,06-06-2020,57482,2740
2819,2819,Maryland,06-07-2020,57973,2749
2869,2869,Maryland,06-08-2020,58404,2776
2919,2919,Maryland,06-09-2020,58904,2811
2969,2969,Maryland,06-10-2020,59465,2844
3019,3019,Maryland,06-11-2020,60197,2875
3069,3069,Maryland,06-12-2020,60613,2900
3119,3119,Maryland,06-13-2020,61305,2926
3169,3169,Maryland,06-14-2020,61701,2939
3219,3219,Maryland,06-15-2020,62032,2947
3269,3269,Maryland,06-16-2020,62409,2982
3319,3319,Maryland,06-17-2020,62969,2996
3369,3369,Maryland,06-18-2020,63229,3016
3419,3419,Maryland,06-19-2020,63548,3030
3469,3469,Maryland,06-20-2020,63956,3052
3519,3519,Maryland,06-21-2020,64306,3066
3569,3569,Maryland,06-22-2020,64603,3074
3619,3619,Maryland,06-23-2020,65007,3092
3669,3669,Maryland,06-24-2020,65337,3108
3719,3719,Maryland,06-25-2020,65777,3129
3769,3769,Maryland,06-26-2020,66115,3142
3819,3819,Maryland,06-27-2020,66450,3157
3869,3869,Maryland,06-28-2020,66777,3168
3919,3919,Maryland,06-29-2020,67254,3175
3969,3969,Maryland,06-30-2020,67559,3190
4019,4019,Maryland,07-01-2020,67918,3205
4069,4069,Maryland,07-02-2020,68423,3212
4119,4119,Maryland,07-03-2020,68961,3223
4169,4169,Maryland,07-04-2020,69341,3236
4219,4219,Maryland,07-05-2020,69632,3243
4269,4269,Maryland,07-06-2020,69904,3246
4319,4319,Maryland,07-07-2020,70396,3266
4369,4369,Maryland,07-08-2020,70861,3275
4419,4419,Maryland,07-09-2020,71447,3288
4469,4469,Maryland,07-10-2020,71910,3303
4519,4519,Maryland,07-11-2020,72467,3310
4569,4569,Maryland,07-12-2020,73109,3319
4619,4619,Maryland,07-13-2020,73527,3325
4669,4669,Maryland,07-14-2020,74260,3334
4719,4719,Maryland,07-15-2020,75016,3341
4769,4769,Maryland,07-16-2020,75664,3347
4819,4819,Maryland,07-17-2020,76371,3359
4869,4869,Maryland,07-18-2020,77206,3368
4919,4919,Maryland,07-19-2020,78131,3377
4969,4969,Maryland,07-20-2020,78685,3382
5019,5019,Maryland,07-21-2020,79545,3402
5069,5069,Maryland,07-22-2020,80172,3405
5119,5119,Maryland,07-23-2020,80836,3409
5169,5169,Maryland,07-24-2020,81766,3422
5219,5219,Maryland,07-25-2020,83054,3433
5269,5269,Maryland,07-26-2020,83748,3440
5319,5319,Maryland,07-27-2020,84876,3447
5369,5369,Maryland,07-28-2020,85524,3458
5419,5419,Maryland,07-29-2020,86285,3478
5469,5469,Maryland,07-30-2020,87177,3488
5519,5519,Maryland,07-31-2020,88346,3493
5569,5569,Maryland,08-01-2020,89365,3506
5619,5619,Maryland,08-02-2020,90274,3515
5669,5669,Maryland,08-03-2020,91144,3523
5719,5719,Maryland,08-04-2020,91854,3530
5769,5769,Maryland,08-05-2020,92426,3536
5819,5819,Maryland,08-06-2020,93005,3551
5869,5869,Maryland,08-07-2020,93806,3565
5919,5919,Maryland,08-08-2020,94581,3577
5969,5969,Maryland,08-09-2020,95503,3585
6019,6019,Maryland,08-10-2020,96258,3591
6069,6069,Maryland,08-11-2020,96843,3604
6119,6119,Maryland,08-12-2020,97384,3612
6169,6169,Maryland,08-13-2020,98160,3620
6219,6219,Maryland,08-14-2020,98875,3631
6269,6269,Maryland,08-15-2020,99693,3636
6319,6319,Maryland,08-16-2020,100212,3639
6369,6369,Maryland,08-17-2020,100715,3641
6419,6419,Maryland,08-18-2020,101235,3650
6469,6469,Maryland,08-19-2020,101649,3661
6519,6519,Maryland,08-20-2020,102229,3669
6569,6569,Maryland,08-21-2020,102899,3674
6619,6619,Maryland,08-22-2020,103523,3685
6669,6669,Maryland,08-23-2020,104102,3691
6719,6719,Maryland,08-24-2020,104669,3694
6769,6769,Maryland,08-25-2020,105046,3707
6819,6819,Maryland,08-26-2020,105486,3717
6869,6869,Maryland,08-27-2020,106063,3722
6919,6919,Maryland,08-28-2020,106664,3727
6969,6969,Maryland,08-29-2020,107294,3746
7019,7019,Maryland,08-30-2020,107791,3752
7069,7069,Maryland,08-31-2020,108249,3755
