,ID,Province_State,Date,Confirmed,Deaths
20,20,Massachusetts,04-12-2020,25475,756
70,70,Massachusetts,04-13-2020,26867,844
120,120,Massachusetts,04-14-2020,28164,844
170,170,Massachusetts,04-15-2020,29918,1108
220,220,Massachusetts,04-16-2020,32181,1108
270,270,Massachusetts,04-17-2020,34402,1245
320,320,Massachusetts,04-18-2020,36372,1404
370,370,Massachusetts,04-19-2020,38077,1706
420,420,Massachusetts,04-20-2020,38077,1706
470,470,Massachusetts,04-21-2020,41199,1961
520,520,Massachusetts,04-22-2020,42944,2182
570,570,Massachusetts,04-23-2020,46023,2360
620,620,Massachusetts,04-24-2020,50969,2556
670,670,Massachusetts,04-25-2020,53348,2730
720,720,Massachusetts,04-26-2020,54938,2899
770,770,Massachusetts,04-27-2020,56462,3003
820,820,Massachusetts,04-28-2020,58302,3153
870,870,Massachusetts,04-29-2020,60265,3405
920,920,Massachusetts,04-30-2020,62205,3562
970,970,Massachusetts,05-01-2020,64311,3716
1020,1020,Massachusetts,05-02-2020,66263,3846
1070,1070,Massachusetts,05-03-2020,68087,4004
1120,1120,Massachusetts,05-04-2020,69087,4090
1170,1170,Massachusetts,05-05-2020,70271,4212
1220,1220,Massachusetts,05-06-2020,72025,4420
1270,1270,Massachusetts,05-07-2020,73721,4552
1320,1320,Massachusetts,05-08-2020,75333,4702
1370,1370,Massachusetts,05-09-2020,76743,4840
1420,1420,Massachusetts,05-10-2020,77793,4979
1470,1470,Massachusetts,05-11-2020,78462,5108
1520,1520,Massachusetts,05-12-2020,79332,5141
1570,1570,Massachusetts,05-13-2020,80497,5315
1620,1620,Massachusetts,05-14-2020,82182,5482
1670,1670,Massachusetts,05-15-2020,83421,5592
1720,1720,Massachusetts,05-16-2020,84933,5705
1770,1770,Massachusetts,05-17-2020,86010,5797
1820,1820,Massachusetts,05-18-2020,87052,5862
1870,1870,Massachusetts,05-19-2020,87925,5938
1920,1920,Massachusetts,05-20-2020,88970,6066
1970,1970,Massachusetts,05-21-2020,90084,6148
2020,2020,Massachusetts,05-22-2020,90889,6228
2070,2070,Massachusetts,05-23-2020,91662,6304
2120,2120,Massachusetts,05-24-2020,92675,6372
2170,2170,Massachusetts,05-25-2020,93271,6416
2220,2220,Massachusetts,05-26-2020,93693,6473
2270,2270,Massachusetts,05-27-2020,94220,6547
2320,2320,Massachusetts,05-28-2020,94895,6640
2370,2370,Massachusetts,05-29-2020,95512,6718
2420,2420,Massachusetts,05-30-2020,96301,6768
2470,2470,Massachusetts,05-31-2020,96965,6846
2520,2520,Massachusetts,06-01-2020,100805,7035
2570,2570,Massachusetts,06-02-2020,101163,7085
2620,2620,Massachusetts,06-03-2020,101592,7152
2670,2670,Massachusetts,06-04-2020,102063,7201
2720,2720,Massachusetts,06-05-2020,102557,7235
2770,2770,Massachusetts,06-06-2020,103132,7289
2820,2820,Massachusetts,06-07-2020,103436,7316
2870,2870,Massachusetts,06-08-2020,103626,7353
2920,2920,Massachusetts,06-09-2020,103889,7408
2970,2970,Massachusetts,06-10-2020,104156,7454
3020,3020,Massachusetts,06-11-2020,104667,7492
3070,3070,Massachusetts,06-12-2020,105059,7538
3120,3120,Massachusetts,06-13-2020,105395,7576
3170,3170,Massachusetts,06-14-2020,105603,7624
3220,3220,Massachusetts,06-15-2020,105690,7647
3270,3270,Massachusetts,06-16-2020,105885,7664
3320,3320,Massachusetts,06-17-2020,106151,7733
3370,3370,Massachusetts,06-18-2020,106422,7769
3420,3420,Massachusetts,06-19-2020,106650,7799
3470,3470,Massachusetts,06-20-2020,106936,7827
3520,3520,Massachusetts,06-21-2020,107061,7857
3570,3570,Massachusetts,06-22-2020,107210,7873
3620,3620,Massachusetts,06-23-2020,107439,7889
3670,3670,Massachusetts,06-24-2020,107611,7937
3720,3720,Massachusetts,06-25-2020,107837,7962
3770,3770,Massachusetts,06-26-2020,108070,8012
3820,3820,Massachusetts,06-27-2020,108443,8040
3870,3870,Massachusetts,06-28-2020,108667,8059
3920,3920,Massachusetts,06-29-2020,108768,8094
3970,3970,Massachusetts,06-30-2020,108882,8053
4020,4020,Massachusetts,07-01-2020,108882,8053
4070,4070,Massachusetts,07-02-2020,109338,8132
4120,4120,Massachusetts,07-03-2020,109628,8149
4170,4170,Massachusetts,07-04-2020,109838,8172
4220,4220,Massachusetts,07-05-2020,109974,8183
4270,4270,Massachusetts,07-06-2020,110137,8198
4320,4320,Massachusetts,07-07-2020,110338,8213
4370,4370,Massachusetts,07-08-2020,110602,8243
4420,4420,Massachusetts,07-09-2020,110897,8268
4470,4470,Massachusetts,07-10-2020,111110,8296
4520,4520,Massachusetts,07-11-2020,111398,8310
4570,4570,Massachusetts,07-12-2020,111597,8325
4620,4620,Massachusetts,07-13-2020,111827,8330
4670,4670,Massachusetts,07-14-2020,112130,8340
4720,4720,Massachusetts,07-15-2020,112347,8368
4770,4770,Massachusetts,07-16-2020,112581,8380
4820,4820,Massachusetts,07-17-2020,112879,8402
4870,4870,Massachusetts,07-18-2020,113238,8419
4920,4920,Massachusetts,07-19-2020,113534,8431
4970,4970,Massachusetts,07-20-2020,113789,8433
5020,5020,Massachusetts,07-21-2020,114033,8450
5070,5070,Massachusetts,07-22-2020,114320,8468
5120,5120,Massachusetts,07-23-2020,114647,8484
5170,5170,Massachusetts,07-24-2020,114985,8498
5220,5220,Massachusetts,07-25-2020,115268,8510
5270,5270,Massachusetts,07-26-2020,115637,8529
5320,5320,Massachusetts,07-27-2020,115926,8536
5370,5370,Massachusetts,07-28-2020,116182,8551
5420,5420,Massachusetts,07-29-2020,116684,8580
5470,5470,Massachusetts,07-30-2020,117098,8580
5520,5520,Massachusetts,07-31-2020,117612,8609
5570,5570,Massachusetts,08-01-2020,118040,8626
5620,5620,Massachusetts,08-02-2020,118458,8638
