,ID,Province_State,Date,Confirmed,Deaths
21,21,Michigan,04-12-2020,24244,1479
71,71,Michigan,04-13-2020,25635,1602
121,121,Michigan,04-14-2020,27001,1768
171,171,Michigan,04-15-2020,28059,1921
221,221,Michigan,04-16-2020,28809,1996
271,271,Michigan,04-17-2020,30023,2227
321,321,Michigan,04-18-2020,30791,2308
371,371,Michigan,04-19-2020,31424,2391
421,421,Michigan,04-20-2020,32000,2468
471,471,Michigan,04-21-2020,32667,2575
521,521,Michigan,04-22-2020,33966,2813
571,571,Michigan,04-23-2020,35296,2977
621,621,Michigan,04-24-2020,36641,3085
671,671,Michigan,04-25-2020,37074,3155
721,721,Michigan,04-26-2020,37778,3315
771,771,Michigan,04-27-2020,38210,3407
821,821,Michigan,04-28-2020,39262,3568
871,871,Michigan,04-29-2020,40399,3670
921,921,Michigan,04-30-2020,41379,3789
971,971,Michigan,05-01-2020,42356,3866
1021,1021,Michigan,05-02-2020,43207,4021
1071,1071,Michigan,05-03-2020,43801,4053
1121,1121,Michigan,05-04-2020,43990,4139
1171,1171,Michigan,05-05-2020,44451,4183
1221,1221,Michigan,05-06-2020,45179,4256
1271,1271,Michigan,05-07-2020,45745,4345
1321,1321,Michigan,05-08-2020,46386,4399
1371,1371,Michigan,05-09-2020,46815,4530
1421,1421,Michigan,05-10-2020,47182,4555
1471,1471,Michigan,05-11-2020,47552,4584
1521,1521,Michigan,05-12-2020,48021,4674
1571,1571,Michigan,05-13-2020,48391,4714
1621,1621,Michigan,05-14-2020,49582,4787
1671,1671,Michigan,05-15-2020,50079,4825
1721,1721,Michigan,05-16-2020,50538,4881
1771,1771,Michigan,05-17-2020,51142,4891
1821,1821,Michigan,05-18-2020,51915,4915
1871,1871,Michigan,05-19-2020,52350,5017
1921,1921,Michigan,05-20-2020,53009,5060
1971,1971,Michigan,05-21-2020,53510,5129
2021,2021,Michigan,05-22-2020,53913,5158
2071,2071,Michigan,05-23-2020,54365,5223
2121,2121,Michigan,05-24-2020,54679,5228
2171,2171,Michigan,05-25-2020,54881,5241
2221,2221,Michigan,05-26-2020,55104,5266
2271,2271,Michigan,05-27-2020,55608,5334
2321,2321,Michigan,05-28-2020,56014,5372
2371,2371,Michigan,05-29-2020,56621,5406
2421,2421,Michigan,05-30-2020,56969,5464
2471,2471,Michigan,05-31-2020,57397,5491
2521,2521,Michigan,06-01-2020,57532,5516
2571,2571,Michigan,06-02-2020,57731,5553
2621,2621,Michigan,06-03-2020,58035,5570
2671,2671,Michigan,06-04-2020,58241,5595
2721,2721,Michigan,06-05-2020,63777,5854
2771,2771,Michigan,06-06-2020,64229,5894
2821,2821,Michigan,06-07-2020,64648,5898
2871,2871,Michigan,06-08-2020,64944,5916
2921,2921,Michigan,06-09-2020,64998,5948
2971,2971,Michigan,06-10-2020,65182,5955
3021,3021,Michigan,06-11-2020,65449,5985
3071,3071,Michigan,06-12-2020,65672,5990
3121,3121,Michigan,06-13-2020,65836,6013
3171,3171,Michigan,06-14-2020,66054,6016
3221,3221,Michigan,06-15-2020,66085,6018
3271,3271,Michigan,06-16-2020,66269,6034
3321,3321,Michigan,06-17-2020,66497,6036
3371,3371,Michigan,06-18-2020,66798,6061
3421,3421,Michigan,06-19-2020,67097,6067
3471,3471,Michigan,06-20-2020,67545,6087
3521,3521,Michigan,06-21-2020,67711,6090
3571,3571,Michigan,06-22-2020,67957,6097
3621,3621,Michigan,06-23-2020,68197,6109
3671,3671,Michigan,06-24-2020,68555,6114
3721,3721,Michigan,06-25-2020,68989,6133
3771,3771,Michigan,06-26-2020,69329,6134
3821,3821,Michigan,06-27-2020,69679,6153
3871,3871,Michigan,06-28-2020,69946,6157
3921,3921,Michigan,06-29-2020,70223,6161
3971,3971,Michigan,06-30-2020,70728,6193
4021,4021,Michigan,07-01-2020,71089,6198
4071,4071,Michigan,07-02-2020,71678,6212
4121,4121,Michigan,07-03-2020,72175,6215
4171,4171,Michigan,07-04-2020,72581,6218
4221,4221,Michigan,07-05-2020,72941,6218
4271,4271,Michigan,07-06-2020,73267,6221
4321,4321,Michigan,07-07-2020,73900,6251
4371,4371,Michigan,07-08-2020,74551,6262
4421,4421,Michigan,07-09-2020,75063,6271
4471,4471,Michigan,07-10-2020,75685,6285
4521,4521,Michigan,07-11-2020,76370,6313
4571,4571,Michigan,07-12-2020,76776,6314
4621,4621,Michigan,07-13-2020,77198,6321
4671,4671,Michigan,07-14-2020,77864,6326
4721,4721,Michigan,07-15-2020,78913,6330
4771,4771,Michigan,07-16-2020,79839,6348
4821,4821,Michigan,07-17-2020,80593,6355
4871,4871,Michigan,07-18-2020,81338,6364
4921,4921,Michigan,07-19-2020,81868,6366
4971,4971,Michigan,07-20-2020,82395,6373
5021,5021,Michigan,07-21-2020,83059,6382
5071,5071,Michigan,07-22-2020,83730,6388
5121,5121,Michigan,07-23-2020,84431,6395
5171,5171,Michigan,07-24-2020,85072,6400
5221,5221,Michigan,07-25-2020,85622,6400
5271,5271,Michigan,07-26-2020,86661,6400
5321,5321,Michigan,07-27-2020,87173,6405
5371,5371,Michigan,07-28-2020,87958,6421
5421,5421,Michigan,07-29-2020,88974,6422
5471,5471,Michigan,07-30-2020,89781,6443
5521,5521,Michigan,07-31-2020,90574,6450
5571,5571,Michigan,08-01-2020,91332,6457
