,ID,Province_State,Date,Confirmed,Deaths
22,22,Minnesota,04-12-2020,1621,70
72,72,Minnesota,04-13-2020,1621,70
122,122,Minnesota,04-14-2020,1695,79
172,172,Minnesota,04-15-2020,1809,87
222,222,Minnesota,04-16-2020,1809,87
272,272,Minnesota,04-17-2020,2070,111
322,322,Minnesota,04-18-2020,2209,121
372,372,Minnesota,04-19-2020,2356,134
422,422,Minnesota,04-20-2020,2470,143
472,472,Minnesota,04-21-2020,2567,160
522,522,Minnesota,04-22-2020,2722,179
572,572,Minnesota,04-23-2020,2942,200
622,622,Minnesota,04-24-2020,3185,221
672,672,Minnesota,04-25-2020,3446,244
722,722,Minnesota,04-26-2020,3602,272
772,772,Minnesota,04-27-2020,3811,286
822,822,Minnesota,04-28-2020,4181,301
872,872,Minnesota,04-29-2020,4644,319
922,922,Minnesota,04-30-2020,5136,343
972,972,Minnesota,05-01-2020,5730,370
1022,1022,Minnesota,05-02-2020,6232,394
1072,1072,Minnesota,05-03-2020,6663,418
1122,1122,Minnesota,05-04-2020,7234,427
1172,1172,Minnesota,05-05-2020,7851,455
1222,1222,Minnesota,05-06-2020,8579,485
1272,1272,Minnesota,05-07-2020,9365,508
1322,1322,Minnesota,05-08-2020,10088,534
1372,1372,Minnesota,05-09-2020,10790,558
1422,1422,Minnesota,05-10-2020,11271,578
1472,1472,Minnesota,05-11-2020,11799,591
1522,1522,Minnesota,05-12-2020,12494,614
1572,1572,Minnesota,05-13-2020,12917,638
1622,1622,Minnesota,05-14-2020,13435,672
1672,1672,Minnesota,05-15-2020,14240,692
1722,1722,Minnesota,05-16-2020,14969,709
1772,1772,Minnesota,05-17-2020,15668,731
1822,1822,Minnesota,05-18-2020,16372,740
1872,1872,Minnesota,05-19-2020,17029,757
1922,1922,Minnesota,05-20-2020,17670,786
1972,1972,Minnesota,05-21-2020,18200,818
2022,2022,Minnesota,05-22-2020,19005,851
2072,2072,Minnesota,05-23-2020,19845,861
2122,2122,Minnesota,05-24-2020,20573,878
2172,2172,Minnesota,05-25-2020,21315,890
2222,2222,Minnesota,05-26-2020,21960,908
2272,2272,Minnesota,05-27-2020,22464,942
2322,2322,Minnesota,05-28-2020,22947,977
2372,2372,Minnesota,05-29-2020,23531,1006
2422,2422,Minnesota,05-30-2020,24190,1036
2472,2472,Minnesota,05-31-2020,24850,1050
2522,2522,Minnesota,06-01-2020,25208,1060
2572,2572,Minnesota,06-02-2020,25508,1082
2622,2622,Minnesota,06-03-2020,25870,1097
2672,2672,Minnesota,06-04-2020,26273,1126
2722,2722,Minnesota,06-05-2020,26980,1159
2772,2772,Minnesota,06-06-2020,27501,1181
2822,2822,Minnesota,06-07-2020,27886,1197
2872,2872,Minnesota,06-08-2020,28224,1208
2922,2922,Minnesota,06-09-2020,28523,1228
2972,2972,Minnesota,06-10-2020,28869,1267
3022,3022,Minnesota,06-11-2020,29316,1280
3072,3072,Minnesota,06-12-2020,29795,1305
3122,3122,Minnesota,06-13-2020,30172,1314
3172,3172,Minnesota,06-14-2020,30471,1329
3222,3222,Minnesota,06-15-2020,30693,1335
3272,3272,Minnesota,06-16-2020,30882,1344
3322,3322,Minnesota,06-17-2020,31296,1357
3372,3372,Minnesota,06-18-2020,31675,1376
3422,3422,Minnesota,06-19-2020,32031,1393
3472,3472,Minnesota,06-20-2020,32467,1404
3522,3522,Minnesota,06-21-2020,32920,1412
3572,3572,Minnesota,06-22-2020,33227,1416
3622,3622,Minnesota,06-23-2020,33469,1425
3672,3672,Minnesota,06-24-2020,33763,1432
3722,3722,Minnesota,06-25-2020,34123,1441
3772,3772,Minnesota,06-26-2020,34616,1446
3822,3822,Minnesota,06-27-2020,35033,1452
3872,3872,Minnesota,06-28-2020,35549,1460
3922,3922,Minnesota,06-29-2020,35861,1470
3972,3972,Minnesota,06-30-2020,36303,1476
4022,4022,Minnesota,07-01-2020,36716,1482
4072,4072,Minnesota,07-02-2020,37210,1495
4122,4122,Minnesota,07-03-2020,37624,1503
4172,4172,Minnesota,07-04-2020,37624,1503
4222,4222,Minnesota,07-05-2020,38136,1508
4272,4272,Minnesota,07-06-2020,38569,1511
4322,4322,Minnesota,07-07-2020,39133,1514
4372,4372,Minnesota,07-08-2020,39589,1523
4422,4422,Minnesota,07-09-2020,40163,1528
4472,4472,Minnesota,07-10-2020,40767,1533
4522,4522,Minnesota,07-11-2020,41571,1537
4572,4572,Minnesota,07-12-2020,42281,1540
4622,4622,Minnesota,07-13-2020,42772,1542
4672,4672,Minnesota,07-14-2020,43170,1548
4722,4722,Minnesota,07-15-2020,43742,1558
4772,4772,Minnesota,07-16-2020,44347,1566
4822,4822,Minnesota,07-17-2020,45013,1573
4872,4872,Minnesota,07-18-2020,45470,1578
4922,4922,Minnesota,07-19-2020,46204,1581
4972,4972,Minnesota,07-20-2020,47107,1585
5022,5022,Minnesota,07-21-2020,47457,1588
5072,5072,Minnesota,07-22-2020,47961,1592
5122,5122,Minnesota,07-23-2020,48721,1601
5172,5172,Minnesota,07-24-2020,49488,1606
5222,5222,Minnesota,07-25-2020,50291,1611
5272,5272,Minnesota,07-26-2020,51153,1614
5322,5322,Minnesota,07-27-2020,51803,1616
5372,5372,Minnesota,07-28-2020,52281,1620
5422,5422,Minnesota,07-29-2020,52947,1629
5472,5472,Minnesota,07-30-2020,53692,1634
5522,5522,Minnesota,07-31-2020,54463,1640
5572,5572,Minnesota,08-01-2020,55188,1646
5622,5622,Minnesota,08-02-2020,55947,1654
5672,5672,Minnesota,08-03-2020,56560,1656
5722,5722,Minnesota,08-04-2020,57162,1660
5772,5772,Minnesota,08-05-2020,57779,1670
5822,5822,Minnesota,08-06-2020,58640,1677
5872,5872,Minnesota,08-07-2020,59185,1681
5922,5922,Minnesota,08-08-2020,60101,1689
5972,5972,Minnesota,08-09-2020,60898,1698
6022,6022,Minnesota,08-10-2020,61516,1701
6072,6072,Minnesota,08-11-2020,61839,1707
6122,6122,Minnesota,08-12-2020,62303,1724
6172,6172,Minnesota,08-13-2020,62993,1731
6222,6222,Minnesota,08-14-2020,63723,1739
6272,6272,Minnesota,08-15-2020,64413,1705
6322,6322,Minnesota,08-16-2020,65152,1752
6372,6372,Minnesota,08-17-2020,65716,1758
6422,6422,Minnesota,08-18-2020,66092,1767
6472,6472,Minnesota,08-19-2020,66618,1784
6522,6522,Minnesota,08-20-2020,67308,1791
6572,6572,Minnesota,08-21-2020,68133,1799
6622,6622,Minnesota,08-22-2020,68867,1807
6672,6672,Minnesota,08-23-2020,69584,1813
6722,6722,Minnesota,08-24-2020,70298,1817
6772,6772,Minnesota,08-25-2020,70707,1825
6822,6822,Minnesota,08-26-2020,71236,1840
6872,6872,Minnesota,08-27-2020,72390,1855
6922,6922,Minnesota,08-28-2020,73240,1859
6972,6972,Minnesota,08-29-2020,74257,1863
7022,7022,Minnesota,08-30-2020,75189,1865
7072,7072,Minnesota,08-31-2020,75864,1866
