,ID,Province_State,Date,Confirmed,Deaths
23,23,Mississippi,04-12-2020,2781,96
73,73,Mississippi,04-13-2020,2942,98
123,123,Mississippi,04-14-2020,3087,111
173,173,Mississippi,04-15-2020,3360,122
223,223,Mississippi,04-16-2020,3624,129
273,273,Mississippi,04-17-2020,3793,140
323,323,Mississippi,04-18-2020,3974,152
373,373,Mississippi,04-19-2020,4274,159
423,423,Mississippi,04-20-2020,4512,169
473,473,Mississippi,04-21-2020,4716,183
523,523,Mississippi,04-22-2020,4894,193
573,573,Mississippi,04-23-2020,5153,201
623,623,Mississippi,04-24-2020,5434,209
673,673,Mississippi,04-25-2020,5718,221
723,723,Mississippi,04-26-2020,5911,227
773,773,Mississippi,04-27-2020,6094,229
823,823,Mississippi,04-28-2020,6342,239
873,873,Mississippi,04-29-2020,6569,250
923,923,Mississippi,04-30-2020,6815,261
973,973,Mississippi,05-01-2020,7212,281
1023,1023,Mississippi,05-02-2020,7441,291
1073,1073,Mississippi,05-03-2020,7550,303
1123,1123,Mississippi,05-04-2020,7877,310
1173,1173,Mississippi,05-05-2020,8207,342
1223,1223,Mississippi,05-06-2020,8424,374
1273,1273,Mississippi,05-07-2020,8686,396
1323,1323,Mississippi,05-08-2020,9090,409
1373,1373,Mississippi,05-09-2020,9378,421
1423,1423,Mississippi,05-10-2020,9501,430
1473,1473,Mississippi,05-11-2020,9674,435
1523,1523,Mississippi,05-12-2020,9908,457
1573,1573,Mississippi,05-13-2020,10090,465
1623,1623,Mississippi,05-14-2020,10483,480
1673,1673,Mississippi,05-15-2020,10801,493
1723,1723,Mississippi,05-16-2020,11123,510
1773,1773,Mississippi,05-17-2020,11296,521
1823,1823,Mississippi,05-18-2020,11432,527
1873,1873,Mississippi,05-19-2020,11704,554
1923,1923,Mississippi,05-20-2020,11967,570
1973,1973,Mississippi,05-21-2020,12222,580
2023,2023,Mississippi,05-22-2020,12625,595
2073,2073,Mississippi,05-23-2020,13005,616
2123,2123,Mississippi,05-24-2020,13260,625
2173,2173,Mississippi,05-25-2020,13458,635
2223,2223,Mississippi,05-26-2020,13731,652
2273,2273,Mississippi,05-27-2020,14044,670
2323,2323,Mississippi,05-28-2020,14372,693
2373,2373,Mississippi,05-29-2020,14793,710
2423,2423,Mississippi,05-30-2020,15229,723
2473,2473,Mississippi,05-31-2020,15523,734
2523,2523,Mississippi,06-01-2020,15752,739
2573,2573,Mississippi,06-02-2020,16041,767
2623,2623,Mississippi,06-03-2020,16322,782
2673,2673,Mississippi,06-04-2020,16560,794
2723,2723,Mississippi,06-05-2020,16769,803
2773,2773,Mississippi,06-06-2020,17039,811
2823,2823,Mississippi,06-07-2020,17270,817
2873,2873,Mississippi,06-08-2020,17768,837
2923,2923,Mississippi,06-09-2020,18123,847
2973,2973,Mississippi,06-10-2020,18483,868
3023,3023,Mississippi,06-11-2020,18483,868
3073,3073,Mississippi,06-12-2020,19091,881
3123,3123,Mississippi,06-13-2020,19348,889
3173,3173,Mississippi,06-14-2020,19516,891
3223,3223,Mississippi,06-15-2020,19799,895
3273,3273,Mississippi,06-16-2020,20152,915
3323,3323,Mississippi,06-17-2020,20641,938
3373,3373,Mississippi,06-18-2020,20641,938
3423,3423,Mississippi,06-19-2020,20641,938
3473,3473,Mississippi,06-20-2020,20641,938
3523,3523,Mississippi,06-21-2020,20641,938
3573,3573,Mississippi,06-22-2020,22329,978
3623,3623,Mississippi,06-23-2020,22898,989
3673,3673,Mississippi,06-24-2020,23424,1011
3723,3723,Mississippi,06-25-2020,24516,1016
