,ID,Province_State,Date,Confirmed,Deaths
24,24,Missouri,04-12-2020,4269,118
74,74,Missouri,04-13-2020,4515,123
124,124,Missouri,04-14-2020,4746,149
174,174,Missouri,04-15-2020,4791,153
224,224,Missouri,04-16-2020,5174,169
274,274,Missouri,04-17-2020,5371,184
324,324,Missouri,04-18-2020,5579,197
374,374,Missouri,04-19-2020,5743,199
424,424,Missouri,04-20-2020,5890,200
474,474,Missouri,04-21-2020,6066,224
524,524,Missouri,04-22-2020,6277,238
574,574,Missouri,04-23-2020,6506,252
624,624,Missouri,04-24-2020,6788,272
674,674,Missouri,04-25-2020,6935,281
724,724,Missouri,04-26-2020,7120,283
774,774,Missouri,04-27-2020,7305,343
824,824,Missouri,04-28-2020,7450,330
874,874,Missouri,04-29-2020,7660,338
924,924,Missouri,04-30-2020,7818,350
974,974,Missouri,05-01-2020,8067,360
1024,1024,Missouri,05-02-2020,8356,376
1074,1074,Missouri,05-03-2020,8618,381
1124,1124,Missouri,05-04-2020,8946,386
1174,1174,Missouri,05-05-2020,9121,409
1224,1224,Missouri,05-06-2020,9323,428
1274,1274,Missouri,05-07-2020,9581,449
1324,1324,Missouri,05-08-2020,9733,483
1374,1374,Missouri,05-09-2020,9911,494
1424,1424,Missouri,05-10-2020,10068,503
1474,1474,Missouri,05-11-2020,10157,514
1524,1524,Missouri,05-12-2020,10269,529
1574,1574,Missouri,05-13-2020,10404,551
1624,1624,Missouri,05-14-2020,10594,566
1674,1674,Missouri,05-15-2020,10766,581
1724,1724,Missouri,05-16-2020,10959,594
1774,1774,Missouri,05-17-2020,11108,600
1824,1824,Missouri,05-18-2020,11242,611
1874,1874,Missouri,05-19-2020,11393,631
1924,1924,Missouri,05-20-2020,11528,640
1974,1974,Missouri,05-21-2020,11689,668
2024,2024,Missouri,05-22-2020,11836,677
2074,2074,Missouri,05-23-2020,11966,682
2124,2124,Missouri,05-24-2020,12149,686
2174,2174,Missouri,05-25-2020,12476,689
2224,2224,Missouri,05-26-2020,12579,693
2274,2274,Missouri,05-27-2020,12816,689
2324,2324,Missouri,05-28-2020,12981,708
2374,2374,Missouri,05-29-2020,13084,730
2424,2424,Missouri,05-30-2020,13298,774
2474,2474,Missouri,05-31-2020,13438,776
2524,2524,Missouri,06-01-2020,13724,776
2574,2574,Missouri,06-02-2020,14015,786
2624,2624,Missouri,06-03-2020,14189,791
2674,2674,Missouri,06-04-2020,14438,795
2724,2724,Missouri,06-05-2020,14572,805
2774,2774,Missouri,06-06-2020,14951,815
2824,2824,Missouri,06-07-2020,15023,815
2874,2874,Missouri,06-08-2020,15158,823
2924,2924,Missouri,06-09-2020,15352,845
2974,2974,Missouri,06-10-2020,15512,851
3024,3024,Missouri,06-11-2020,15699,862
3074,3074,Missouri,06-12-2020,15997,881
3124,3124,Missouri,06-13-2020,16232,885
3174,3174,Missouri,06-14-2020,16262,885
3224,3224,Missouri,06-15-2020,16611,887
3274,3274,Missouri,06-16-2020,16857,891
3324,3324,Missouri,06-17-2020,17069,909
3374,3374,Missouri,06-18-2020,17371,945
3424,3424,Missouri,06-19-2020,17667,958
3474,3474,Missouri,06-20-2020,18056,965
3524,3524,Missouri,06-21-2020,18459,965
3574,3574,Missouri,06-22-2020,18592,970
3624,3624,Missouri,06-23-2020,19005,976
3674,3674,Missouri,06-24-2020,19123,985
3724,3724,Missouri,06-25-2020,19637,987
3774,3774,Missouri,06-26-2020,20216,997
3824,3824,Missouri,06-27-2020,20572,1004
3874,3874,Missouri,06-28-2020,20689,1004
3924,3924,Missouri,06-29-2020,20825,1004
3974,3974,Missouri,06-30-2020,21001,1005
4024,4024,Missouri,07-01-2020,21035,1018
4074,4074,Missouri,07-02-2020,22636,1044
4124,4124,Missouri,07-03-2020,23160,1047
4174,4174,Missouri,07-04-2020,23583,1050
4224,4224,Missouri,07-05-2020,23816,1051
4274,4274,Missouri,07-06-2020,24211,1051
4324,4324,Missouri,07-07-2020,24918,1067
4374,4374,Missouri,07-08-2020,25590,1069
4424,4424,Missouri,07-09-2020,26410,1073
4474,4474,Missouri,07-10-2020,27069,1084
4524,4524,Missouri,07-11-2020,27606,1091
4574,4574,Missouri,07-12-2020,27880,1092
4624,4624,Missouri,07-13-2020,28289,1105
4674,4674,Missouri,07-14-2020,29240,1114
4724,4724,Missouri,07-15-2020,30057,1119
4774,4774,Missouri,07-16-2020,30873,1121
4824,4824,Missouri,07-17-2020,31738,1125
4874,4874,Missouri,07-18-2020,32704,1136
4924,4924,Missouri,07-19-2020,33521,1136
4974,4974,Missouri,07-20-2020,34102,1138
5024,5024,Missouri,07-21-2020,35194,1148
5074,5074,Missouri,07-22-2020,36497,1159
5124,5124,Missouri,07-23-2020,38060,1189
5174,5174,Missouri,07-24-2020,39635,1195
5224,5224,Missouri,07-25-2020,41034,1200
5274,5274,Missouri,07-26-2020,42160,1209
5324,5324,Missouri,07-27-2020,43489,1221
5374,5374,Missouri,07-28-2020,45181,1232
5424,5424,Missouri,07-29-2020,46942,1239
5474,5474,Missouri,07-30-2020,49139,1255
5524,5524,Missouri,07-31-2020,50616,1265
5574,5574,Missouri,08-01-2020,51632,1276
5624,5624,Missouri,08-02-2020,52184,1276
5674,5674,Missouri,08-03-2020,53214,1279
5724,5724,Missouri,08-04-2020,54422,1290
5774,5774,Missouri,08-05-2020,55614,1297
5824,5824,Missouri,08-06-2020,56773,1302
