,ID,Province_State,Date,Confirmed,Deaths
25,25,Montana,04-12-2020,387,6
75,75,Montana,04-13-2020,394,7
125,125,Montana,04-14-2020,399,7
175,175,Montana,04-15-2020,404,7
225,225,Montana,04-16-2020,415,7
275,275,Montana,04-17-2020,422,8
325,325,Montana,04-18-2020,426,10
375,375,Montana,04-19-2020,433,10
425,425,Montana,04-20-2020,433,10
475,475,Montana,04-21-2020,437,12
525,525,Montana,04-22-2020,439,14
575,575,Montana,04-23-2020,442,14
625,625,Montana,04-24-2020,444,14
675,675,Montana,04-25-2020,445,14
725,725,Montana,04-26-2020,448,14
775,775,Montana,04-27-2020,449,14
825,825,Montana,04-28-2020,451,15
875,875,Montana,04-29-2020,451,16
925,925,Montana,04-30-2020,453,16
975,975,Montana,05-01-2020,453,16
1025,1025,Montana,05-02-2020,455,16
1075,1075,Montana,05-03-2020,455,16
1125,1125,Montana,05-04-2020,457,16
1175,1175,Montana,05-05-2020,456,16
1225,1225,Montana,05-06-2020,456,16
1275,1275,Montana,05-07-2020,456,16
1325,1325,Montana,05-08-2020,458,16
1375,1375,Montana,05-09-2020,458,16
1425,1425,Montana,05-10-2020,458,16
1475,1475,Montana,05-11-2020,459,16
1525,1525,Montana,05-12-2020,461,16
1575,1575,Montana,05-13-2020,462,16
1625,1625,Montana,05-14-2020,462,16
1675,1675,Montana,05-15-2020,466,16
1725,1725,Montana,05-16-2020,468,16
1775,1775,Montana,05-17-2020,468,16
1825,1825,Montana,05-18-2020,470,16
1875,1875,Montana,05-19-2020,471,16
1925,1925,Montana,05-20-2020,478,16
1975,1975,Montana,05-21-2020,479,16
2025,2025,Montana,05-22-2020,479,16
2075,2075,Montana,05-23-2020,479,16
2125,2125,Montana,05-24-2020,479,16
2175,2175,Montana,05-25-2020,479,16
2225,2225,Montana,05-26-2020,479,17
2275,2275,Montana,05-27-2020,481,17
2325,2325,Montana,05-28-2020,485,17
2375,2375,Montana,05-29-2020,493,17
2425,2425,Montana,05-30-2020,505,17
2475,2475,Montana,05-31-2020,515,17
2525,2525,Montana,06-01-2020,519,17
2575,2575,Montana,06-02-2020,523,17
2625,2625,Montana,06-03-2020,525,17
2675,2675,Montana,06-04-2020,539,17
2725,2725,Montana,06-05-2020,541,18
2775,2775,Montana,06-06-2020,540,18
2825,2825,Montana,06-07-2020,545,18
2875,2875,Montana,06-08-2020,548,18
2925,2925,Montana,06-09-2020,554,18
2975,2975,Montana,06-10-2020,561,18
3025,3025,Montana,06-11-2020,563,18
3075,3075,Montana,06-12-2020,573,18
3125,3125,Montana,06-13-2020,588,18
3175,3175,Montana,06-14-2020,601,19
3225,3225,Montana,06-15-2020,609,19
3275,3275,Montana,06-16-2020,614,19
3325,3325,Montana,06-17-2020,630,20
3375,3375,Montana,06-18-2020,655,20
3425,3425,Montana,06-19-2020,666,20
3475,3475,Montana,06-20-2020,698,20
3525,3525,Montana,06-21-2020,717,20
3575,3575,Montana,06-22-2020,734,21
3625,3625,Montana,06-23-2020,743,21
3675,3675,Montana,06-24-2020,766,21
3725,3725,Montana,06-25-2020,803,21
3775,3775,Montana,06-26-2020,829,22
3825,3825,Montana,06-27-2020,852,22
3875,3875,Montana,06-28-2020,863,22
3925,3925,Montana,06-29-2020,919,22
3975,3975,Montana,06-30-2020,967,22
4025,4025,Montana,07-01-2020,1016,22
4075,4075,Montana,07-02-2020,1083,22
4125,4125,Montana,07-03-2020,1128,23
4175,4175,Montana,07-04-2020,1167,23
4225,4225,Montana,07-05-2020,1212,23
4275,4275,Montana,07-06-2020,1249,23
4325,4325,Montana,07-07-2020,1327,23
4375,4375,Montana,07-08-2020,1371,23
4425,4425,Montana,07-09-2020,1466,25
4475,4475,Montana,07-10-2020,1593,28
4525,4525,Montana,07-11-2020,1677,29
4575,4575,Montana,07-12-2020,1758,29
4625,4625,Montana,07-13-2020,1843,32
4675,4675,Montana,07-14-2020,1952,34
4725,4725,Montana,07-15-2020,2096,34
4775,4775,Montana,07-16-2020,2231,35
4825,4825,Montana,07-17-2020,2366,37
4875,4875,Montana,07-18-2020,2471,37
4925,4925,Montana,07-19-2020,2533,37
4975,4975,Montana,07-20-2020,2620,39
5025,5025,Montana,07-21-2020,2711,40
5075,5075,Montana,07-22-2020,2812,42
5125,5125,Montana,07-23-2020,2909,43
5175,5175,Montana,07-24-2020,3038,46
5225,5225,Montana,07-25-2020,3259,46
5275,5275,Montana,07-26-2020,3341,46
5325,5325,Montana,07-27-2020,3380,47
5375,5375,Montana,07-28-2020,3474,51
5425,5425,Montana,07-29-2020,3676,54
5475,5475,Montana,07-30-2020,3814,55
5525,5525,Montana,07-31-2020,3965,60
5575,5575,Montana,08-01-2020,4081,61
5625,5625,Montana,08-02-2020,4193,61
5675,5675,Montana,08-03-2020,4233,64
5725,5725,Montana,08-04-2020,4314,64
5775,5775,Montana,08-05-2020,4429,65
5825,5825,Montana,08-06-2020,4602,65
5875,5875,Montana,08-07-2020,4757,70
5925,5925,Montana,08-08-2020,4889,75
5975,5975,Montana,08-09-2020,4952,75
6025,6025,Montana,08-10-2020,5017,75
6075,6075,Montana,08-11-2020,5104,77
6125,6125,Montana,08-12-2020,5268,80
6175,6175,Montana,08-13-2020,5407,81
6225,6225,Montana,08-14-2020,5541,81
6275,6275,Montana,08-15-2020,5659,82
6325,6325,Montana,08-16-2020,5750,82
6375,6375,Montana,08-17-2020,5792,82
6425,6425,Montana,08-18-2020,5846,84
6475,6475,Montana,08-19-2020,5956,84
6525,6525,Montana,08-20-2020,6072,89
6575,6575,Montana,08-21-2020,6216,89
6625,6625,Montana,08-22-2020,6376,90
6675,6675,Montana,08-23-2020,6429,90
6725,6725,Montana,08-24-2020,6489,91
6775,6775,Montana,08-25-2020,6624,97
6825,6825,Montana,08-26-2020,6785,98
6875,6875,Montana,08-27-2020,6929,98
6925,6925,Montana,08-28-2020,7063,100
6975,6975,Montana,08-29-2020,7251,104
7025,7025,Montana,08-30-2020,7340,104
7075,7075,Montana,08-31-2020,7421,104
