,ID,Province_State,Date,Confirmed,Deaths
26,26,Nebraska,04-12-2020,791,17
76,76,Nebraska,04-13-2020,814,17
126,126,Nebraska,04-14-2020,897,20
176,176,Nebraska,04-15-2020,901,20
226,226,Nebraska,04-16-2020,952,21
276,276,Nebraska,04-17-2020,1066,24
326,326,Nebraska,04-18-2020,1249,24
376,376,Nebraska,04-19-2020,1474,28
426,426,Nebraska,04-20-2020,1648,33
476,476,Nebraska,04-21-2020,1685,33
526,526,Nebraska,04-22-2020,1813,38
576,576,Nebraska,04-23-2020,2202,47
626,626,Nebraska,04-24-2020,2424,50
676,676,Nebraska,04-25-2020,2719,50
726,726,Nebraska,04-26-2020,3028,56
776,776,Nebraska,04-27-2020,3358,56
826,826,Nebraska,04-28-2020,3517,56
876,876,Nebraska,04-29-2020,3851,56
926,926,Nebraska,04-30-2020,4281,70
976,976,Nebraska,05-01-2020,5008,73
1026,1026,Nebraska,05-02-2020,5317,73
1076,1076,Nebraska,05-03-2020,5661,78
1126,1126,Nebraska,05-04-2020,6037,78
1176,1176,Nebraska,05-05-2020,6373,78
1226,1226,Nebraska,05-06-2020,6689,78
1276,1276,Nebraska,05-07-2020,7334,91
1326,1326,Nebraska,05-08-2020,7818,90
1376,1376,Nebraska,05-09-2020,8093,90
1426,1426,Nebraska,05-10-2020,8171,90
1476,1476,Nebraska,05-11-2020,8407,98
1526,1526,Nebraska,05-12-2020,8532,100
1576,1576,Nebraska,05-13-2020,8912,103
1626,1626,Nebraska,05-14-2020,9260,103
1676,1676,Nebraska,05-15-2020,9610,113
1726,1726,Nebraska,05-16-2020,10220,123
1776,1776,Nebraska,05-17-2020,10177,123
1826,1826,Nebraska,05-18-2020,10625,123
1876,1876,Nebraska,05-19-2020,10854,123
1926,1926,Nebraska,05-20-2020,11122,138
1976,1976,Nebraska,05-21-2020,11427,138
2026,2026,Nebraska,05-22-2020,11662,147
2076,2076,Nebraska,05-23-2020,11963,147
2126,2126,Nebraska,05-24-2020,12134,147
2176,2176,Nebraska,05-25-2020,12362,147
2226,2226,Nebraska,05-26-2020,12619,147
2276,2276,Nebraska,05-27-2020,12984,153
2326,2326,Nebraska,05-28-2020,13249,163
2376,2376,Nebraska,05-29-2020,13648,164
2426,2426,Nebraska,05-30-2020,13905,170
2476,2476,Nebraska,05-31-2020,14101,170
2526,2526,Nebraska,06-01-2020,14345,170
2576,2576,Nebraska,06-02-2020,14616,170
2626,2626,Nebraska,06-03-2020,14885,170
2676,2676,Nebraska,06-04-2020,15139,187
2726,2726,Nebraska,06-05-2020,15406,187
2776,2776,Nebraska,06-06-2020,15572,187
2826,2826,Nebraska,06-07-2020,15664,187
2876,2876,Nebraska,06-08-2020,15786,188
2926,2926,Nebraska,06-09-2020,15918,189
2976,2976,Nebraska,06-10-2020,16058,191
3026,3026,Nebraska,06-11-2020,16315,212
3076,3076,Nebraska,06-12-2020,16522,215
3126,3126,Nebraska,06-13-2020,16640,215
3176,3176,Nebraska,06-14-2020,16730,215
3226,3226,Nebraska,06-15-2020,16851,220
3276,3276,Nebraska,06-16-2020,17038,231
3326,3326,Nebraska,06-17-2020,17231,234
3376,3376,Nebraska,06-18-2020,17414,239
3426,3426,Nebraska,06-19-2020,17588,244
3476,3476,Nebraska,06-20-2020,17707,244
3526,3526,Nebraska,06-21-2020,17812,244
3576,3576,Nebraska,06-22-2020,17963,249
3626,3626,Nebraska,06-23-2020,18099,256
3676,3676,Nebraska,06-24-2020,18221,257
3726,3726,Nebraska,06-25-2020,18346,260
3776,3776,Nebraska,06-26-2020,18524,266
3826,3826,Nebraska,06-27-2020,18775,267
3876,3876,Nebraska,06-28-2020,18899,267
3926,3926,Nebraska,06-29-2020,19042,269
3976,3976,Nebraska,06-30-2020,19177,274
4026,4026,Nebraska,07-01-2020,19310,276
4076,4076,Nebraska,07-02-2020,19452,282
4126,4126,Nebraska,07-03-2020,19660,284
4176,4176,Nebraska,07-04-2020,19827,284
4226,4226,Nebraska,07-05-2020,19929,284
4276,4276,Nebraska,07-06-2020,20046,283
4326,4326,Nebraska,07-07-2020,20201,282
4376,4376,Nebraska,07-08-2020,20425,282
4426,4426,Nebraska,07-09-2020,20623,284
4476,4476,Nebraska,07-10-2020,20777,286
4526,4526,Nebraska,07-11-2020,20998,285
4576,4576,Nebraska,07-12-2020,21172,285
4626,4626,Nebraska,07-13-2020,21399,288
