,ID,Province_State,Date,Confirmed,Deaths
27,27,Nevada,04-12-2020,2836,112
77,77,Nevada,04-13-2020,2990,114
127,127,Nevada,04-14-2020,3134,126
177,177,Nevada,04-15-2020,3211,131
227,227,Nevada,04-16-2020,3214,137
277,277,Nevada,04-17-2020,3524,142
327,327,Nevada,04-18-2020,3626,151
377,377,Nevada,04-19-2020,3728,158
427,427,Nevada,04-20-2020,3830,159
477,477,Nevada,04-21-2020,3937,163
527,527,Nevada,04-22-2020,4081,172
577,577,Nevada,04-23-2020,4208,195
627,627,Nevada,04-24-2020,4398,197
677,677,Nevada,04-25-2020,4539,205
727,727,Nevada,04-26-2020,4734,206
777,777,Nevada,04-27-2020,4700,206
827,827,Nevada,04-28-2020,4821,219
877,877,Nevada,04-29-2020,4934,230
927,927,Nevada,04-30-2020,5053,243
977,977,Nevada,05-01-2020,5248,246
1027,1027,Nevada,05-02-2020,5389,255
1077,1077,Nevada,05-03-2020,5472,258
1127,1127,Nevada,05-04-2020,5630,265
1177,1177,Nevada,05-05-2020,5660,270
1227,1227,Nevada,05-06-2020,5741,289
1277,1277,Nevada,05-07-2020,5855,297
1327,1327,Nevada,05-08-2020,5920,294
1377,1377,Nevada,05-09-2020,6171,313
1427,1427,Nevada,05-10-2020,6120,310
1477,1477,Nevada,05-11-2020,6152,312
1527,1527,Nevada,05-12-2020,6313,321
1577,1577,Nevada,05-13-2020,6476,331
1627,1627,Nevada,05-14-2020,6504,333
1677,1677,Nevada,05-15-2020,6733,343
1727,1727,Nevada,05-16-2020,6813,347
1777,1777,Nevada,05-17-2020,6949,350
1827,1827,Nevada,05-18-2020,7061,358
1877,1877,Nevada,05-19-2020,7096,358
1927,1927,Nevada,05-20-2020,7388,377
1977,1977,Nevada,05-21-2020,7400,383
2027,2027,Nevada,05-22-2020,7525,386
2077,2077,Nevada,05-23-2020,7526,387
2127,2127,Nevada,05-24-2020,7881,380
2177,2177,Nevada,05-25-2020,7956,394
2227,2227,Nevada,05-26-2020,8057,394
2277,2277,Nevada,05-27-2020,8150,402
2327,2327,Nevada,05-28-2020,8248,406
2377,2377,Nevada,05-29-2020,8376,406
2427,2427,Nevada,05-30-2020,8517,417
2477,2477,Nevada,05-31-2020,8628,417
2527,2527,Nevada,06-01-2020,8702,417
2577,2577,Nevada,06-02-2020,8858,417
2627,2627,Nevada,06-03-2020,8951,431
2677,2677,Nevada,06-04-2020,9129,430
2727,2727,Nevada,06-05-2020,9309,436
2777,2777,Nevada,06-06-2020,9491,437
2827,2827,Nevada,06-07-2020,9669,438
2877,2877,Nevada,06-08-2020,9816,442
2927,2927,Nevada,06-09-2020,10045,446
2977,2977,Nevada,06-10-2020,10218,449
3027,3027,Nevada,06-11-2020,10473,459
3077,3077,Nevada,06-12-2020,10704,461
3127,3127,Nevada,06-13-2020,10997,462
3177,3177,Nevada,06-14-2020,11201,463
3227,3227,Nevada,06-15-2020,11315,465
3277,3277,Nevada,06-16-2020,11683,467
3327,3327,Nevada,06-17-2020,11854,473
3377,3377,Nevada,06-18-2020,12169,475
3427,3427,Nevada,06-19-2020,12524,479
3477,3477,Nevada,06-20-2020,12976,486
3527,3527,Nevada,06-21-2020,13240,487
3577,3577,Nevada,06-22-2020,13528,489
3627,3627,Nevada,06-23-2020,13528,489
3677,3677,Nevada,06-24-2020,13528,489
3727,3727,Nevada,06-25-2020,14859,495
3777,3777,Nevada,06-26-2020,15240,498
3827,3827,Nevada,06-27-2020,16339,500
3877,3877,Nevada,06-28-2020,17160,500
3927,3927,Nevada,06-29-2020,17894,504
3977,3977,Nevada,06-30-2020,18456,507
4027,4027,Nevada,07-01-2020,19101,511
4077,4077,Nevada,07-02-2020,19733,525
4127,4127,Nevada,07-03-2020,20718,528
4177,4177,Nevada,07-04-2020,21575,530
4227,4227,Nevada,07-05-2020,22418,534
4277,4277,Nevada,07-06-2020,22909,537
4327,4327,Nevada,07-07-2020,23785,548
4377,4377,Nevada,07-08-2020,24301,553
4427,4427,Nevada,07-09-2020,24904,571
4477,4477,Nevada,07-10-2020,25908,579
4527,4527,Nevada,07-11-2020,26838,592
4577,4577,Nevada,07-12-2020,27683,593
4627,4627,Nevada,07-13-2020,28515,593
4677,4677,Nevada,07-14-2020,29619,612
4727,4727,Nevada,07-15-2020,30468,618
4777,4777,Nevada,07-16-2020,31915,626
4827,4827,Nevada,07-17-2020,33295,637
4877,4877,Nevada,07-18-2020,34477,646
4927,4927,Nevada,07-19-2020,35765,647
4977,4977,Nevada,07-20-2020,36713,648
5027,5027,Nevada,07-21-2020,37528,676
5077,5077,Nevada,07-22-2020,38657,704
5127,5127,Nevada,07-23-2020,39919,709
5177,5177,Nevada,07-24-2020,40885,722
5227,5227,Nevada,07-25-2020,41816,732
5277,5277,Nevada,07-26-2020,42843,734
5327,5327,Nevada,07-27-2020,43831,739
5377,5377,Nevada,07-28-2020,44936,759
5427,5427,Nevada,07-29-2020,45806,780
5477,5477,Nevada,07-30-2020,46824,801
5527,5527,Nevada,07-31-2020,48088,830
5577,5577,Nevada,08-01-2020,49074,832
5627,5627,Nevada,08-02-2020,50205,832
5677,5677,Nevada,08-03-2020,51199,847
5727,5727,Nevada,08-04-2020,52179,862
5777,5777,Nevada,08-05-2020,52828,890
5827,5827,Nevada,08-06-2020,53557,900
5877,5877,Nevada,08-07-2020,54533,920
