,ID,Province_State,Date,Confirmed,Deaths
28,28,New Hampshire,04-12-2020,929,23
78,78,New Hampshire,04-13-2020,985,23
128,128,New Hampshire,04-14-2020,922,25
178,178,New Hampshire,04-15-2020,1139,32
228,228,New Hampshire,04-16-2020,1139,32
278,278,New Hampshire,04-17-2020,1287,37
328,328,New Hampshire,04-18-2020,1342,38
378,378,New Hampshire,04-19-2020,1390,38
428,428,New Hampshire,04-20-2020,1447,42
478,478,New Hampshire,04-21-2020,1490,42
528,528,New Hampshire,04-22-2020,1588,48
578,578,New Hampshire,04-23-2020,1670,51
628,628,New Hampshire,04-24-2020,1720,53
678,678,New Hampshire,04-25-2020,1797,53
728,728,New Hampshire,04-26-2020,1864,60
778,778,New Hampshire,04-27-2020,1938,60
828,828,New Hampshire,04-28-2020,2010,60
878,878,New Hampshire,04-29-2020,2058,60
928,928,New Hampshire,04-30-2020,2146,72
978,978,New Hampshire,05-01-2020,2310,81
1028,1028,New Hampshire,05-02-2020,2429,84
1078,1078,New Hampshire,05-03-2020,2518,86
1128,1128,New Hampshire,05-04-2020,2588,86
1178,1178,New Hampshire,05-05-2020,2636,92
1228,1228,New Hampshire,05-06-2020,2741,92
1278,1278,New Hampshire,05-07-2020,2843,114
1328,1328,New Hampshire,05-08-2020,2947,121
1378,1378,New Hampshire,05-09-2020,3011,131
1428,1428,New Hampshire,05-10-2020,3071,133
1478,1478,New Hampshire,05-11-2020,3160,133
1528,1528,New Hampshire,05-12-2020,3239,142
1578,1578,New Hampshire,05-13-2020,3299,150
1628,1628,New Hampshire,05-14-2020,3382,151
1678,1678,New Hampshire,05-15-2020,3453,151
1728,1728,New Hampshire,05-16-2020,3556,171
1778,1778,New Hampshire,05-17-2020,3596,172
1828,1828,New Hampshire,05-18-2020,3652,172
1878,1878,New Hampshire,05-19-2020,3721,172
1928,1928,New Hampshire,05-20-2020,3868,190
1978,1978,New Hampshire,05-21-2020,3935,199
2028,2028,New Hampshire,05-22-2020,4014,204
2078,2078,New Hampshire,05-23-2020,4089,208
2128,2128,New Hampshire,05-24-2020,4149,209
2178,2178,New Hampshire,05-25-2020,4197,210
2228,2228,New Hampshire,05-26-2020,4231,214
2278,2278,New Hampshire,05-27-2020,4286,223
2328,2328,New Hampshire,05-28-2020,4389,232
2378,2378,New Hampshire,05-29-2020,4492,238
2428,2428,New Hampshire,05-30-2020,4492,238
2478,2478,New Hampshire,05-31-2020,4651,245
2528,2528,New Hampshire,06-01-2020,4685,245
2578,2578,New Hampshire,06-02-2020,4749,256
2628,2628,New Hampshire,06-03-2020,4795,265
2678,2678,New Hampshire,06-04-2020,4876,273
2728,2728,New Hampshire,06-05-2020,4953,278
2778,2778,New Hampshire,06-06-2020,5019,283
2828,2828,New Hampshire,06-07-2020,5043,286
2878,2878,New Hampshire,06-08-2020,5079,286
2928,2928,New Hampshire,06-09-2020,5079,286
2978,2978,New Hampshire,06-10-2020,5178,301
3028,3028,New Hampshire,06-11-2020,5209,308
3078,3078,New Hampshire,06-12-2020,5251,315
3128,3128,New Hampshire,06-13-2020,5299,318
3178,3178,New Hampshire,06-14-2020,5318,320
3228,3228,New Hampshire,06-15-2020,5345,320
3278,3278,New Hampshire,06-16-2020,5364,326
3328,3328,New Hampshire,06-17-2020,5436,330
3378,3378,New Hampshire,06-18-2020,5450,331
3428,3428,New Hampshire,06-19-2020,5486,337
3478,3478,New Hampshire,06-20-2020,5518,339
3528,3528,New Hampshire,06-21-2020,5544,339
3578,3578,New Hampshire,06-22-2020,5558,339
3628,3628,New Hampshire,06-23-2020,5571,343
3678,3678,New Hampshire,06-24-2020,5598,347
3728,3728,New Hampshire,06-25-2020,5638,357
3778,3778,New Hampshire,06-26-2020,5671,365
3828,3828,New Hampshire,06-27-2020,5717,367
3878,3878,New Hampshire,06-28-2020,5747,367
3928,3928,New Hampshire,06-29-2020,5760,367
3978,3978,New Hampshire,06-30-2020,5782,371
4028,4028,New Hampshire,07-01-2020,5802,373
4078,4078,New Hampshire,07-02-2020,5822,375
4128,4128,New Hampshire,07-03-2020,5857,376
4178,4178,New Hampshire,07-04-2020,5872,379
4228,4228,New Hampshire,07-05-2020,5897,381
4278,4278,New Hampshire,07-06-2020,5914,382
4328,4328,New Hampshire,07-07-2020,5932,384
