,ID,Province_State,Date,Confirmed,Deaths
29,29,New Jersey,04-12-2020,61850,2350
79,79,New Jersey,04-13-2020,64584,2443
129,129,New Jersey,04-14-2020,68824,2805
179,179,New Jersey,04-15-2020,71030,3156
229,229,New Jersey,04-16-2020,75317,3518
279,279,New Jersey,04-17-2020,78467,3840
329,329,New Jersey,04-18-2020,81420,4070
379,379,New Jersey,04-19-2020,85301,4362
429,429,New Jersey,04-20-2020,88722,4496
479,479,New Jersey,04-21-2020,92387,4753
529,529,New Jersey,04-22-2020,95914,5150
579,579,New Jersey,04-23-2020,100025,5426
629,629,New Jersey,04-24-2020,102196,5683
679,679,New Jersey,04-25-2020,105498,5914
729,729,New Jersey,04-26-2020,109038,5938
779,779,New Jersey,04-27-2020,111188,6044
829,829,New Jersey,04-28-2020,113856,6442
879,879,New Jersey,04-29-2020,116365,6771
929,929,New Jersey,04-30-2020,118652,7228
979,979,New Jersey,05-01-2020,121190,7538
1029,1029,New Jersey,05-02-2020,123717,7742
1079,1079,New Jersey,05-03-2020,126744,7871
1129,1129,New Jersey,05-04-2020,128269,7910
1179,1179,New Jersey,05-05-2020,130593,8244
1229,1229,New Jersey,05-06-2020,131890,8549
1279,1279,New Jersey,05-07-2020,133991,8807
1329,1329,New Jersey,05-08-2020,135840,8960
1379,1379,New Jersey,05-09-2020,137397,9116
1429,1429,New Jersey,05-10-2020,138754,9256
1479,1479,New Jersey,05-11-2020,140206,9340
1529,1529,New Jersey,05-12-2020,140917,9531
1579,1579,New Jersey,05-13-2020,141560,9714
1629,1629,New Jersey,05-14-2020,142704,9946
1679,1679,New Jersey,05-15-2020,143984,10148
1729,1729,New Jersey,05-16-2020,145089,10261
1779,1779,New Jersey,05-17-2020,146504,10363
1829,1829,New Jersey,05-18-2020,148240,10439
1879,1879,New Jersey,05-19-2020,149356,10587
1929,1929,New Jersey,05-20-2020,150776,10749
1979,1979,New Jersey,05-21-2020,151586,10846
2029,2029,New Jersey,05-22-2020,152579,10985
2079,2079,New Jersey,05-23-2020,153140,11082
2129,2129,New Jersey,05-24-2020,154154,11138
2179,2179,New Jersey,05-25-2020,155092,11147
2229,2229,New Jersey,05-26-2020,155764,11194
2279,2279,New Jersey,05-27-2020,156628,11339
2329,2329,New Jersey,05-28-2020,157185,11409
2379,2379,New Jersey,05-29-2020,158844,11531
2429,2429,New Jersey,05-30-2020,159608,11634
2479,2479,New Jersey,05-31-2020,160445,11698
2529,2529,New Jersey,06-01-2020,160918,11723
2579,2579,New Jersey,06-02-2020,161545,11771
2629,2629,New Jersey,06-03-2020,162068,11880
2679,2679,New Jersey,06-04-2020,162530,11970
2729,2729,New Jersey,06-05-2020,163336,12049
2779,2779,New Jersey,06-06-2020,163893,12106
2829,2829,New Jersey,06-07-2020,164164,12176
2879,2879,New Jersey,06-08-2020,164497,12214
2929,2929,New Jersey,06-09-2020,164796,12303
2979,2979,New Jersey,06-10-2020,165346,12377
3029,3029,New Jersey,06-11-2020,165816,12443
3079,3079,New Jersey,06-12-2020,166164,12489
3129,3129,New Jersey,06-13-2020,166605,12621
3179,3179,New Jersey,06-14-2020,166881,12659
3229,3229,New Jersey,06-15-2020,167103,12708
3279,3279,New Jersey,06-16-2020,167426,12792
3329,3329,New Jersey,06-17-2020,167703,12835
3379,3379,New Jersey,06-18-2020,168107,12869
3429,3429,New Jersey,06-19-2020,168496,12902
3479,3479,New Jersey,06-20-2020,168834,12924
3529,3529,New Jersey,06-21-2020,169142,12939
3579,3579,New Jersey,06-22-2020,169415,12974
3629,3629,New Jersey,06-23-2020,169734,13025
3679,3679,New Jersey,06-24-2020,169892,13076
3729,3729,New Jersey,06-25-2020,170196,14872
3779,3779,New Jersey,06-26-2020,170584,14914
3829,3829,New Jersey,06-27-2020,170873,14948
3879,3879,New Jersey,06-28-2020,171182,14975
3929,3929,New Jersey,06-29-2020,171272,14992
3979,3979,New Jersey,06-30-2020,171667,15035
4029,4029,New Jersey,07-01-2020,171928,15078
4079,4079,New Jersey,07-02-2020,172356,15107
4129,4129,New Jersey,07-03-2020,172742,15164
4179,4179,New Jersey,07-04-2020,173033,15189
4229,4229,New Jersey,07-05-2020,173402,15211
4279,4279,New Jersey,07-06-2020,173611,15229
4329,4329,New Jersey,07-07-2020,173878,15281
4379,4379,New Jersey,07-08-2020,174039,15332
4429,4429,New Jersey,07-09-2020,174270,15448
4479,4479,New Jersey,07-10-2020,174628,15479
4529,4529,New Jersey,07-11-2020,174959,15525
4579,4579,New Jersey,07-12-2020,175298,15525
4629,4629,New Jersey,07-13-2020,175522,15560
4679,4679,New Jersey,07-14-2020,175915,15582
4729,4729,New Jersey,07-15-2020,176278,15634
4779,4779,New Jersey,07-16-2020,176501,15665
4829,4829,New Jersey,07-17-2020,176551,15684
4879,4879,New Jersey,07-18-2020,176814,15699
4929,4929,New Jersey,07-19-2020,176783,15706
4979,4979,New Jersey,07-20-2020,176963,15715
5029,5029,New Jersey,07-21-2020,177256,15737
5079,5079,New Jersey,07-22-2020,177645,15707
5129,5129,New Jersey,07-23-2020,177887,15730
5179,5179,New Jersey,07-24-2020,178345,15765
5229,5229,New Jersey,07-25-2020,178858,15776
5279,5279,New Jersey,07-26-2020,179363,15787
5329,5329,New Jersey,07-27-2020,179812,15804
5379,5379,New Jersey,07-28-2020,180295,15825
5429,5429,New Jersey,07-29-2020,180600,15798
5479,5479,New Jersey,07-30-2020,180970,15809
5529,5529,New Jersey,07-31-2020,181660,15819
5579,5579,New Jersey,08-01-2020,182029,15830
5629,5629,New Jersey,08-02-2020,182350,15836
5679,5679,New Jersey,08-03-2020,182614,15846
5729,5729,New Jersey,08-04-2020,182970,15857
5779,5779,New Jersey,08-05-2020,183327,15842
5829,5829,New Jersey,08-06-2020,183701,15849
5879,5879,New Jersey,08-07-2020,184061,15849
5929,5929,New Jersey,08-08-2020,184429,15869
5979,5979,New Jersey,08-09-2020,184773,15874
6029,6029,New Jersey,08-10-2020,185031,15878
6079,6079,New Jersey,08-11-2020,185475,15890
6129,6129,New Jersey,08-12-2020,185938,15885
6179,6179,New Jersey,08-13-2020,186594,15893
6229,6229,New Jersey,08-14-2020,187164,15903
6279,6279,New Jersey,08-15-2020,187442,15910
6329,6329,New Jersey,08-16-2020,187455,15912
6379,6379,New Jersey,08-17-2020,187767,15916
6429,6429,New Jersey,08-18-2020,188098,15925
6479,6479,New Jersey,08-19-2020,188427,15926
6529,6529,New Jersey,08-20-2020,188527,15932
6579,6579,New Jersey,08-21-2020,188817,15941
6629,6629,New Jersey,08-22-2020,189346,15943
6679,6679,New Jersey,08-23-2020,189494,15946
6729,6729,New Jersey,08-24-2020,189719,15946
6779,6779,New Jersey,08-25-2020,190021,15953
6829,6829,New Jersey,08-26-2020,190306,15914
6879,6879,New Jersey,08-27-2020,190613,15921
6929,6929,New Jersey,08-28-2020,190971,15930
6979,6979,New Jersey,08-29-2020,191320,15933
7029,7029,New Jersey,08-30-2020,191611,15937
7079,7079,New Jersey,08-31-2020,191960,15945
