,ID,Province_State,Date,Confirmed,Deaths
30,30,New Mexico,04-12-2020,1245,26
80,80,New Mexico,04-13-2020,1262,26
130,130,New Mexico,04-14-2020,1345,31
180,180,New Mexico,04-15-2020,1484,36
230,230,New Mexico,04-16-2020,1484,36
280,280,New Mexico,04-17-2020,1597,44
330,330,New Mexico,04-18-2020,1798,53
380,380,New Mexico,04-19-2020,1845,55
430,430,New Mexico,04-20-2020,1971,58
480,480,New Mexico,04-21-2020,1971,58
530,530,New Mexico,04-22-2020,2210,71
580,580,New Mexico,04-23-2020,2379,78
630,630,New Mexico,04-24-2020,2521,84
680,680,New Mexico,04-25-2020,2660,93
730,730,New Mexico,04-26-2020,2726,99
780,780,New Mexico,04-27-2020,2825,99
830,830,New Mexico,04-28-2020,2974,105
880,880,New Mexico,04-29-2020,3213,112
930,930,New Mexico,04-30-2020,3411,123
980,980,New Mexico,05-01-2020,3513,131
1030,1030,New Mexico,05-02-2020,3732,138
1080,1080,New Mexico,05-03-2020,3850,151
1130,1130,New Mexico,05-04-2020,4031,156
1180,1180,New Mexico,05-05-2020,4138,162
1230,1230,New Mexico,05-06-2020,4291,169
1280,1280,New Mexico,05-07-2020,4493,172
1330,1330,New Mexico,05-08-2020,4673,181
1380,1380,New Mexico,05-09-2020,4778,191
1430,1430,New Mexico,05-10-2020,4863,200
1480,1480,New Mexico,05-11-2020,5069,208
1530,1530,New Mexico,05-12-2020,5212,219
1580,1580,New Mexico,05-13-2020,5364,231
1630,1630,New Mexico,05-14-2020,5503,242
1680,1680,New Mexico,05-15-2020,5662,253
1730,1730,New Mexico,05-16-2020,5847,259
1780,1780,New Mexico,05-17-2020,5938,265
1830,1830,New Mexico,05-18-2020,6096,270
1880,1880,New Mexico,05-19-2020,6192,276
1930,1930,New Mexico,05-20-2020,6317,283
1980,1980,New Mexico,05-21-2020,6472,294
2030,2030,New Mexico,05-22-2020,6625,302
2080,2080,New Mexico,05-23-2020,6625,302
2130,2130,New Mexico,05-24-2020,6943,317
2180,2180,New Mexico,05-25-2020,7026,320
2230,2230,New Mexico,05-26-2020,7130,325
2280,2280,New Mexico,05-27-2020,7252,329
2330,2330,New Mexico,05-28-2020,7364,335
2380,2380,New Mexico,05-29-2020,7493,344
2430,2430,New Mexico,05-30-2020,7624,351
2480,2480,New Mexico,05-31-2020,7689,356
2530,2530,New Mexico,06-01-2020,7800,362
2580,2580,New Mexico,06-02-2020,8024,367
2630,2630,New Mexico,06-03-2020,8140,375
2680,2680,New Mexico,06-04-2020,8353,383
2730,2730,New Mexico,06-05-2020,8672,387
2780,2780,New Mexico,06-06-2020,8800,392
2830,2830,New Mexico,06-07-2020,8940,396
2880,2880,New Mexico,06-08-2020,9062,400
2930,2930,New Mexico,06-09-2020,9105,404
2980,2980,New Mexico,06-10-2020,9250,410
3030,3030,New Mexico,06-11-2020,9367,420
3080,3080,New Mexico,06-12-2020,9526,420
3130,3130,New Mexico,06-13-2020,9621,431
3180,3180,New Mexico,06-14-2020,9723,435
3230,3230,New Mexico,06-15-2020,9845,440
3280,3280,New Mexico,06-16-2020,9933,447
3330,3330,New Mexico,06-17-2020,10065,452
3380,3380,New Mexico,06-18-2020,10153,456
3430,3430,New Mexico,06-19-2020,10260,464
3480,3480,New Mexico,06-20-2020,10430,466
3530,3530,New Mexico,06-21-2020,10565,469
3580,3580,New Mexico,06-22-2020,10694,469
3630,3630,New Mexico,06-23-2020,10838,476
3680,3680,New Mexico,06-24-2020,10990,480
3730,3730,New Mexico,06-25-2020,11192,485
3780,3780,New Mexico,06-26-2020,11408,489
3830,3830,New Mexico,06-27-2020,11619,491
3880,3880,New Mexico,06-28-2020,11809,492
3930,3930,New Mexico,06-29-2020,11982,493
3980,3980,New Mexico,06-30-2020,12147,497
4030,4030,New Mexico,07-01-2020,12276,500
4080,4080,New Mexico,07-02-2020,12520,503
4130,4130,New Mexico,07-03-2020,12776,511
4180,4180,New Mexico,07-04-2020,13063,513
4230,4230,New Mexico,07-05-2020,13256,513
4280,4280,New Mexico,07-06-2020,13507,515
4330,4330,New Mexico,07-07-2020,13727,519
4380,4380,New Mexico,07-08-2020,14017,527
4430,4430,New Mexico,07-09-2020,14251,533
4480,4480,New Mexico,07-10-2020,14549,539
4530,4530,New Mexico,07-11-2020,14773,543
4580,4580,New Mexico,07-12-2020,15028,545
4630,4630,New Mexico,07-13-2020,15291,548
4680,4680,New Mexico,07-14-2020,15514,551
4730,4730,New Mexico,07-15-2020,15841,557
4780,4780,New Mexico,07-16-2020,16138,562
4830,4830,New Mexico,07-17-2020,16456,565
4880,4880,New Mexico,07-18-2020,16736,569
4930,4930,New Mexico,07-19-2020,16971,571
4980,4980,New Mexico,07-20-2020,17215,578
5030,5030,New Mexico,07-21-2020,17517,588
5080,5080,New Mexico,07-22-2020,17828,591
5130,5130,New Mexico,07-23-2020,18163,596
5180,5180,New Mexico,07-24-2020,18475,601
5230,5230,New Mexico,07-25-2020,18788,607
5280,5280,New Mexico,07-26-2020,19042,614
5330,5330,New Mexico,07-27-2020,19502,619
5380,5380,New Mexico,07-28-2020,19791,626
5430,5430,New Mexico,07-29-2020,20136,632
5480,5480,New Mexico,07-30-2020,20388,635
5530,5530,New Mexico,07-31-2020,20600,642
5580,5580,New Mexico,08-01-2020,20796,651
5630,5630,New Mexico,08-02-2020,21016,654
5680,5680,New Mexico,08-03-2020,21130,655
