,ID,Province_State,Date,Confirmed,Deaths
31,31,New York,04-12-2020,189033,9385
81,81,New York,04-13-2020,195749,10058
131,131,New York,04-14-2020,203020,10842
181,181,New York,04-15-2020,214454,11617
231,231,New York,04-16-2020,223691,14832
281,281,New York,04-17-2020,230597,17131
331,331,New York,04-18-2020,241712,17671
381,381,New York,04-19-2020,247815,18298
431,431,New York,04-20-2020,253060,18611
481,481,New York,04-21-2020,258361,19104
531,531,New York,04-22-2020,263292,19413
581,581,New York,04-23-2020,263460,20973
631,631,New York,04-24-2020,271590,21411
681,681,New York,04-25-2020,282143,22009
731,731,New York,04-26-2020,288045,22269
781,781,New York,04-27-2020,291996,22668
831,831,New York,04-28-2020,295106,22912
881,881,New York,04-29-2020,299691,23477
931,931,New York,04-30-2020,304372,23587
981,981,New York,05-01-2020,308314,24039
1031,1031,New York,05-02-2020,312977,24198
1081,1081,New York,05-03-2020,316415,24708
1131,1131,New York,05-04-2020,318953,24999
1181,1181,New York,05-05-2020,321192,25124
1231,1231,New York,05-06-2020,323978,25623
1281,1281,New York,05-07-2020,327469,26144
1331,1331,New York,05-08-2020,330407,26243
1381,1381,New York,05-09-2020,333122,26612
1431,1431,New York,05-10-2020,335395,26641
1481,1481,New York,05-11-2020,337055,26988
1531,1531,New York,05-12-2020,338485,27284
1581,1581,New York,05-13-2020,340661,27477
1631,1631,New York,05-14-2020,343051,27641
1681,1681,New York,05-15-2020,345813,27878
1731,1731,New York,05-16-2020,348232,28049
1781,1781,New York,05-17-2020,350121,28232
1831,1831,New York,05-18-2020,351371,28339
1881,1881,New York,05-19-2020,352845,28558
1931,1931,New York,05-20-2020,354370,28636
1981,1981,New York,05-21-2020,356458,28743
2031,2031,New York,05-22-2020,358154,28853
2081,2081,New York,05-23-2020,359926,29031
2131,2131,New York,05-24-2020,361515,29141
2181,2181,New York,05-25-2020,362764,29229
2231,2231,New York,05-26-2020,363836,29302
2281,2281,New York,05-27-2020,364965,29484
2331,2331,New York,05-28-2020,366733,29529
2381,2381,New York,05-29-2020,368284,29646
2431,2431,New York,05-30-2020,369660,29710
2481,2481,New York,05-31-2020,370770,29784
2531,2531,New York,06-01-2020,371711,29917
2581,2581,New York,06-02-2020,373040,29968
2631,2631,New York,06-03-2020,374085,30019
2681,2681,New York,06-04-2020,375133,30174
2731,2731,New York,06-05-2020,376208,30236
2781,2781,New York,06-06-2020,377316,30280
2831,2831,New York,06-07-2020,378097,30374
2881,2881,New York,06-08-2020,378799,30417
2931,2931,New York,06-09-2020,379482,30458
2981,2981,New York,06-10-2020,380156,30542
3031,3031,New York,06-11-2020,380892,30580
3081,3081,New York,06-12-2020,381714,30758
3131,3131,New York,06-13-2020,382630,30795
3181,3181,New York,06-14-2020,383324,30825
3231,3231,New York,06-15-2020,383944,30856
3281,3281,New York,06-16-2020,384575,30909
3331,3331,New York,06-17-2020,385142,30939
3381,3381,New York,06-18-2020,385760,30974
3431,3431,New York,06-19-2020,386556,31015
3481,3481,New York,06-20-2020,387272,31083
3531,3531,New York,06-21-2020,387936,31125
3581,3581,New York,06-22-2020,388488,31176
3631,3631,New York,06-23-2020,389085,31232
3681,3681,New York,06-24-2020,389666,31257
3731,3731,New York,06-25-2020,390415,31301
3781,3781,New York,06-26-2020,391220,31342
3831,3831,New York,06-27-2020,391923,31368
3881,3881,New York,06-28-2020,392539,31397
3931,3931,New York,06-29-2020,393403,31403
3981,3981,New York,06-30-2020,393454,32032
4031,4031,New York,07-01-2020,394079,32043
4081,4081,New York,07-02-2020,394954,32064
4131,4131,New York,07-03-2020,395872,32137
4181,4181,New York,07-04-2020,396598,32157
4231,4231,New York,07-05-2020,397131,32206
4281,4281,New York,07-06-2020,397649,32219
4331,4331,New York,07-07-2020,398237,32243
4381,4381,New York,07-08-2020,398929,32251
4431,4431,New York,07-09-2020,399513,32283
4481,4481,New York,07-10-2020,400299,32331
4531,4531,New York,07-11-2020,401029,32343
4581,4581,New York,07-12-2020,401706,32350
4631,4631,New York,07-13-2020,402263,32395
4681,4681,New York,07-14-2020,403175,32408
4731,4731,New York,07-15-2020,404006,32427
4781,4781,New York,07-16-2020,404775,32446
4831,4831,New York,07-17-2020,405551,32463
4881,4881,New York,07-18-2020,406305,32478
4931,4931,New York,07-19-2020,406807,32495
4981,4981,New York,07-20-2020,407326,32506
5031,5031,New York,07-21-2020,408181,32520
5081,5081,New York,07-22-2020,408886,32558
5131,5131,New York,07-23-2020,409697,32594
5181,5181,New York,07-24-2020,410450,32596
5231,5231,New York,07-25-2020,411200,32608
5281,5281,New York,07-26-2020,411736,32630
5331,5331,New York,07-27-2020,412344,32645
5381,5381,New York,07-28-2020,412878,32653
5431,5431,New York,07-29-2020,413593,32658
5481,5481,New York,07-30-2020,414370,32683
5531,5531,New York,07-31-2020,415014,32689
5581,5581,New York,08-01-2020,415767,32694
5631,5631,New York,08-02-2020,416298,32710
5681,5681,New York,08-03-2020,416843,32719
5731,5731,New York,08-04-2020,417589,32725
5781,5781,New York,08-05-2020,418225,32754
5831,5831,New York,08-06-2020,418928,32756
5881,5881,New York,08-07-2020,419642,32760
5931,5931,New York,08-08-2020,420345,32768
5981,5981,New York,08-09-2020,420860,32774
6031,6031,New York,08-10-2020,421336,32781
6081,6081,New York,08-11-2020,422003,32787
6131,6131,New York,08-12-2020,422703,32797
6181,6181,New York,08-13-2020,423440,32805
6231,6231,New York,08-14-2020,424167,32827
6281,6281,New York,08-15-2020,424901,32833
6331,6331,New York,08-16-2020,425508,32840
6381,6381,New York,08-17-2020,425916,32846
6431,6431,New York,08-18-2020,426571,32857
6481,6481,New York,08-19-2020,427202,32865
6531,6531,New York,08-20-2020,427803,32861
6581,6581,New York,08-21-2020,428512,32864
6631,6631,New York,08-22-2020,429165,32871
6681,6681,New York,08-23-2020,429737,32883
6731,6731,New York,08-24-2020,430145,32887
6781,6781,New York,08-25-2020,430774,32918
6831,6831,New York,08-26-2020,431340,32921
6881,6881,New York,08-27-2020,432131,32926
6931,6931,New York,08-28-2020,432767,32934
6981,6981,New York,08-29-2020,433402,32938
7031,7031,New York,08-30-2020,434100,32951
7081,7081,New York,08-31-2020,434756,32957
