,ID,Province_State,Date,Confirmed,Deaths
32,32,North Carolina,04-12-2020,4570,89
82,82,North Carolina,04-13-2020,4886,94
132,132,North Carolina,04-14-2020,5113,112
182,182,North Carolina,04-15-2020,5340,130
232,232,North Carolina,04-16-2020,5639,150
282,282,North Carolina,04-17-2020,6045,177
332,332,North Carolina,04-18-2020,6328,187
382,382,North Carolina,04-19-2020,6601,200
432,432,North Carolina,04-20-2020,6895,218
482,482,North Carolina,04-21-2020,7134,245
532,532,North Carolina,04-22-2020,7495,265
582,582,North Carolina,04-23-2020,7820,281
632,632,North Carolina,04-24-2020,8290,294
682,682,North Carolina,04-25-2020,8768,305
732,732,North Carolina,04-26-2020,8997,324
782,782,North Carolina,04-27-2020,9321,340
832,832,North Carolina,04-28-2020,9755,363
882,882,North Carolina,04-29-2020,10180,382
932,932,North Carolina,04-30-2020,10754,406
982,982,North Carolina,05-01-2020,11070,419
1032,1032,North Carolina,05-02-2020,11588,431
1082,1082,North Carolina,05-03-2020,11770,434
1132,1132,North Carolina,05-04-2020,11971,442
1182,1182,North Carolina,05-05-2020,12510,472
1232,1232,North Carolina,05-06-2020,13053,492
1282,1282,North Carolina,05-07-2020,13540,513
1332,1332,North Carolina,05-08-2020,14006,530
1382,1382,North Carolina,05-09-2020,14478,551
1432,1432,North Carolina,05-10-2020,14938,564
1482,1482,North Carolina,05-11-2020,15274,575
1532,1532,North Carolina,05-12-2020,15622,600
1582,1582,North Carolina,05-13-2020,16352,625
1632,1632,North Carolina,05-14-2020,16968,641
1682,1682,North Carolina,05-15-2020,17494,667
1732,1732,North Carolina,05-16-2020,18130,676
1782,1782,North Carolina,05-17-2020,18673,686
1832,1832,North Carolina,05-18-2020,19207,693
1882,1882,North Carolina,05-19-2020,19239,693
1932,1932,North Carolina,05-20-2020,20262,726
1982,1982,North Carolina,05-21-2020,20512,728
2032,2032,North Carolina,05-22-2020,22110,775
2082,2082,North Carolina,05-23-2020,22864,778
2132,2132,North Carolina,05-24-2020,23365,784
2182,2182,North Carolina,05-25-2020,24057,790
2232,2232,North Carolina,05-26-2020,24455,801
2282,2282,North Carolina,05-27-2020,24916,844
2332,2332,North Carolina,05-28-2020,25800,876
2382,2382,North Carolina,05-29-2020,26885,919
2432,2432,North Carolina,05-30-2020,27794,929
2482,2482,North Carolina,05-31-2020,28785,937
2532,2532,North Carolina,06-01-2020,29592,948
2582,2582,North Carolina,06-02-2020,30023,961
2632,2632,North Carolina,06-03-2020,31276,999
2682,2682,North Carolina,06-04-2020,32075,1006
2732,2732,North Carolina,06-05-2020,33295,1015
2782,2782,North Carolina,06-06-2020,34718,1028
2832,2832,North Carolina,06-07-2020,35625,1032
2882,2882,North Carolina,06-08-2020,36517,1041
2932,2932,North Carolina,06-09-2020,37227,1068
2982,2982,North Carolina,06-10-2020,38473,1090
3032,3032,North Carolina,06-11-2020,39584,1106
3082,3082,North Carolina,06-12-2020,41417,1121
3132,3132,North Carolina,06-13-2020,42845,1127
3182,3182,North Carolina,06-14-2020,44264,1132
3232,3232,North Carolina,06-15-2020,45114,1140
3282,3282,North Carolina,06-16-2020,45907,1169
3332,3332,North Carolina,06-17-2020,46934,1181
3382,3382,North Carolina,06-18-2020,48167,1188
3432,3432,North Carolina,06-19-2020,49785,1202
3482,3482,North Carolina,06-20-2020,51390,1215
3532,3532,North Carolina,06-21-2020,52801,1223
3582,3582,North Carolina,06-22-2020,53964,1278
3632,3632,North Carolina,06-23-2020,54639,1296
3682,3682,North Carolina,06-24-2020,56527,1325
3732,3732,North Carolina,06-25-2020,57472,1336
3782,3782,North Carolina,06-26-2020,59158,1348
3832,3832,North Carolina,06-27-2020,60812,1353
3882,3882,North Carolina,06-28-2020,62248,1352
3932,3932,North Carolina,06-29-2020,63736,1357
3982,3982,North Carolina,06-30-2020,65327,1380
4032,4032,North Carolina,07-01-2020,66751,1398
4082,4082,North Carolina,07-02-2020,68216,1409
4132,4132,North Carolina,07-03-2020,70262,1419
4182,4182,North Carolina,07-04-2020,71670,1422
4232,4232,North Carolina,07-05-2020,72992,1423
4282,4282,North Carolina,07-06-2020,74775,1432
4332,4332,North Carolina,07-07-2020,76290,1446
4382,4382,North Carolina,07-08-2020,77687,1462
4432,4432,North Carolina,07-09-2020,79656,1477
4482,4482,North Carolina,07-10-2020,82032,1497
4532,4532,North Carolina,07-11-2020,83906,1513
4582,4582,North Carolina,07-12-2020,85771,1522
4632,4632,North Carolina,07-13-2020,87669,1529
4682,4682,North Carolina,07-14-2020,90000,1571
4732,4732,North Carolina,07-15-2020,91837,1589
4782,4782,North Carolina,07-16-2020,93708,1607
4832,4832,North Carolina,07-17-2020,95570,1623
4882,4882,North Carolina,07-18-2020,98092,1648
4932,4932,North Carolina,07-19-2020,99803,1652
4982,4982,North Carolina,07-20-2020,101231,1677
5032,5032,North Carolina,07-21-2020,103216,1705
5082,5082,North Carolina,07-22-2020,105276,1732
5132,5132,North Carolina,07-23-2020,107125,1756
5182,5182,North Carolina,07-24-2020,109728,1789
5232,5232,North Carolina,07-25-2020,111421,1811
5282,5282,North Carolina,07-26-2020,112937,1817
5332,5332,North Carolina,07-27-2020,114916,1838
5382,5382,North Carolina,07-28-2020,116700,1860
5432,5432,North Carolina,07-29-2020,118387,1888
5482,5482,North Carolina,07-30-2020,120532,1922
5532,5532,North Carolina,07-31-2020,122298,1942
5582,5582,North Carolina,08-01-2020,124006,1979
5632,5632,North Carolina,08-02-2020,125330,1983
5682,5682,North Carolina,08-03-2020,127630,2043
5732,5732,North Carolina,08-04-2020,128715,2061
5782,5782,North Carolina,08-05-2020,129733,2085
5832,5832,North Carolina,08-06-2020,131802,2126
5882,5882,North Carolina,08-07-2020,133337,2160
5932,5932,North Carolina,08-08-2020,134948,2184
5982,5982,North Carolina,08-09-2020,136346,2192
6032,6032,North Carolina,08-10-2020,137562,2199
6082,6082,North Carolina,08-11-2020,138743,2248
6132,6132,North Carolina,08-12-2020,139739,2280
6182,6182,North Carolina,08-13-2020,140824,2287
6232,6232,North Carolina,08-14-2020,142170,2313
6282,6282,North Carolina,08-15-2020,143704,2343
6332,6332,North Carolina,08-16-2020,144952,2347
