,ID,Province_State,Date,Confirmed,Deaths
33,33,North Dakota,04-12-2020,308,7
83,83,North Dakota,04-13-2020,331,8
133,133,North Dakota,04-14-2020,341,8
183,183,North Dakota,04-15-2020,365,9
233,233,North Dakota,04-16-2020,393,9
283,283,North Dakota,04-17-2020,393,9
333,333,North Dakota,04-18-2020,528,9
383,383,North Dakota,04-19-2020,585,9
433,433,North Dakota,04-20-2020,627,9
483,483,North Dakota,04-21-2020,644,13
533,533,North Dakota,04-22-2020,679,14
583,583,North Dakota,04-23-2020,709,15
633,633,North Dakota,04-24-2020,748,15
683,683,North Dakota,04-25-2020,803,16
733,733,North Dakota,04-26-2020,867,17
783,783,North Dakota,04-27-2020,942,19
833,833,North Dakota,04-28-2020,991,19
883,883,North Dakota,04-29-2020,1033,19
933,933,North Dakota,04-30-2020,1067,19
983,983,North Dakota,05-01-2020,1107,23
1033,1033,North Dakota,05-02-2020,1153,24
1083,1083,North Dakota,05-03-2020,1191,25
1133,1133,North Dakota,05-04-2020,1225,25
1183,1183,North Dakota,05-05-2020,1266,25
1233,1233,North Dakota,05-06-2020,1323,31
1283,1283,North Dakota,05-07-2020,1371,31
1333,1333,North Dakota,05-08-2020,1425,33
1383,1383,North Dakota,05-09-2020,1464,35
1433,1433,North Dakota,05-10-2020,1491,35
1483,1483,North Dakota,05-11-2020,1518,36
1533,1533,North Dakota,05-12-2020,1571,38
1583,1583,North Dakota,05-13-2020,1647,40
1633,1633,North Dakota,05-14-2020,1712,40
1683,1683,North Dakota,05-15-2020,1761,42
1733,1733,North Dakota,05-16-2020,1848,42
1783,1783,North Dakota,05-17-2020,1900,43
1833,1833,North Dakota,05-18-2020,1931,44
1883,1883,North Dakota,05-19-2020,1994,45
1933,1933,North Dakota,05-20-2020,2095,49
1983,1983,North Dakota,05-21-2020,2229,51
2033,2033,North Dakota,05-22-2020,2317,52
2083,2083,North Dakota,05-23-2020,2365,52
2133,2133,North Dakota,05-24-2020,2418,53
2183,2183,North Dakota,05-25-2020,2457,54
2233,2233,North Dakota,05-26-2020,2422,54
2283,2283,North Dakota,05-27-2020,2439,56
2333,2333,North Dakota,05-28-2020,2481,57
2383,2383,North Dakota,05-29-2020,2520,59
2433,2433,North Dakota,05-30-2020,2554,60
2483,2483,North Dakota,05-31-2020,2577,61
2533,2533,North Dakota,06-01-2020,2625,61
2583,2583,North Dakota,06-02-2020,2646,65
2633,2633,North Dakota,06-03-2020,2679,66
2683,2683,North Dakota,06-04-2020,2706,66
2733,2733,North Dakota,06-05-2020,2745,71
2783,2783,North Dakota,06-06-2020,2816,72
2833,2833,North Dakota,06-07-2020,2861,72
2883,2883,North Dakota,06-08-2020,2880,72
2933,2933,North Dakota,06-09-2020,2901,72
2983,2983,North Dakota,06-10-2020,2941,73
3033,3033,North Dakota,06-11-2020,2980,74
3083,3083,North Dakota,06-12-2020,3016,74
3133,3133,North Dakota,06-13-2020,3058,74
3183,3183,North Dakota,06-14-2020,3080,74
3233,3233,North Dakota,06-15-2020,3101,74
3283,3283,North Dakota,06-16-2020,3124,74
3333,3333,North Dakota,06-17-2020,3166,74
3383,3383,North Dakota,06-18-2020,3193,75
3433,3433,North Dakota,06-19-2020,3226,76
3483,3483,North Dakota,06-20-2020,3251,76
3533,3533,North Dakota,06-21-2020,3288,77
3583,3583,North Dakota,06-22-2020,3313,77
3633,3633,North Dakota,06-23-2020,3320,78
3683,3683,North Dakota,06-24-2020,3362,78
3733,3733,North Dakota,06-25-2020,3393,78
3783,3783,North Dakota,06-26-2020,3421,78
3833,3833,North Dakota,06-27-2020,3458,78
3883,3883,North Dakota,06-28-2020,3495,79
3933,3933,North Dakota,06-29-2020,3539,79
3983,3983,North Dakota,06-30-2020,3576,79
4033,4033,North Dakota,07-01-2020,3615,80
4083,4083,North Dakota,07-02-2020,3657,80
4133,4133,North Dakota,07-03-2020,3722,80
4183,4183,North Dakota,07-04-2020,3779,80
4233,4233,North Dakota,07-05-2020,3816,80
4283,4283,North Dakota,07-06-2020,3849,80
4333,4333,North Dakota,07-07-2020,3898,84
4383,4383,North Dakota,07-08-2020,3971,85
4433,4433,North Dakota,07-09-2020,4071,85
4483,4483,North Dakota,07-10-2020,4155,85
4533,4533,North Dakota,07-11-2020,4243,87
4583,4583,North Dakota,07-12-2020,4334,87
4633,4633,North Dakota,07-13-2020,4442,87
4683,4683,North Dakota,07-14-2020,4493,88
4733,4733,North Dakota,07-15-2020,4565,88
4783,4783,North Dakota,07-16-2020,4668,89
4833,4833,North Dakota,07-17-2020,4792,90
4883,4883,North Dakota,07-18-2020,4907,90
4933,4933,North Dakota,07-19-2020,5019,92
4983,4983,North Dakota,07-20-2020,5126,93
5033,5033,North Dakota,07-21-2020,5207,94
5083,5083,North Dakota,07-22-2020,5367,96
5133,5133,North Dakota,07-23-2020,5493,97
5183,5183,North Dakota,07-24-2020,5614,99
5233,5233,North Dakota,07-25-2020,5736,99
5283,5283,North Dakota,07-26-2020,5876,99
5333,5333,North Dakota,07-27-2020,5986,99
5383,5383,North Dakota,07-28-2020,6141,100
5433,5433,North Dakota,07-29-2020,6227,102
5483,5483,North Dakota,07-30-2020,6301,103
5533,5533,North Dakota,07-31-2020,6469,103
5583,5583,North Dakota,08-01-2020,6602,103
5633,5633,North Dakota,08-02-2020,6660,105
5683,5683,North Dakota,08-03-2020,6785,105
5733,5733,North Dakota,08-04-2020,6933,107
5783,5783,North Dakota,08-05-2020,7057,108
5833,5833,North Dakota,08-06-2020,7177,109
5883,5883,North Dakota,08-07-2020,7327,110
5933,5933,North Dakota,08-08-2020,7508,112
5983,5983,North Dakota,08-09-2020,7596,112
6033,6033,North Dakota,08-10-2020,7713,113
6083,6083,North Dakota,08-11-2020,7885,118
6133,6133,North Dakota,08-12-2020,7970,120
6183,6183,North Dakota,08-13-2020,8171,120
6233,6233,North Dakota,08-14-2020,8322,121
6283,6283,North Dakota,08-15-2020,8444,121
6333,6333,North Dakota,08-16-2020,8587,125
6383,6383,North Dakota,08-17-2020,8647,126
6433,6433,North Dakota,08-18-2020,8782,128
6483,6483,North Dakota,08-19-2020,8968,130
6533,6533,North Dakota,08-20-2020,9242,130
6583,6583,North Dakota,08-21-2020,9474,132
6633,6633,North Dakota,08-22-2020,9736,135
6683,6683,North Dakota,08-23-2020,9876,136
6733,6733,North Dakota,08-24-2020,10000,137
6783,6783,North Dakota,08-25-2020,10229,138
6833,6833,North Dakota,08-26-2020,10467,138
6883,6883,North Dakota,08-27-2020,10800,139
6933,6933,North Dakota,08-28-2020,11110,139
6983,6983,North Dakota,08-29-2020,11484,141
7033,7033,North Dakota,08-30-2020,11702,142
7083,7083,North Dakota,08-31-2020,11816,143
