,ID,Province_State,Date,Confirmed,Deaths
34,34,Ohio,04-12-2020,6604,253
84,84,Ohio,04-13-2020,6975,274
134,134,Ohio,04-14-2020,7285,324
184,184,Ohio,04-15-2020,7794,362
234,234,Ohio,04-16-2020,8414,407
284,284,Ohio,04-17-2020,9107,418
334,334,Ohio,04-18-2020,10222,451
384,384,Ohio,04-19-2020,11602,471
434,434,Ohio,04-20-2020,12919,509
484,484,Ohio,04-21-2020,13725,557
534,534,Ohio,04-22-2020,14117,610
584,584,Ohio,04-23-2020,14694,656
634,634,Ohio,04-24-2020,15169,690
684,684,Ohio,04-25-2020,15587,711
734,734,Ohio,04-26-2020,15972,728
784,784,Ohio,04-27-2020,16325,753
834,834,Ohio,04-28-2020,16769,799
884,884,Ohio,04-29-2020,17303,937
934,934,Ohio,04-30-2020,18027,976
984,984,Ohio,05-01-2020,18743,1003
1034,1034,Ohio,05-02-2020,19335,1022
1084,1084,Ohio,05-03-2020,19914,1039
1134,1134,Ohio,05-04-2020,20474,1057
1184,1184,Ohio,05-05-2020,20969,1135
1234,1234,Ohio,05-06-2020,21576,1225
1284,1284,Ohio,05-07-2020,22131,1271
1334,1334,Ohio,05-08-2020,23016,1306
1384,1384,Ohio,05-09-2020,23697,1331
1434,1434,Ohio,05-10-2020,24081,1341
1484,1484,Ohio,05-11-2020,24777,1357
1534,1534,Ohio,05-12-2020,25250,1436
1584,1584,Ohio,05-13-2020,25721,1483
1634,1634,Ohio,05-14-2020,26357,1534
1684,1684,Ohio,05-15-2020,26954,1581
1734,1734,Ohio,05-16-2020,27474,1610
1784,1784,Ohio,05-17-2020,27923,1625
1834,1834,Ohio,05-18-2020,28454,1657
1884,1884,Ohio,05-19-2020,28952,1720
1934,1934,Ohio,05-20-2020,29436,1781
1984,1984,Ohio,05-21-2020,30167,1837
2034,2034,Ohio,05-22-2020,30794,1872
2084,2084,Ohio,05-23-2020,31408,1956
2134,2134,Ohio,05-24-2020,31911,1969
2184,2184,Ohio,05-25-2020,32477,1987
2234,2234,Ohio,05-26-2020,33006,2002
2284,2284,Ohio,05-27-2020,33439,2044
2334,2334,Ohio,05-28-2020,33915,2098
2384,2384,Ohio,05-29-2020,34566,2131
2434,2434,Ohio,05-30-2020,35033,2149
2484,2484,Ohio,05-31-2020,35513,2155
2534,2534,Ohio,06-01-2020,35984,2207
2584,2584,Ohio,06-02-2020,36350,2259
2634,2634,Ohio,06-03-2020,36792,2300
2684,2684,Ohio,06-04-2020,37282,2340
2734,2734,Ohio,06-05-2020,37758,2357
2784,2784,Ohio,06-06-2020,38111,2372
2834,2834,Ohio,06-07-2020,38476,2379
2884,2884,Ohio,06-08-2020,38837,2406
2934,2934,Ohio,06-09-2020,39162,2423
2984,2984,Ohio,06-10-2020,39575,2459
3034,3034,Ohio,06-11-2020,40004,2492
3084,3084,Ohio,06-12-2020,40424,2510
3134,3134,Ohio,06-13-2020,40851,2556
3184,3184,Ohio,06-14-2020,41148,2559
3234,3234,Ohio,06-15-2020,41576,2575
3284,3284,Ohio,06-16-2020,42010,2599
