,ID,Province_State,Date,Confirmed,Deaths
35,35,Oklahoma,04-12-2020,1970,96
85,85,Oklahoma,04-13-2020,2069,99
135,135,Oklahoma,04-14-2020,2184,108
185,185,Oklahoma,04-15-2020,2263,123
235,235,Oklahoma,04-16-2020,2357,131
285,285,Oklahoma,04-17-2020,2465,136
335,335,Oklahoma,04-18-2020,2465,136
385,385,Oklahoma,04-19-2020,2567,140
435,435,Oklahoma,04-20-2020,2680,143
485,485,Oklahoma,04-21-2020,2807,164
535,535,Oklahoma,04-22-2020,2894,170
585,585,Oklahoma,04-23-2020,3017,179
635,635,Oklahoma,04-24-2020,3121,188
685,685,Oklahoma,04-25-2020,3194,194
735,735,Oklahoma,04-26-2020,3254,195
785,785,Oklahoma,04-27-2020,3281,197
835,835,Oklahoma,04-28-2020,3410,207
885,885,Oklahoma,04-29-2020,3473,214
935,935,Oklahoma,04-30-2020,3618,222
985,985,Oklahoma,05-01-2020,3748,230
1035,1035,Oklahoma,05-02-2020,3851,238
1085,1085,Oklahoma,05-03-2020,3972,238
1135,1135,Oklahoma,05-04-2020,4044,238
1185,1185,Oklahoma,05-05-2020,4127,247
1235,1235,Oklahoma,05-06-2020,4202,253
1285,1285,Oklahoma,05-07-2020,4330,260
1335,1335,Oklahoma,05-08-2020,4424,266
1385,1385,Oklahoma,05-09-2020,4490,270
1435,1435,Oklahoma,05-10-2020,4589,272
1485,1485,Oklahoma,05-11-2020,4613,274
1535,1535,Oklahoma,05-12-2020,4732,278
1585,1585,Oklahoma,05-13-2020,4858,278
1635,1635,Oklahoma,05-14-2020,4963,284
1685,1685,Oklahoma,05-15-2020,5087,285
1735,1735,Oklahoma,05-16-2020,5237,288
1785,1785,Oklahoma,05-17-2020,5310,288
1835,1835,Oklahoma,05-18-2020,5398,288
1885,1885,Oklahoma,05-19-2020,5489,293
1935,1935,Oklahoma,05-20-2020,5532,299
1985,1985,Oklahoma,05-21-2020,5680,304
2035,2035,Oklahoma,05-22-2020,5849,307
2085,2085,Oklahoma,05-23-2020,5960,311
2135,2135,Oklahoma,05-24-2020,6037,311
2185,2185,Oklahoma,05-25-2020,6090,313
2235,2235,Oklahoma,05-26-2020,6138,318
2285,2285,Oklahoma,05-27-2020,6229,322
2335,2335,Oklahoma,05-28-2020,6273,325
2385,2385,Oklahoma,05-29-2020,6338,329
2435,2435,Oklahoma,05-30-2020,6418,334
2485,2485,Oklahoma,05-31-2020,6418,334
2535,2535,Oklahoma,06-01-2020,6573,334
2585,2585,Oklahoma,06-02-2020,6692,339
2635,2635,Oklahoma,06-03-2020,6805,341
2685,2685,Oklahoma,06-04-2020,6907,344
2735,2735,Oklahoma,06-05-2020,7007,345
2785,2785,Oklahoma,06-06-2020,7059,347
2835,2835,Oklahoma,06-07-2020,7150,348
2885,2885,Oklahoma,06-08-2020,7205,348
2935,2935,Oklahoma,06-09-2020,7363,354
2985,2985,Oklahoma,06-10-2020,7483,356
3035,3035,Oklahoma,06-11-2020,7626,358
3085,3085,Oklahoma,06-12-2020,7849,360
3135,3135,Oklahoma,06-13-2020,8073,359
3185,3185,Oklahoma,06-14-2020,8231,359
3235,3235,Oklahoma,06-15-2020,8417,359
3285,3285,Oklahoma,06-16-2020,8645,363
3335,3335,Oklahoma,06-17-2020,8904,364
3385,3385,Oklahoma,06-18-2020,9355,366
3435,3435,Oklahoma,06-19-2020,9707,367
3485,3485,Oklahoma,06-20-2020,10038,368
3535,3535,Oklahoma,06-21-2020,10516,369
3585,3585,Oklahoma,06-22-2020,10734,369
3635,3635,Oklahoma,06-23-2020,11031,371
3685,3685,Oklahoma,06-24-2020,11510,372
3735,3735,Oklahoma,06-25-2020,11948,375
3785,3785,Oklahoma,06-26-2020,12347,377
3835,3835,Oklahoma,06-27-2020,12646,384
3885,3885,Oklahoma,06-28-2020,12947,385
3935,3935,Oklahoma,06-29-2020,13175,385
3985,3985,Oklahoma,06-30-2020,13757,387
4035,4035,Oklahoma,07-01-2020,14119,389
4085,4085,Oklahoma,07-02-2020,14531,395
4135,4135,Oklahoma,07-03-2020,15069,398
4185,4185,Oklahoma,07-04-2020,15648,398
4235,4235,Oklahoma,07-05-2020,15931,398
4285,4285,Oklahoma,07-06-2020,16362,399
4335,4335,Oklahoma,07-07-2020,17220,404
4385,4385,Oklahoma,07-08-2020,17894,407
4435,4435,Oklahoma,07-09-2020,18497,410
4485,4485,Oklahoma,07-10-2020,19092,416
4535,4535,Oklahoma,07-11-2020,19779,421
4585,4585,Oklahoma,07-12-2020,20235,422
4635,4635,Oklahoma,07-13-2020,20746,424
4685,4685,Oklahoma,07-14-2020,21740,428
4735,4735,Oklahoma,07-15-2020,22814,432
4785,4785,Oklahoma,07-16-2020,23440,438
4835,4835,Oklahoma,07-17-2020,24140,445
4885,4885,Oklahoma,07-18-2020,25057,451
4935,4935,Oklahoma,07-19-2020,25266,451
4985,4985,Oklahoma,07-20-2020,25436,452
5035,5035,Oklahoma,07-21-2020,26326,461
5085,5085,Oklahoma,07-22-2020,27298,474
5135,5135,Oklahoma,07-23-2020,27969,477
5185,5185,Oklahoma,07-24-2020,29116,484
5235,5235,Oklahoma,07-25-2020,30081,496
5285,5285,Oklahoma,07-26-2020,31285,496
5335,5335,Oklahoma,07-27-2020,32685,496
5385,5385,Oklahoma,07-28-2020,33775,509
5435,5435,Oklahoma,07-29-2020,34623,523
5485,5485,Oklahoma,07-30-2020,35740,536
5535,5535,Oklahoma,07-31-2020,36487,541
5585,5585,Oklahoma,08-01-2020,37731,549
5635,5635,Oklahoma,08-02-2020,38225,550
5685,5685,Oklahoma,08-03-2020,38602,551
5735,5735,Oklahoma,08-04-2020,39463,566
5785,5785,Oklahoma,08-05-2020,40564,583
5835,5835,Oklahoma,08-06-2020,41401,593
5885,5885,Oklahoma,08-07-2020,42255,600
5935,5935,Oklahoma,08-08-2020,43080,603
5985,5985,Oklahoma,08-09-2020,43566,603
6035,6035,Oklahoma,08-10-2020,43963,605
6085,6085,Oklahoma,08-11-2020,44728,618
6135,6135,Oklahoma,08-12-2020,45398,627
6185,6185,Oklahoma,08-13-2020,46103,638
6235,6235,Oklahoma,08-14-2020,46897,644
6285,6285,Oklahoma,08-15-2020,47798,657
6335,6335,Oklahoma,08-16-2020,48342,661
