,ID,Province_State,Date,Confirmed,Deaths
36,36,Oregon,04-12-2020,1527,52
86,86,Oregon,04-13-2020,1584,53
136,136,Oregon,04-14-2020,1633,55
186,186,Oregon,04-15-2020,1663,58
236,236,Oregon,04-16-2020,1736,64
286,286,Oregon,04-17-2020,1785,70
336,336,Oregon,04-18-2020,1844,72
386,386,Oregon,04-19-2020,1910,74
436,436,Oregon,04-20-2020,1957,75
486,486,Oregon,04-21-2020,2004,78
536,536,Oregon,04-22-2020,2059,78
586,586,Oregon,04-23-2020,2127,83
636,636,Oregon,04-24-2020,2177,86
686,686,Oregon,04-25-2020,2253,87
736,736,Oregon,04-26-2020,2311,92
786,786,Oregon,04-27-2020,2354,92
836,836,Oregon,04-28-2020,2385,99
886,886,Oregon,04-29-2020,2446,101
936,936,Oregon,04-30-2020,2510,103
986,986,Oregon,05-01-2020,2579,104
1036,1036,Oregon,05-02-2020,2635,109
1086,1086,Oregon,05-03-2020,2680,109
1136,1136,Oregon,05-04-2020,2759,109
1186,1186,Oregon,05-05-2020,2839,113
1236,1236,Oregon,05-06-2020,2916,115
1286,1286,Oregon,05-07-2020,2989,121
1336,1336,Oregon,05-08-2020,3068,124
1386,1386,Oregon,05-09-2020,3160,127
1436,1436,Oregon,05-10-2020,3228,127
1486,1486,Oregon,05-11-2020,3286,130
1536,1536,Oregon,05-12-2020,3358,130
1586,1586,Oregon,05-13-2020,3416,134
1636,1636,Oregon,05-14-2020,3479,137
1686,1686,Oregon,05-15-2020,3541,137
1736,1736,Oregon,05-16-2020,3612,137
1786,1786,Oregon,05-17-2020,3623,137
1836,1836,Oregon,05-18-2020,3687,138
1886,1886,Oregon,05-19-2020,3726,140
1936,1936,Oregon,05-20-2020,3801,144
1986,1986,Oregon,05-21-2020,3817,145
2036,2036,Oregon,05-22-2020,3864,147
2086,2086,Oregon,05-23-2020,3888,147
2136,2136,Oregon,05-24-2020,3927,148
2186,2186,Oregon,05-25-2020,3949,148
2236,2236,Oregon,05-26-2020,3967,148
2286,2286,Oregon,05-27-2020,4038,148
2336,2336,Oregon,05-28-2020,4086,151
2386,2386,Oregon,05-29-2020,4131,151
2436,2436,Oregon,05-30-2020,4185,153
2486,2486,Oregon,05-31-2020,4243,153
2536,2536,Oregon,06-01-2020,4302,154
2586,2586,Oregon,06-02-2020,4335,157
2636,2636,Oregon,06-03-2020,4399,159
2686,2686,Oregon,06-04-2020,4474,159
2736,2736,Oregon,06-05-2020,4570,161
2786,2786,Oregon,06-06-2020,4570,161
2836,2836,Oregon,06-07-2020,4662,163
2886,2886,Oregon,06-08-2020,4922,164
2936,2936,Oregon,06-09-2020,4988,169
2986,2986,Oregon,06-10-2020,5060,169
3036,3036,Oregon,06-11-2020,5237,171
3086,3086,Oregon,06-12-2020,5377,173
3136,3136,Oregon,06-13-2020,5377,173
3186,3186,Oregon,06-14-2020,5377,173
3236,3236,Oregon,06-15-2020,5820,180
3286,3286,Oregon,06-16-2020,6098,182
3336,3336,Oregon,06-17-2020,6218,183
3386,3386,Oregon,06-18-2020,6366,187
3436,3436,Oregon,06-19-2020,6572,188
3486,3486,Oregon,06-20-2020,6572,188
3536,3536,Oregon,06-21-2020,6572,188
3586,3586,Oregon,06-22-2020,7083,192
3636,3636,Oregon,06-23-2020,7274,192
3686,3686,Oregon,06-24-2020,7444,195
3736,3736,Oregon,06-25-2020,7568,197
3786,3786,Oregon,06-26-2020,7818,202
3836,3836,Oregon,06-27-2020,8094,202
3886,3886,Oregon,06-28-2020,8341,202
3936,3936,Oregon,06-29-2020,8485,204
3986,3986,Oregon,06-30-2020,8656,207
4036,4036,Oregon,07-01-2020,8931,208
4086,4086,Oregon,07-02-2020,9294,209
4136,4136,Oregon,07-03-2020,9636,209
4186,4186,Oregon,07-04-2020,9930,213
4236,4236,Oregon,07-05-2020,10230,215
4286,4286,Oregon,07-06-2020,10395,215
4336,4336,Oregon,07-07-2020,10605,220
4386,4386,Oregon,07-08-2020,10817,224
4436,4436,Oregon,07-09-2020,11188,230
4486,4486,Oregon,07-10-2020,11454,232
4536,4536,Oregon,07-11-2020,11851,232
4586,4586,Oregon,07-12-2020,12170,234
4636,4636,Oregon,07-13-2020,12438,237
4686,4686,Oregon,07-14-2020,12805,244
4736,4736,Oregon,07-15-2020,13081,247
4786,4786,Oregon,07-16-2020,13509,249
4836,4836,Oregon,07-17-2020,13802,254
4886,4886,Oregon,07-18-2020,14149,257
4936,4936,Oregon,07-19-2020,14579,260
4986,4986,Oregon,07-20-2020,14847,262
5036,5036,Oregon,07-21-2020,15139,269
5086,5086,Oregon,07-22-2020,15393,271
