,ID,Province_State,Date,Confirmed,Deaths
37,37,Pennsylvania,04-12-2020,22938,557
87,87,Pennsylvania,04-13-2020,24292,589
137,137,Pennsylvania,04-14-2020,25465,691
187,187,Pennsylvania,04-15-2020,26753,779
237,237,Pennsylvania,04-16-2020,28258,841
287,287,Pennsylvania,04-17-2020,29888,921
337,337,Pennsylvania,04-18-2020,31652,1042
387,387,Pennsylvania,04-19-2020,32902,1276
437,437,Pennsylvania,04-20-2020,33914,1348
487,487,Pennsylvania,04-21-2020,35249,1614
537,537,Pennsylvania,04-22-2020,36082,1673
587,587,Pennsylvania,04-23-2020,38379,1724
637,637,Pennsylvania,04-24-2020,40208,1747
687,687,Pennsylvania,04-25-2020,41153,1793
737,737,Pennsylvania,04-26-2020,42616,1816
787,787,Pennsylvania,04-27-2020,43558,1886
837,837,Pennsylvania,04-28-2020,45137,2046
887,887,Pennsylvania,04-29-2020,46327,2373
937,937,Pennsylvania,04-30-2020,47971,2475
987,987,Pennsylvania,05-01-2020,49579,2635
1037,1037,Pennsylvania,05-02-2020,50494,2695
1087,1087,Pennsylvania,05-03-2020,51225,2720
1137,1137,Pennsylvania,05-04-2020,52816,2838
1187,1187,Pennsylvania,05-05-2020,53864,3179
1237,1237,Pennsylvania,05-06-2020,54800,3345
1287,1287,Pennsylvania,05-07-2020,55956,3589
1337,1337,Pennsylvania,05-08-2020,57371,3715
1387,1387,Pennsylvania,05-09-2020,58560,3779
1437,1437,Pennsylvania,05-10-2020,59939,3806
1487,1487,Pennsylvania,05-11-2020,60459,3832
1537,1537,Pennsylvania,05-12-2020,61310,3914
1587,1587,Pennsylvania,05-13-2020,62101,4094
1637,1637,Pennsylvania,05-14-2020,63105,4288
1687,1687,Pennsylvania,05-15-2020,64136,4422
1737,1737,Pennsylvania,05-16-2020,65185,4480
1787,1787,Pennsylvania,05-17-2020,65700,4495
1837,1837,Pennsylvania,05-18-2020,66669,4515
1887,1887,Pennsylvania,05-19-2020,67311,4628
1937,1937,Pennsylvania,05-20-2020,68126,4770
1987,1987,Pennsylvania,05-21-2020,69252,4869
2037,2037,Pennsylvania,05-22-2020,70211,5010
2087,2087,Pennsylvania,05-23-2020,71009,5112
2137,2137,Pennsylvania,05-24-2020,71563,5136
2187,2187,Pennsylvania,05-25-2020,71925,5146
2237,2237,Pennsylvania,05-26-2020,72778,5163
2287,2287,Pennsylvania,05-27-2020,73557,5265
2337,2337,Pennsylvania,05-28-2020,74220,5373
2387,2387,Pennsylvania,05-29-2020,74984,5464
2437,2437,Pennsylvania,05-30-2020,75697,5537
2487,2487,Pennsylvania,05-31-2020,76129,5555
