,ID,Province_State,Date,Confirmed,Deaths
38,38,Rhode Island,04-12-2020,2665,63
88,88,Rhode Island,04-13-2020,2665,63
138,138,Rhode Island,04-14-2020,3251,80
188,188,Rhode Island,04-15-2020,3251,80
238,238,Rhode Island,04-16-2020,3529,87
288,288,Rhode Island,04-17-2020,4177,118
338,338,Rhode Island,04-18-2020,4491,137
388,388,Rhode Island,04-19-2020,4706,150
438,438,Rhode Island,04-20-2020,5090,155
488,488,Rhode Island,04-21-2020,5500,171
538,538,Rhode Island,04-22-2020,5841,181
588,588,Rhode Island,04-23-2020,6256,189
638,638,Rhode Island,04-24-2020,6699,202
688,688,Rhode Island,04-25-2020,7129,215
738,738,Rhode Island,04-26-2020,7439,226
788,788,Rhode Island,04-27-2020,7708,233
838,838,Rhode Island,04-28-2020,7927,239
888,888,Rhode Island,04-29-2020,8247,251
938,938,Rhode Island,04-30-2020,8621,266
988,988,Rhode Island,05-01-2020,8962,279
1038,1038,Rhode Island,05-02-2020,9289,296
1088,1088,Rhode Island,05-03-2020,9477,320
1138,1138,Rhode Island,05-04-2020,9652,341
1188,1188,Rhode Island,05-05-2020,9933,355
1238,1238,Rhode Island,05-06-2020,10205,370
1288,1288,Rhode Island,05-07-2020,10530,388
1338,1338,Rhode Island,05-08-2020,10779,399
1388,1388,Rhode Island,05-09-2020,10989,418
1438,1438,Rhode Island,05-10-2020,11274,422
1488,1488,Rhode Island,05-11-2020,11450,430
1538,1538,Rhode Island,05-12-2020,11614,444
1588,1588,Rhode Island,05-13-2020,11835,462
1638,1638,Rhode Island,05-14-2020,12016,468
1688,1688,Rhode Island,05-15-2020,12219,479
1738,1738,Rhode Island,05-16-2020,12434,489
1788,1788,Rhode Island,05-17-2020,12674,499
1838,1838,Rhode Island,05-18-2020,12795,506
1888,1888,Rhode Island,05-19-2020,12951,532
1938,1938,Rhode Island,05-20-2020,13356,538
1988,1988,Rhode Island,05-21-2020,13571,556
2038,2038,Rhode Island,05-22-2020,13736,579
2088,2088,Rhode Island,05-23-2020,13952,597
2138,2138,Rhode Island,05-24-2020,14065,608
2188,2188,Rhode Island,05-25-2020,14065,608
2238,2238,Rhode Island,05-26-2020,14210,634
2288,2288,Rhode Island,05-27-2020,14353,655
2338,2338,Rhode Island,05-28-2020,14494,677
2388,2388,Rhode Island,05-29-2020,14635,693
2438,2438,Rhode Island,05-30-2020,14819,711
2488,2488,Rhode Island,05-31-2020,14928,718
2538,2538,Rhode Island,06-01-2020,14991,720
2588,2588,Rhode Island,06-02-2020,15112,732
2638,2638,Rhode Island,06-03-2020,15219,742
2688,2688,Rhode Island,06-04-2020,15325,756
2738,2738,Rhode Island,06-05-2020,15441,772
2788,2788,Rhode Island,06-06-2020,15441,772
2838,2838,Rhode Island,06-07-2020,15441,772
2888,2888,Rhode Island,06-08-2020,15642,799
2938,2938,Rhode Island,06-09-2020,15691,808
2988,2988,Rhode Island,06-10-2020,15756,812
3038,3038,Rhode Island,06-11-2020,15862,823
3088,3088,Rhode Island,06-12-2020,15947,833
3138,3138,Rhode Island,06-13-2020,15947,833
3188,3188,Rhode Island,06-14-2020,15947,833
3238,3238,Rhode Island,06-15-2020,16093,851
3288,3288,Rhode Island,06-16-2020,16164,865
3338,3338,Rhode Island,06-17-2020,16213,876
3388,3388,Rhode Island,06-18-2020,16269,885
3438,3438,Rhode Island,06-19-2020,16337,894
3488,3488,Rhode Island,06-20-2020,16337,894
3538,3538,Rhode Island,06-21-2020,16337,894
3588,3588,Rhode Island,06-22-2020,16459,903
3638,3638,Rhode Island,06-23-2020,16533,906
3688,3688,Rhode Island,06-24-2020,16606,912
3738,3738,Rhode Island,06-25-2020,16640,920
3788,3788,Rhode Island,06-26-2020,16661,927
3838,3838,Rhode Island,06-27-2020,16661,927
3888,3888,Rhode Island,06-28-2020,16661,927
3938,3938,Rhode Island,06-29-2020,16764,946
3988,3988,Rhode Island,06-30-2020,16813,950
4038,4038,Rhode Island,07-01-2020,16853,956
4088,4088,Rhode Island,07-02-2020,16941,959
4138,4138,Rhode Island,07-03-2020,16991,960
4188,4188,Rhode Island,07-04-2020,16991,960
4238,4238,Rhode Island,07-05-2020,16991,960
4288,4288,Rhode Island,07-06-2020,16991,960
4338,4338,Rhode Island,07-07-2020,17154,969
4388,4388,Rhode Island,07-08-2020,17204,971
4438,4438,Rhode Island,07-09-2020,17243,974
4488,4488,Rhode Island,07-10-2020,17312,976
4538,4538,Rhode Island,07-11-2020,17312,976
4588,4588,Rhode Island,07-12-2020,17312,976
4638,4638,Rhode Island,07-13-2020,17487,984
4688,4688,Rhode Island,07-14-2020,17588,985
4738,4738,Rhode Island,07-15-2020,17640,987
4788,4788,Rhode Island,07-16-2020,17711,988
4838,4838,Rhode Island,07-17-2020,17793,990
4888,4888,Rhode Island,07-18-2020,17793,990
4938,4938,Rhode Island,07-19-2020,17793,990
4988,4988,Rhode Island,07-20-2020,17904,995
5038,5038,Rhode Island,07-21-2020,17986,996
5088,5088,Rhode Island,07-22-2020,18062,997
5138,5138,Rhode Island,07-23-2020,18148,1001
5188,5188,Rhode Island,07-24-2020,18224,1002
5238,5238,Rhode Island,07-25-2020,18224,1002
5288,5288,Rhode Island,07-26-2020,18224,1002
5338,5338,Rhode Island,07-27-2020,18515,1004
5388,5388,Rhode Island,07-28-2020,18725,1005
5438,5438,Rhode Island,07-29-2020,18800,1007
5488,5488,Rhode Island,07-30-2020,18950,1007
5538,5538,Rhode Island,07-31-2020,19022,1007
5588,5588,Rhode Island,08-01-2020,19022,1007
5638,5638,Rhode Island,08-02-2020,19022,1007
5688,5688,Rhode Island,08-03-2020,19246,1010
5738,5738,Rhode Island,08-04-2020,19390,1011
5788,5788,Rhode Island,08-05-2020,19481,1012
5838,5838,Rhode Island,08-06-2020,19611,1014
5888,5888,Rhode Island,08-07-2020,19738,1014
5938,5938,Rhode Island,08-08-2020,19738,1014
5988,5988,Rhode Island,08-09-2020,19738,1014
6038,6038,Rhode Island,08-10-2020,19934,1015
6088,6088,Rhode Island,08-11-2020,20053,1016
6138,6138,Rhode Island,08-12-2020,20129,1018
6188,6188,Rhode Island,08-13-2020,20240,1019
6238,6238,Rhode Island,08-14-2020,20335,1021
6288,6288,Rhode Island,08-15-2020,20335,1021
6338,6338,Rhode Island,08-16-2020,20335,1021
6388,6388,Rhode Island,08-17-2020,20572,1023
6438,6438,Rhode Island,08-18-2020,20692,1024
6488,6488,Rhode Island,08-19-2020,20795,1027
6538,6538,Rhode Island,08-20-2020,20871,1028
6588,6588,Rhode Island,08-21-2020,21022,1030
6638,6638,Rhode Island,08-22-2020,21022,1030
6688,6688,Rhode Island,08-23-2020,21022,1030
6738,6738,Rhode Island,08-24-2020,21302,1035
6788,6788,Rhode Island,08-25-2020,21372,1039
6838,6838,Rhode Island,08-26-2020,21454,1041
6888,6888,Rhode Island,08-27-2020,21589,1044
6938,6938,Rhode Island,08-28-2020,21683,1046
6988,6988,Rhode Island,08-29-2020,21683,1046
7038,7038,Rhode Island,08-30-2020,21683,1046
7088,7088,Rhode Island,08-31-2020,21949,1048
