,ID,Province_State,Date,Confirmed,Deaths
39,39,South Carolina,04-12-2020,3320,82
89,89,South Carolina,04-13-2020,3391,82
139,139,South Carolina,04-14-2020,3553,97
189,189,South Carolina,04-15-2020,3656,106
239,239,South Carolina,04-16-2020,3931,111
289,289,South Carolina,04-17-2020,4099,116
339,339,South Carolina,04-18-2020,4248,119
389,389,South Carolina,04-19-2020,4377,120
439,439,South Carolina,04-20-2020,4446,123
489,489,South Carolina,04-21-2020,4439,124
539,539,South Carolina,04-22-2020,4761,140
589,589,South Carolina,04-23-2020,4917,150
639,639,South Carolina,04-24-2020,5070,157
689,689,South Carolina,04-25-2020,5253,166
739,739,South Carolina,04-26-2020,5498,174
789,789,South Carolina,04-27-2020,5613,177
839,839,South Carolina,04-28-2020,5735,192
889,889,South Carolina,04-29-2020,5882,231
939,939,South Carolina,04-30-2020,6095,244
989,989,South Carolina,05-01-2020,6258,256
1039,1039,South Carolina,05-02-2020,6489,267
1089,1089,South Carolina,05-03-2020,6626,275
1139,1139,South Carolina,05-04-2020,6757,283
1189,1189,South Carolina,05-05-2020,6841,296
1239,1239,South Carolina,05-06-2020,6936,305
1289,1289,South Carolina,05-07-2020,7142,316
1339,1339,South Carolina,05-08-2020,7367,320
1389,1389,South Carolina,05-09-2020,7531,330
1439,1439,South Carolina,05-10-2020,7653,331
1489,1489,South Carolina,05-11-2020,7792,346
1539,1539,South Carolina,05-12-2020,7927,355
1589,1589,South Carolina,05-13-2020,8030,362
1639,1639,South Carolina,05-14-2020,8189,371
1689,1689,South Carolina,05-15-2020,8407,380
1739,1739,South Carolina,05-16-2020,8661,380
1789,1789,South Carolina,05-17-2020,8816,385
1839,1839,South Carolina,05-18-2020,8942,391
1889,1889,South Carolina,05-19-2020,9056,399
1939,1939,South Carolina,05-20-2020,9175,407
1989,1989,South Carolina,05-21-2020,9381,416
2039,2039,South Carolina,05-22-2020,9638,419
2089,2089,South Carolina,05-23-2020,9895,425
2139,2139,South Carolina,05-24-2020,10096,435
2189,2189,South Carolina,05-25-2020,10178,440
2239,2239,South Carolina,05-26-2020,10416,446
2289,2289,South Carolina,05-27-2020,10623,466
2339,2339,South Carolina,05-28-2020,10788,470
2389,2389,South Carolina,05-29-2020,11131,483
2439,2439,South Carolina,05-30-2020,11394,487
2489,2489,South Carolina,05-31-2020,11861,494
2539,2539,South Carolina,06-01-2020,12148,500
2589,2589,South Carolina,06-02-2020,12415,501
2639,2639,South Carolina,06-03-2020,12415,501
2689,2689,South Carolina,06-04-2020,12415,501
2739,2739,South Carolina,06-05-2020,13453,539
2789,2789,South Carolina,06-06-2020,13453,539
2839,2839,South Carolina,06-07-2020,14286,546
2889,2889,South Carolina,06-08-2020,14800,557
2939,2939,South Carolina,06-09-2020,15228,568
2989,2989,South Carolina,06-10-2020,15759,575
3039,3039,South Carolina,06-11-2020,16441,588
3089,3089,South Carolina,06-12-2020,17170,593
3139,3139,South Carolina,06-13-2020,17955,599
3189,3189,South Carolina,06-14-2020,18795,600
3239,3239,South Carolina,06-15-2020,19378,602
3289,3289,South Carolina,06-16-2020,19990,607
3339,3339,South Carolina,06-17-2020,20556,617
3389,3389,South Carolina,06-18-2020,21533,621
3439,3439,South Carolina,06-19-2020,22608,639
3489,3489,South Carolina,06-20-2020,23756,644
3539,3539,South Carolina,06-21-2020,24661,653
3589,3589,South Carolina,06-22-2020,25666,659
3639,3639,South Carolina,06-23-2020,26572,673
3689,3689,South Carolina,06-24-2020,27897,683
3739,3739,South Carolina,06-25-2020,29022,693
3789,3789,South Carolina,06-26-2020,30335,694
3839,3839,South Carolina,06-27-2020,31939,711
3889,3889,South Carolina,06-28-2020,33320,716
3939,3939,South Carolina,06-29-2020,34644,720
3989,3989,South Carolina,06-30-2020,36399,739
4039,4039,South Carolina,07-01-2020,37919,766
4089,4089,South Carolina,07-02-2020,39701,784
4139,4139,South Carolina,07-03-2020,41532,793
4189,4189,South Carolina,07-04-2020,43386,813
4239,4239,South Carolina,07-05-2020,44847,820
4289,4289,South Carolina,07-06-2020,46380,827
4339,4339,South Carolina,07-07-2020,47352,846
4389,4389,South Carolina,07-08-2020,48909,884
