,ID,Province_State,Date,Confirmed,Deaths
40,40,South Dakota,04-12-2020,730,6
90,90,South Dakota,04-13-2020,868,6
140,140,South Dakota,04-14-2020,988,6
190,190,South Dakota,04-15-2020,1168,6
240,240,South Dakota,04-16-2020,1311,7
290,290,South Dakota,04-17-2020,1411,7
340,340,South Dakota,04-18-2020,1542,7
390,390,South Dakota,04-19-2020,1635,7
440,440,South Dakota,04-20-2020,1685,7
490,490,South Dakota,04-21-2020,1755,8
540,540,South Dakota,04-22-2020,1858,9
590,590,South Dakota,04-23-2020,1956,9
640,640,South Dakota,04-24-2020,2040,10
690,690,South Dakota,04-25-2020,2147,10
740,740,South Dakota,04-26-2020,2212,11
790,790,South Dakota,04-27-2020,2244,11
840,840,South Dakota,04-28-2020,2313,11
890,890,South Dakota,04-29-2020,2373,13
940,940,South Dakota,04-30-2020,2449,17
990,990,South Dakota,05-01-2020,2525,21
1040,1040,South Dakota,05-02-2020,2588,21
1090,1090,South Dakota,05-03-2020,2631,21
1140,1140,South Dakota,05-04-2020,2668,21
1190,1190,South Dakota,05-05-2020,2721,24
1240,1240,South Dakota,05-06-2020,2780,29
1290,1290,South Dakota,05-07-2020,2906,31
1340,1340,South Dakota,05-08-2020,3145,31
1390,1390,South Dakota,05-09-2020,3393,34
1440,1440,South Dakota,05-10-2020,3517,34
1490,1490,South Dakota,05-11-2020,3614,34
1540,1540,South Dakota,05-12-2020,3663,39
1590,1590,South Dakota,05-13-2020,3732,39
1640,1640,South Dakota,05-14-2020,3792,43
1690,1690,South Dakota,05-15-2020,3887,44
1740,1740,South Dakota,05-16-2020,3959,44
1790,1790,South Dakota,05-17-2020,3987,44
1840,1840,South Dakota,05-18-2020,4027,44
1890,1890,South Dakota,05-19-2020,4085,46
1940,1940,South Dakota,05-20-2020,4177,46
1990,1990,South Dakota,05-21-2020,4177,48
2040,2040,South Dakota,05-22-2020,4356,50
2090,2090,South Dakota,05-23-2020,4464,50
2140,2140,South Dakota,05-24-2020,4563,50
2190,2190,South Dakota,05-25-2020,4586,50
2240,2240,South Dakota,05-26-2020,4653,50
2290,2290,South Dakota,05-27-2020,4710,54
2340,2340,South Dakota,05-28-2020,4793,54
2390,2390,South Dakota,05-29-2020,4866,59
2440,2440,South Dakota,05-30-2020,4960,62
2490,2490,South Dakota,05-31-2020,4993,62
2540,2540,South Dakota,06-01-2020,5034,62
2590,2590,South Dakota,06-02-2020,5067,62
2640,2640,South Dakota,06-03-2020,5162,62
2690,2690,South Dakota,06-04-2020,5247,64
2740,2740,South Dakota,06-05-2020,5277,64
2790,2790,South Dakota,06-06-2020,5367,65
2840,2840,South Dakota,06-07-2020,5438,65
2890,2890,South Dakota,06-08-2020,5471,65
2940,2940,South Dakota,06-09-2020,5523,68
2990,2990,South Dakota,06-10-2020,5604,69
3040,3040,South Dakota,06-11-2020,5665,73
3090,3090,South Dakota,06-12-2020,5742,74
3140,3140,South Dakota,06-13-2020,5833,75
3190,3190,South Dakota,06-14-2020,5898,75
3240,3240,South Dakota,06-15-2020,5928,75
3290,3290,South Dakota,06-16-2020,5966,77
3340,3340,South Dakota,06-17-2020,6050,78
3390,3390,South Dakota,06-18-2020,6109,78
3440,3440,South Dakota,06-19-2020,6158,81
3490,3490,South Dakota,06-20-2020,6225,81
3540,3540,South Dakota,06-21-2020,6297,81
3590,3590,South Dakota,06-22-2020,6326,81
3640,3640,South Dakota,06-23-2020,6353,83
3690,3690,South Dakota,06-24-2020,6419,84
3740,3740,South Dakota,06-25-2020,6479,87
3790,3790,South Dakota,06-26-2020,6535,88
3840,3840,South Dakota,06-27-2020,6626,91
3890,3890,South Dakota,06-28-2020,6681,91
3940,3940,South Dakota,06-29-2020,6716,91
3990,3990,South Dakota,06-30-2020,6764,91
4040,4040,South Dakota,07-01-2020,6826,93
4090,4090,South Dakota,07-02-2020,6893,97
4140,4140,South Dakota,07-03-2020,6978,97
4190,4190,South Dakota,07-04-2020,7028,97
4240,4240,South Dakota,07-05-2020,7063,97
4290,4290,South Dakota,07-06-2020,7105,97
4340,4340,South Dakota,07-07-2020,7163,98
4390,4390,South Dakota,07-08-2020,7242,98
4440,4440,South Dakota,07-09-2020,7336,101
4490,4490,South Dakota,07-10-2020,7401,107
4540,4540,South Dakota,07-11-2020,7454,109
4590,4590,South Dakota,07-12-2020,7499,109
4640,4640,South Dakota,07-13-2020,7524,109
4690,4690,South Dakota,07-14-2020,7572,109
4740,4740,South Dakota,07-15-2020,7652,111
4790,4790,South Dakota,07-16-2020,7694,115
4840,4840,South Dakota,07-17-2020,7789,116
4890,4890,South Dakota,07-18-2020,7862,116
4940,4940,South Dakota,07-19-2020,7906,118
4990,4990,South Dakota,07-20-2020,7943,118
5040,5040,South Dakota,07-21-2020,8019,118
5090,5090,South Dakota,07-22-2020,8077,119
5140,5140,South Dakota,07-23-2020,8143,121
5190,5190,South Dakota,07-24-2020,8200,122
5240,5240,South Dakota,07-25-2020,8305,122
5290,5290,South Dakota,07-26-2020,8395,123
5340,5340,South Dakota,07-27-2020,8444,123
5390,5390,South Dakota,07-28-2020,8492,123
5440,5440,South Dakota,07-29-2020,8641,129
5490,5490,South Dakota,07-30-2020,8685,129
5540,5540,South Dakota,07-31-2020,8764,130
5590,5590,South Dakota,08-01-2020,8867,134
5640,5640,South Dakota,08-02-2020,8955,135
5690,5690,South Dakota,08-03-2020,9020,135
5740,5740,South Dakota,08-04-2020,9079,136
5790,5790,South Dakota,08-05-2020,9168,137
5840,5840,South Dakota,08-06-2020,9273,141
5890,5890,South Dakota,08-07-2020,9371,144
5940,5940,South Dakota,08-08-2020,9477,146
5990,5990,South Dakota,08-09-2020,9605,146
6040,6040,South Dakota,08-10-2020,9663,146
6090,6090,South Dakota,08-11-2020,9713,146
6140,6140,South Dakota,08-12-2020,9815,147
6190,6190,South Dakota,08-13-2020,9897,148
6240,6240,South Dakota,08-14-2020,10024,150
6290,6290,South Dakota,08-15-2020,10118,152
