,ID,Province_State,Date,Confirmed,Deaths
41,41,Tennessee,04-12-2020,5508,106
91,91,Tennessee,04-13-2020,5610,109
141,141,Tennessee,04-14-2020,5827,124
191,191,Tennessee,04-15-2020,5827,124
241,241,Tennessee,04-16-2020,6375,136
291,291,Tennessee,04-17-2020,6263,141
341,341,Tennessee,04-18-2020,6589,142
391,391,Tennessee,04-19-2020,7070,148
441,441,Tennessee,04-20-2020,7238,152
491,491,Tennessee,04-21-2020,7394,157
541,541,Tennessee,04-22-2020,7394,157
591,591,Tennessee,04-23-2020,8266,171
641,641,Tennessee,04-24-2020,8728,169
691,691,Tennessee,04-25-2020,9189,177
741,741,Tennessee,04-26-2020,9667,181
791,791,Tennessee,04-27-2020,9918,184
841,841,Tennessee,04-28-2020,10052,188
891,891,Tennessee,04-29-2020,10366,195
941,941,Tennessee,04-30-2020,10735,199
991,991,Tennessee,05-01-2020,11891,204
1041,1041,Tennessee,05-02-2020,12661,209
1091,1091,Tennessee,05-03-2020,13177,210
1141,1141,Tennessee,05-04-2020,13571,219
1191,1191,Tennessee,05-05-2020,13690,226
1241,1241,Tennessee,05-06-2020,13938,239
1291,1291,Tennessee,05-07-2020,14096,238
1341,1341,Tennessee,05-08-2020,14441,242
1391,1391,Tennessee,05-09-2020,14768,242
1441,1441,Tennessee,05-10-2020,14985,243
1491,1491,Tennessee,05-11-2020,15544,251
1541,1541,Tennessee,05-12-2020,16111,266
1591,1591,Tennessee,05-13-2020,16370,273
1641,1641,Tennessee,05-14-2020,16699,287
1691,1691,Tennessee,05-15-2020,16960,290
1741,1741,Tennessee,05-16-2020,17263,295
1791,1791,Tennessee,05-17-2020,17359,298
1841,1841,Tennessee,05-18-2020,18011,301
1891,1891,Tennessee,05-19-2020,18412,305
1941,1941,Tennessee,05-20-2020,18412,305
1991,1991,Tennessee,05-21-2020,18961,313
2041,2041,Tennessee,05-22-2020,19394,315
2091,2091,Tennessee,05-23-2020,19785,329
2141,2141,Tennessee,05-24-2020,20111,336
2191,2191,Tennessee,05-25-2020,20535,338
