,ID,Province_State,Date,Confirmed,Deaths
42,42,Texas,04-12-2020,13677,283
92,92,Texas,04-13-2020,14275,305
142,142,Texas,04-14-2020,15006,342
192,192,Texas,04-15-2020,15907,375
242,242,Texas,04-16-2020,16876,414
292,292,Texas,04-17-2020,17849,451
342,342,Texas,04-18-2020,18704,476
392,392,Texas,04-19-2020,19260,490
442,442,Texas,04-20-2020,19751,507
492,492,Texas,04-21-2020,20574,533
542,542,Texas,04-22-2020,21321,556
592,592,Texas,04-23-2020,22650,604
642,642,Texas,04-24-2020,23642,624
692,692,Texas,04-25-2020,24153,638
742,742,Texas,04-26-2020,24967,651
792,792,Texas,04-27-2020,25321,666
842,842,Texas,04-28-2020,26357,719
892,892,Texas,04-29-2020,27257,754
942,942,Texas,04-30-2020,28727,812
992,992,Texas,05-01-2020,29692,840
1042,1042,Texas,05-02-2020,30917,863
1092,1092,Texas,05-03-2020,31998,878
1142,1142,Texas,05-04-2020,32783,901
1192,1192,Texas,05-05-2020,33912,925
1242,1242,Texas,05-06-2020,34928,954
1292,1292,Texas,05-07-2020,36036,985
1342,1342,Texas,05-08-2020,37246,1025
1392,1392,Texas,05-09-2020,38394,1066
1442,1442,Texas,05-10-2020,39258,1094
1492,1492,Texas,05-11-2020,40555,1117
1542,1542,Texas,05-12-2020,41432,1146
1592,1592,Texas,05-13-2020,43020,1172
1642,1642,Texas,05-14-2020,44480,1235
1692,1692,Texas,05-15-2020,45721,1280
1742,1742,Texas,05-16-2020,47452,1318
1792,1792,Texas,05-17-2020,48396,1343
1842,1842,Texas,05-18-2020,49177,1350
1892,1892,Texas,05-19-2020,50552,1388
1942,1942,Texas,05-20-2020,51673,1426
1992,1992,Texas,05-21-2020,53053,1460
2042,2042,Texas,05-22-2020,53539,1470
2092,2092,Texas,05-23-2020,54776,1478
2142,2142,Texas,05-24-2020,55861,1528
2192,2192,Texas,05-25-2020,56409,1533
2242,2242,Texas,05-26-2020,57230,1546
2292,2292,Texas,05-27-2020,58542,1581
2342,2342,Texas,05-28-2020,60395,1611
2392,2392,Texas,05-29-2020,60901,1619
2442,2442,Texas,05-30-2020,62675,1652
2492,2492,Texas,05-31-2020,64652,1675
2542,2542,Texas,06-01-2020,65593,1683
2592,2592,Texas,06-02-2020,67310,1716
2642,2642,Texas,06-03-2020,68877,1744
2692,2692,Texas,06-04-2020,70555,1776
2742,2742,Texas,06-05-2020,72548,1812
2792,2792,Texas,06-06-2020,74470,1833
2842,2842,Texas,06-07-2020,75408,1841
2892,2892,Texas,06-08-2020,76463,1848
2942,2942,Texas,06-09-2020,78208,1867
2992,2992,Texas,06-10-2020,80777,1905
3042,3042,Texas,06-11-2020,82658,1930
3092,3092,Texas,06-12-2020,84927,1956
3142,3142,Texas,06-13-2020,86915,1971
3192,3192,Texas,06-14-2020,88523,1984
3242,3242,Texas,06-15-2020,90211,2001
3292,3292,Texas,06-16-2020,93569,2049
3342,3342,Texas,06-17-2020,97699,2089
3392,3392,Texas,06-18-2020,101259,2129
3442,3442,Texas,06-19-2020,105394,2158
3492,3492,Texas,06-20-2020,109581,2183
3542,3542,Texas,06-21-2020,112944,2191
3592,3592,Texas,06-22-2020,117790,2207
3642,3642,Texas,06-23-2020,122932,2236
3692,3692,Texas,06-24-2020,128132,2270
3742,3742,Texas,06-25-2020,134558,2317
3792,3792,Texas,06-26-2020,140173,2354
3842,3842,Texas,06-27-2020,145894,2388
3892,3892,Texas,06-28-2020,150152,2402
3942,3942,Texas,06-29-2020,156706,2416
3992,3992,Texas,06-30-2020,163060,2455
4042,4042,Texas,07-01-2020,172368,2503
4092,4092,Texas,07-02-2020,179137,2542
4142,4142,Texas,07-03-2020,185591,2592
4192,4192,Texas,07-04-2020,192153,2607
4242,4242,Texas,07-05-2020,194932,2628
4292,4292,Texas,07-06-2020,205642,2677
4342,4342,Texas,07-07-2020,216026,2778
4392,4392,Texas,07-08-2020,224929,2875
4442,4442,Texas,07-09-2020,236541,3006
4492,4492,Texas,07-10-2020,244756,3062
4542,4542,Texas,07-11-2020,254415,3138
4592,4592,Texas,07-12-2020,262762,3216
4642,4642,Texas,07-13-2020,269778,3276
4692,4692,Texas,07-14-2020,279577,3362
4742,4742,Texas,07-15-2020,289837,3498
4792,4792,Texas,07-16-2020,305854,3657
4842,4842,Texas,07-17-2020,317768,3820
4892,4892,Texas,07-18-2020,327106,3939
4942,4942,Texas,07-19-2020,335257,4012
4992,4992,Texas,07-20-2020,343783,4106
5042,5042,Texas,07-21-2020,351071,4199
5092,5092,Texas,07-22-2020,363615,4439
5142,5142,Texas,07-23-2020,373037,4622
5192,5192,Texas,07-24-2020,380364,4790
5242,5242,Texas,07-25-2020,390286,4990
5292,5292,Texas,07-26-2020,394084,5076
5342,5342,Texas,07-27-2020,400336,5713
5392,5392,Texas,07-28-2020,408493,5913
5442,5442,Texas,07-29-2020,418995,6193
5492,5492,Texas,07-30-2020,428229,6442
5542,5542,Texas,07-31-2020,438293,6576
5592,5592,Texas,08-01-2020,444738,6865
5642,5642,Texas,08-02-2020,448145,6878
5692,5692,Texas,08-03-2020,456624,7016
5742,5742,Texas,08-04-2020,466032,7271
5792,5792,Texas,08-05-2020,476999,7706
5842,5842,Texas,08-06-2020,483920,8569
5892,5892,Texas,08-07-2020,491304,8847
5942,5942,Texas,08-08-2020,497632,9058
5992,5992,Texas,08-09-2020,503328,9157
6042,6042,Texas,08-10-2020,509581,9230
6092,6092,Texas,08-11-2020,517700,9222
6142,6142,Texas,08-12-2020,523977,9527
