,ID,Province_State,Date,Confirmed,Deaths
43,43,Utah,04-12-2020,2303,18
93,93,Utah,04-13-2020,2363,13
143,143,Utah,04-14-2020,2417,18
193,193,Utah,04-15-2020,2548,20
243,243,Utah,04-16-2020,2683,20
293,293,Utah,04-17-2020,2793,23
343,343,Utah,04-18-2020,2917,25
393,393,Utah,04-19-2020,3069,27
443,443,Utah,04-20-2020,3213,28
493,493,Utah,04-21-2020,3297,32
543,543,Utah,04-22-2020,3445,32
593,593,Utah,04-23-2020,3612,35
643,643,Utah,04-24-2020,3782,39
693,693,Utah,04-25-2020,3948,41
743,743,Utah,04-26-2020,4123,41
793,793,Utah,04-27-2020,4236,41
843,843,Utah,04-28-2020,4345,41
893,893,Utah,04-29-2020,4497,45
943,943,Utah,04-30-2020,4672,46
993,993,Utah,05-01-2020,4828,46
1043,1043,Utah,05-02-2020,4985,49
1093,1093,Utah,05-03-2020,5175,50
1143,1143,Utah,05-04-2020,5317,50
1193,1193,Utah,05-05-2020,5449,56
1243,1243,Utah,05-06-2020,5595,58
1293,1293,Utah,05-07-2020,5724,61
1343,1343,Utah,05-08-2020,5919,61
1393,1393,Utah,05-09-2020,6103,66
1443,1443,Utah,05-10-2020,6251,67
1493,1493,Utah,05-11-2020,6362,68
1543,1543,Utah,05-12-2020,6432,73
1593,1593,Utah,05-13-2020,6620,75
1643,1643,Utah,05-14-2020,6749,75
1693,1693,Utah,05-15-2020,6913,77
1743,1743,Utah,05-16-2020,7068,78
1793,1793,Utah,05-17-2020,7238,80
1843,1843,Utah,05-18-2020,7384,80
1893,1893,Utah,05-19-2020,7518,88
1943,1943,Utah,05-20-2020,7710,90
1993,1993,Utah,05-21-2020,7874,92
2043,2043,Utah,05-22-2020,8057,93
2093,2093,Utah,05-23-2020,8260,97
2143,2143,Utah,05-24-2020,8392,97
2193,2193,Utah,05-25-2020,8521,98
2243,2243,Utah,05-26-2020,8620,101
2293,2293,Utah,05-27-2020,8706,105
2343,2343,Utah,05-28-2020,8921,106
2393,2393,Utah,05-29-2020,9264,107
2443,2443,Utah,05-30-2020,9533,112
2493,2493,Utah,05-31-2020,9797,113
2543,2543,Utah,06-01-2020,9999,113
2593,2593,Utah,06-02-2020,10202,113
2643,2643,Utah,06-03-2020,10497,117
2693,2693,Utah,06-04-2020,10813,117
2743,2743,Utah,06-05-2020,11252,120
2793,2793,Utah,06-06-2020,11798,121
2843,2843,Utah,06-07-2020,12066,121
2893,2893,Utah,06-08-2020,12322,124
2943,2943,Utah,06-09-2020,12559,127
2993,2993,Utah,06-10-2020,12864,128
3043,3043,Utah,06-11-2020,13252,131
3093,3093,Utah,06-12-2020,13577,139
3143,3143,Utah,06-13-2020,13981,139
3193,3193,Utah,06-14-2020,14313,139
3243,3243,Utah,06-15-2020,14608,143
3293,3293,Utah,06-16-2020,14937,145
3343,3343,Utah,06-17-2020,15344,149
3393,3393,Utah,06-18-2020,15839,152
3443,3443,Utah,06-19-2020,16425,155
3493,3493,Utah,06-20-2020,17068,155
3543,3543,Utah,06-21-2020,17462,158
3593,3593,Utah,06-22-2020,17906,158
3643,3643,Utah,06-23-2020,18300,163
3693,3693,Utah,06-24-2020,18784,163
