,ID,Province_State,Date,Confirmed,Deaths
45,45,Virginia,04-12-2020,5274,141
95,95,Virginia,04-13-2020,5747,149
145,145,Virginia,04-14-2020,6182,154
195,195,Virginia,04-15-2020,6500,195
245,245,Virginia,04-16-2020,6889,208
295,295,Virginia,04-17-2020,7491,231
345,345,Virginia,04-18-2020,8053,258
395,395,Virginia,04-19-2020,8542,277
445,445,Virginia,04-20-2020,8990,300
495,495,Virginia,04-21-2020,9630,324
545,545,Virginia,04-22-2020,10266,349
595,595,Virginia,04-23-2020,10998,373
645,645,Virginia,04-24-2020,11594,411
695,695,Virginia,04-25-2020,12366,437
745,745,Virginia,04-26-2020,12970,449
795,795,Virginia,04-27-2020,13538,460
845,845,Virginia,04-28-2020,14339,492
895,895,Virginia,04-29-2020,14962,522
945,945,Virginia,04-30-2020,15847,552
995,995,Virginia,05-01-2020,16902,581
1045,1045,Virginia,05-02-2020,17738,617
1095,1095,Virginia,05-03-2020,18672,660
1145,1145,Virginia,05-04-2020,19493,684
1195,1195,Virginia,05-05-2020,20257,713
1245,1245,Virginia,05-06-2020,20257,713
1295,1295,Virginia,05-07-2020,21570,769
1345,1345,Virginia,05-08-2020,22342,812
1395,1395,Virginia,05-09-2020,23196,827
1445,1445,Virginia,05-10-2020,24081,839
1495,1495,Virginia,05-11-2020,25070,850
1545,1545,Virginia,05-12-2020,25800,892
1595,1595,Virginia,05-13-2020,26746,928
1645,1645,Virginia,05-14-2020,27813,956
1695,1695,Virginia,05-15-2020,28672,978
1745,1745,Virginia,05-16-2020,29683,1003
1795,1795,Virginia,05-17-2020,30388,1010
1845,1845,Virginia,05-18-2020,31140,1015
1895,1895,Virginia,05-19-2020,32145,1042
1945,1945,Virginia,05-20-2020,32908,1075
1995,1995,Virginia,05-21-2020,34137,1100
2045,2045,Virginia,05-22-2020,34950,1136
2095,2095,Virginia,05-23-2020,35749,1159
2145,2145,Virginia,05-24-2020,36244,1171
2195,2195,Virginia,05-25-2020,37727,1208
2245,2245,Virginia,05-26-2020,39342,1236
2295,2295,Virginia,05-27-2020,40249,1281
2345,2345,Virginia,05-28-2020,41401,1338
2395,2395,Virginia,05-29-2020,42533,1358
2445,2445,Virginia,05-30-2020,43611,1370
2495,2495,Virginia,05-31-2020,44607,1375
2545,2545,Virginia,06-01-2020,45398,1392
2595,2595,Virginia,06-02-2020,46239,1407
2645,2645,Virginia,06-03-2020,46905,1428
2695,2695,Virginia,06-04-2020,47856,1445
2745,2745,Virginia,06-05-2020,48532,1454
2795,2795,Virginia,06-06-2020,49397,1461
2845,2845,Virginia,06-07-2020,50681,1472
2895,2895,Virginia,06-08-2020,51251,1477
2945,2945,Virginia,06-09-2020,51738,1496
2995,2995,Virginia,06-10-2020,52177,1514
3045,3045,Virginia,06-11-2020,52647,1520
3095,3095,Virginia,06-12-2020,53211,1534
3145,3145,Virginia,06-13-2020,53869,1541
3195,3195,Virginia,06-14-2020,54506,1546
3245,3245,Virginia,06-15-2020,54886,1552
3295,3295,Virginia,06-16-2020,55331,1570
3345,3345,Virginia,06-17-2020,55775,1583
3395,3395,Virginia,06-18-2020,56238,1586
3445,3445,Virginia,06-19-2020,56793,1602
3495,3495,Virginia,06-20-2020,57443,1607
3545,3545,Virginia,06-21-2020,57994,1611
3595,3595,Virginia,06-22-2020,58465,1620
3645,3645,Virginia,06-23-2020,58994,1645
3695,3695,Virginia,06-24-2020,59514,1661
3745,3745,Virginia,06-25-2020,59946,1675
3795,3795,Virginia,06-26-2020,60570,1700
3845,3845,Virginia,06-27-2020,61247,1724
3895,3895,Virginia,06-28-2020,61736,1732
3945,3945,Virginia,06-29-2020,62189,1740
3995,3995,Virginia,06-30-2020,62787,1763
4045,4045,Virginia,07-01-2020,63203,1786
4095,4095,Virginia,07-02-2020,63735,1816
4145,4145,Virginia,07-03-2020,64393,1845
4195,4195,Virginia,07-04-2020,65109,1849
4245,4245,Virginia,07-05-2020,65748,1853
4295,4295,Virginia,07-06-2020,66102,1853
4345,4345,Virginia,07-07-2020,66740,1881
4395,4395,Virginia,07-08-2020,67375,1905
4445,4445,Virginia,07-09-2020,67988,1937
4495,4495,Virginia,07-10-2020,68931,1958
4545,4545,Virginia,07-11-2020,69782,1962
4595,4595,Virginia,07-12-2020,70670,1966
4645,4645,Virginia,07-13-2020,71642,1968
4695,4695,Virginia,07-14-2020,72443,1977
4745,4745,Virginia,07-15-2020,73527,1992
4795,4795,Virginia,07-16-2020,74431,2007
4845,4845,Virginia,07-17-2020,75433,2013
4895,4895,Virginia,07-18-2020,76373,2025
4945,4945,Virginia,07-19-2020,77430,2027
4995,4995,Virginia,07-20-2020,78375,2031
5045,5045,Virginia,07-21-2020,79371,2048
5095,5095,Virginia,07-22-2020,80393,2051
5145,5145,Virginia,07-23-2020,81237,2054
5195,5195,Virginia,07-24-2020,82364,2067
5245,5245,Virginia,07-25-2020,83609,2075
5295,5295,Virginia,07-26-2020,84567,2078
5345,5345,Virginia,07-27-2020,86072,2082
5395,5395,Virginia,07-28-2020,86994,2095
5445,5445,Virginia,07-29-2020,87993,2125
5495,5495,Virginia,07-30-2020,88904,2141
5545,5545,Virginia,07-31-2020,89888,2174
5595,5595,Virginia,08-01-2020,90801,2215
5645,5645,Virginia,08-02-2020,91782,2218
5695,5695,Virginia,08-03-2020,93106,2218
5745,5745,Virginia,08-04-2020,94251,2244
5795,5795,Virginia,08-05-2020,95049,2274
5845,5845,Virginia,08-06-2020,95867,2299
5895,5895,Virginia,08-07-2020,97882,2317
5945,5945,Virginia,08-08-2020,99189,2322
5995,5995,Virginia,08-09-2020,100086,2326
6045,6045,Virginia,08-10-2020,100749,2327
6095,6095,Virginia,08-11-2020,101745,2344
6145,6145,Virginia,08-12-2020,102521,2352
6195,6195,Virginia,08-13-2020,103622,2363
6245,6245,Virginia,08-14-2020,104838,2370
6295,6295,Virginia,08-15-2020,105750,2381
6345,6345,Virginia,08-16-2020,106687,2381
6395,6395,Virginia,08-17-2020,107421,2385
6445,6445,Virginia,08-18-2020,108282,2396
6495,6495,Virginia,08-19-2020,109019,2410
6545,6545,Virginia,08-20-2020,109879,2427
6595,6595,Virginia,08-21-2020,110857,2436
6645,6645,Virginia,08-22-2020,112068,2443
6695,6695,Virginia,08-23-2020,112960,2467
6745,6745,Virginia,08-24-2020,113623,2471
6795,6795,Virginia,08-25-2020,114626,2494
6845,6845,Virginia,08-26-2020,115448,2515
6895,6895,Virginia,08-27-2020,116569,2527
6945,6945,Virginia,08-28-2020,117578,2550
6995,6995,Virginia,08-29-2020,118794,2568
7045,7045,Virginia,08-30-2020,119729,2569
7095,7095,Virginia,08-31-2020,120575,2580
