,ID,Province_State,Date,Confirmed,Deaths
46,46,Washington,04-12-2020,10609,506
96,96,Washington,04-13-2020,10635,513
146,146,Washington,04-14-2020,10799,530
196,196,Washington,04-15-2020,10942,552
246,246,Washington,04-16-2020,11057,579
296,296,Washington,04-17-2020,11517,603
346,346,Washington,04-18-2020,11776,613
396,396,Washington,04-19-2020,12255,636
446,446,Washington,04-20-2020,12114,643
496,496,Washington,04-21-2020,12392,664
546,546,Washington,04-22-2020,12596,686
596,596,Washington,04-23-2020,12753,711
646,646,Washington,04-24-2020,12977,722
696,696,Washington,04-25-2020,13319,737
746,746,Washington,04-26-2020,13521,749
796,796,Washington,04-27-2020,13686,764
846,846,Washington,04-28-2020,13842,786
896,896,Washington,04-29-2020,14070,801
946,946,Washington,04-30-2020,14327,814
996,996,Washington,05-01-2020,14637,824
1046,1046,Washington,05-02-2020,15003,830
1096,1096,Washington,05-03-2020,15185,834
1146,1146,Washington,05-04-2020,15462,841
1196,1196,Washington,05-05-2020,15594,862
1246,1246,Washington,05-06-2020,15905,870
1296,1296,Washington,05-07-2020,16231,891
1346,1346,Washington,05-08-2020,16388,905
1396,1396,Washington,05-09-2020,16674,921
1446,1446,Washington,05-10-2020,16891,931
1496,1496,Washington,05-11-2020,17122,945
1546,1546,Washington,05-12-2020,17330,962
1596,1596,Washington,05-13-2020,17512,974
1646,1646,Washington,05-14-2020,17773,983
1696,1696,Washington,05-15-2020,17951,991
1746,1746,Washington,05-16-2020,18288,999
1796,1796,Washington,05-17-2020,18433,1001
1846,1846,Washington,05-18-2020,18611,1002
1896,1896,Washington,05-19-2020,18811,1031
1946,1946,Washington,05-20-2020,18971,1037
1996,1996,Washington,05-21-2020,19117,1044
2046,2046,Washington,05-22-2020,19265,1050
2096,2096,Washington,05-23-2020,19265,1050
2146,2146,Washington,05-24-2020,19828,1061
2196,2196,Washington,05-25-2020,20065,1070
2246,2246,Washington,05-26-2020,20181,1078
2296,2296,Washington,05-27-2020,20406,1095
2346,2346,Washington,05-28-2020,20764,1106
2396,2396,Washington,05-29-2020,21071,1111
2446,2446,Washington,05-30-2020,21349,1118
2496,2496,Washington,05-31-2020,21702,1118
2546,2546,Washington,06-01-2020,21977,1123
2596,2596,Washington,06-02-2020,22157,1129
2646,2646,Washington,06-03-2020,22484,1135
2696,2696,Washington,06-04-2020,22729,1138
2746,2746,Washington,06-05-2020,22993,1149
2796,2796,Washington,06-06-2020,23442,1153
2846,2846,Washington,06-07-2020,23729,1157
2896,2896,Washington,06-08-2020,24041,1161
2946,2946,Washington,06-09-2020,24354,1176
2996,2996,Washington,06-10-2020,24354,1176
3046,3046,Washington,06-11-2020,24779,1194
3096,3096,Washington,06-12-2020,25171,1204
3146,3146,Washington,06-13-2020,25538,1213
3196,3196,Washington,06-14-2020,25834,1217
3246,3246,Washington,06-15-2020,26158,1220
3296,3296,Washington,06-16-2020,26531,1231
3346,3346,Washington,06-17-2020,26784,1226
3396,3396,Washington,06-18-2020,27192,1245
3446,3446,Washington,06-19-2020,27601,1255
3496,3496,Washington,06-20-2020,28225,1265
3546,3546,Washington,06-21-2020,28680,1270
3596,3596,Washington,06-22-2020,28870,1276
3646,3646,Washington,06-23-2020,29386,1284
3696,3696,Washington,06-24-2020,29869,1293
3746,3746,Washington,06-25-2020,30367,1300
3796,3796,Washington,06-26-2020,30855,1304
3846,3846,Washington,06-27-2020,31404,1310
3896,3896,Washington,06-28-2020,31752,1310
3946,3946,Washington,06-29-2020,32253,1320
3996,3996,Washington,06-30-2020,32824,1332
4046,4046,Washington,07-01-2020,33435,1339
4096,4096,Washington,07-02-2020,34151,1342
4146,4146,Washington,07-03-2020,34778,1352
4196,4196,Washington,07-04-2020,35247,1354
4246,4246,Washington,07-05-2020,35898,1359
4296,4296,Washington,07-06-2020,36985,1369
4346,4346,Washington,07-07-2020,37420,1384
4396,4396,Washington,07-08-2020,37941,1394
4446,4446,Washington,07-09-2020,38581,1409
4496,4496,Washington,07-10-2020,39218,1424
4546,4546,Washington,07-11-2020,39218,1424
4596,4596,Washington,07-12-2020,40656,1438
4646,4646,Washington,07-13-2020,41757,1399
4696,4696,Washington,07-14-2020,42304,1404
4746,4746,Washington,07-15-2020,43046,1421
4796,4796,Washington,07-16-2020,44313,1427
4846,4846,Washington,07-17-2020,45067,1434
4896,4896,Washington,07-18-2020,46026,1444
4946,4946,Washington,07-19-2020,46946,1447
4996,4996,Washington,07-20-2020,47743,1453
5046,5046,Washington,07-21-2020,48575,1465
5096,5096,Washington,07-22-2020,49247,1468
5146,5146,Washington,07-23-2020,50009,1482
5196,5196,Washington,07-24-2020,50824,1495
5246,5246,Washington,07-25-2020,51849,1494
5296,5296,Washington,07-26-2020,52635,1501
5346,5346,Washington,07-27-2020,53321,1518
5396,5396,Washington,07-28-2020,54205,1548
5446,5446,Washington,07-29-2020,54985,1555
5496,5496,Washington,07-30-2020,55803,1564
5546,5546,Washington,07-31-2020,55803,1564
5596,5596,Washington,08-01-2020,57541,1592
5646,5646,Washington,08-02-2020,58173,1596
5696,5696,Washington,08-03-2020,58715,1600
5746,5746,Washington,08-04-2020,59379,1619
5796,5796,Washington,08-05-2020,60084,1624
5846,5846,Washington,08-06-2020,60917,1653
5896,5896,Washington,08-07-2020,61587,1672
5946,5946,Washington,08-08-2020,62523,1688
5996,5996,Washington,08-09-2020,63072,1688
6046,6046,Washington,08-10-2020,63647,1697
6096,6096,Washington,08-11-2020,64151,1716
6146,6146,Washington,08-12-2020,64702,1724
6196,6196,Washington,08-13-2020,65339,1736
6246,6246,Washington,08-14-2020,66139,1755
6296,6296,Washington,08-15-2020,66885,1766
6346,6346,Washington,08-16-2020,67461,1781
6396,6396,Washington,08-17-2020,67721,1785
6446,6446,Washington,08-18-2020,68263,1808
6496,6496,Washington,08-19-2020,68689,1822
6546,6546,Washington,08-20-2020,69389,1837
6596,6596,Washington,08-21-2020,69779,1850
6646,6646,Washington,08-22-2020,70595,1857
6696,6696,Washington,08-23-2020,71012,1863
6746,6746,Washington,08-24-2020,71371,1867
6796,6796,Washington,08-25-2020,71705,1876
6846,6846,Washington,08-26-2020,72161,1880
6896,6896,Washington,08-27-2020,72703,1890
6946,6946,Washington,08-28-2020,73301,1905
6996,6996,Washington,08-29-2020,73879,1905
7046,7046,Washington,08-30-2020,74320,1905
7096,7096,Washington,08-31-2020,74635,1915
