,ID,Province_State,Date,Confirmed,Deaths
47,47,West Virginia,04-12-2020,593,6
97,97,West Virginia,04-13-2020,611,8
147,147,West Virginia,04-14-2020,640,9
197,197,West Virginia,04-15-2020,702,10
247,247,West Virginia,04-16-2020,728,12
297,297,West Virginia,04-17-2020,775,16
347,347,West Virginia,04-18-2020,785,16
397,397,West Virginia,04-19-2020,890,18
447,447,West Virginia,04-20-2020,902,24
497,497,West Virginia,04-21-2020,908,26
547,547,West Virginia,04-22-2020,939,27
597,597,West Virginia,04-23-2020,981,31
647,647,West Virginia,04-24-2020,1010,32
697,697,West Virginia,04-25-2020,1010,32
747,747,West Virginia,04-26-2020,1055,34
797,797,West Virginia,04-27-2020,1063,34
847,847,West Virginia,04-28-2020,1095,38
897,897,West Virginia,04-29-2020,1110,38
947,947,West Virginia,04-30-2020,1125,41
997,997,West Virginia,05-01-2020,1152,46
1047,1047,West Virginia,05-02-2020,1185,48
1097,1097,West Virginia,05-03-2020,1195,48
1147,1147,West Virginia,05-04-2020,1224,48
1197,1197,West Virginia,05-05-2020,1246,48
1247,1247,West Virginia,05-06-2020,1242,50
1297,1297,West Virginia,05-07-2020,1287,51
1347,1347,West Virginia,05-08-2020,1323,52
1397,1397,West Virginia,05-09-2020,1323,52
1447,1447,West Virginia,05-10-2020,1360,54
1497,1497,West Virginia,05-11-2020,1366,54
1547,1547,West Virginia,05-12-2020,1378,58
1597,1597,West Virginia,05-13-2020,1398,58
1647,1647,West Virginia,05-14-2020,1427,60
1697,1697,West Virginia,05-15-2020,1447,64
1747,1747,West Virginia,05-16-2020,1470,64
1797,1797,West Virginia,05-17-2020,1492,67
1847,1847,West Virginia,05-18-2020,1502,68
1897,1897,West Virginia,05-19-2020,1502,68
1947,1947,West Virginia,05-20-2020,1567,69
1997,1997,West Virginia,05-21-2020,1593,70
2047,2047,West Virginia,05-22-2020,1705,72
2097,2097,West Virginia,05-23-2020,1705,72
2147,2147,West Virginia,05-24-2020,1759,72
2197,2197,West Virginia,05-25-2020,1774,72
2247,2247,West Virginia,05-26-2020,1774,72
2297,2297,West Virginia,05-27-2020,1899,74
2347,2347,West Virginia,05-28-2020,1935,74
2397,2397,West Virginia,05-29-2020,1951,74
