,ID,Province_State,Date,Confirmed,Deaths
48,48,Wisconsin,04-12-2020,3341,144
98,98,Wisconsin,04-13-2020,3428,154
148,148,Wisconsin,04-14-2020,3555,170
198,198,Wisconsin,04-15-2020,3721,183
248,248,Wisconsin,04-16-2020,3875,197
298,298,Wisconsin,04-17-2020,4053,206
348,348,Wisconsin,04-18-2020,4199,212
398,398,Wisconsin,04-19-2020,4346,220
448,448,Wisconsin,04-20-2020,4499,230
498,498,Wisconsin,04-21-2020,4625,244
548,548,Wisconsin,04-22-2020,4845,248
598,598,Wisconsin,04-23-2020,5052,258
648,648,Wisconsin,04-24-2020,5356,263
698,698,Wisconsin,04-25-2020,5687,266
748,748,Wisconsin,04-26-2020,5912,272
798,798,Wisconsin,04-27-2020,6081,281
848,848,Wisconsin,04-28-2020,6289,300
898,898,Wisconsin,04-29-2020,6520,308
948,948,Wisconsin,04-30-2020,6854,316
998,998,Wisconsin,05-01-2020,7314,327
1048,1048,Wisconsin,05-02-2020,7660,334
1098,1098,Wisconsin,05-03-2020,7964,339
1148,1148,Wisconsin,05-04-2020,8236,340
1198,1198,Wisconsin,05-05-2020,8566,353
1248,1248,Wisconsin,05-06-2020,8901,362
1298,1298,Wisconsin,05-07-2020,9215,374
1348,1348,Wisconsin,05-08-2020,9590,384
1398,1398,Wisconsin,05-09-2020,9939,398
1448,1448,Wisconsin,05-10-2020,10219,400
1498,1498,Wisconsin,05-11-2020,10418,409
1548,1548,Wisconsin,05-12-2020,10611,418
1598,1598,Wisconsin,05-13-2020,10902,421
1648,1648,Wisconsin,05-14-2020,11275,434
1698,1698,Wisconsin,05-15-2020,11685,445
1748,1748,Wisconsin,05-16-2020,12187,453
1798,1798,Wisconsin,05-17-2020,12543,453
1848,1848,Wisconsin,05-18-2020,12687,459
1898,1898,Wisconsin,05-19-2020,12885,467
1948,1948,Wisconsin,05-20-2020,13413,481
1998,1998,Wisconsin,05-21-2020,13885,487
2048,2048,Wisconsin,05-22-2020,14396,496
2098,2098,Wisconsin,05-23-2020,14877,507
2148,2148,Wisconsin,05-24-2020,15277,510
2198,2198,Wisconsin,05-25-2020,15584,514
2248,2248,Wisconsin,05-26-2020,15863,517
2298,2298,Wisconsin,05-27-2020,16462,539
2348,2348,Wisconsin,05-28-2020,16974,550
2398,2398,Wisconsin,05-29-2020,17707,568
2448,2448,Wisconsin,05-30-2020,18230,588
2498,2498,Wisconsin,05-31-2020,18403,592
2548,2548,Wisconsin,06-01-2020,18543,595
2598,2598,Wisconsin,06-02-2020,18917,607
2648,2648,Wisconsin,06-03-2020,19400,616
2698,2698,Wisconsin,06-04-2020,19892,626
2748,2748,Wisconsin,06-05-2020,20249,633
2798,2798,Wisconsin,06-06-2020,20571,645
2848,2848,Wisconsin,06-07-2020,20835,647
2898,2898,Wisconsin,06-08-2020,21038,646
2948,2948,Wisconsin,06-09-2020,21308,661
2998,2998,Wisconsin,06-10-2020,21593,671
3048,3048,Wisconsin,06-11-2020,21926,682
3098,3098,Wisconsin,06-12-2020,22246,689
3148,3148,Wisconsin,06-13-2020,22518,691
3198,3198,Wisconsin,06-14-2020,22758,692
3248,3248,Wisconsin,06-15-2020,22932,694
3298,3298,Wisconsin,06-16-2020,23198,703
3348,3348,Wisconsin,06-17-2020,23456,713
3398,3398,Wisconsin,06-18-2020,23876,719
3448,3448,Wisconsin,06-19-2020,24154,730
3498,3498,Wisconsin,06-20-2020,24539,744
3548,3548,Wisconsin,06-21-2020,24819,744
3598,3598,Wisconsin,06-22-2020,25068,745
3648,3648,Wisconsin,06-23-2020,25331,750
3698,3698,Wisconsin,06-24-2020,25763,757
3748,3748,Wisconsin,06-25-2020,26227,766
3798,3798,Wisconsin,06-26-2020,26747,766
3848,3848,Wisconsin,06-27-2020,27286,777
3898,3898,Wisconsin,06-28-2020,27743,777
3948,3948,Wisconsin,06-29-2020,28058,777
3998,3998,Wisconsin,06-30-2020,28659,784
4048,4048,Wisconsin,07-01-2020,29199,786
4098,4098,Wisconsin,07-02-2020,29738,793
4148,4148,Wisconsin,07-03-2020,30317,796
4198,4198,Wisconsin,07-04-2020,31055,796
4248,4248,Wisconsin,07-05-2020,31577,796
4298,4298,Wisconsin,07-06-2020,32061,796
4348,4348,Wisconsin,07-07-2020,32556,805
4398,4398,Wisconsin,07-08-2020,33154,807
4448,4448,Wisconsin,07-09-2020,33908,809
4498,4498,Wisconsin,07-10-2020,34753,814
4548,4548,Wisconsin,07-11-2020,35679,821
4598,4598,Wisconsin,07-12-2020,36448,820
4648,4648,Wisconsin,07-13-2020,36942,820
4698,4698,Wisconsin,07-14-2020,37906,826
4748,4748,Wisconsin,07-15-2020,38727,827
4798,4798,Wisconsin,07-16-2020,39627,831
4848,4848,Wisconsin,07-17-2020,40507,833
4898,4898,Wisconsin,07-18-2020,41485,843
4948,4948,Wisconsin,07-19-2020,42315,844
4998,4998,Wisconsin,07-20-2020,43018,846
5048,5048,Wisconsin,07-21-2020,44135,859
5098,5098,Wisconsin,07-22-2020,44847,865
5148,5148,Wisconsin,07-23-2020,45899,878
5198,5198,Wisconsin,07-24-2020,46917,878
5248,5248,Wisconsin,07-25-2020,47870,891
5298,5298,Wisconsin,07-26-2020,48827,892
5348,5348,Wisconsin,07-27-2020,49417,893
5398,5398,Wisconsin,07-28-2020,50179,906
5448,5448,Wisconsin,07-29-2020,51049,911
5498,5498,Wisconsin,07-30-2020,52108,919
5548,5548,Wisconsin,07-31-2020,52940,934
5598,5598,Wisconsin,08-01-2020,54002,947
5648,5648,Wisconsin,08-02-2020,54924,948
5698,5698,Wisconsin,08-03-2020,55328,949
5748,5748,Wisconsin,08-04-2020,56056,961
5798,5798,Wisconsin,08-05-2020,56940,970
5848,5848,Wisconsin,08-06-2020,57779,978
5898,5898,Wisconsin,08-07-2020,58768,990
5948,5948,Wisconsin,08-08-2020,59933,996
5998,5998,Wisconsin,08-09-2020,60554,998
6048,6048,Wisconsin,08-10-2020,61061,998
6098,6098,Wisconsin,08-11-2020,61785,1006
6148,6148,Wisconsin,08-12-2020,62263,1011
6198,6198,Wisconsin,08-13-2020,63206,1018
6248,6248,Wisconsin,08-14-2020,64227,1025
6298,6298,Wisconsin,08-15-2020,65056,1038
6348,6348,Wisconsin,08-16-2020,65741,1039
