,ID,Province_State,Date,Confirmed,Deaths
49,49,Wyoming,04-12-2020,270,0
99,99,Wyoming,04-13-2020,275,1
149,149,Wyoming,04-14-2020,282,1
199,199,Wyoming,04-15-2020,287,1
249,249,Wyoming,04-16-2020,296,2
299,299,Wyoming,04-17-2020,305,2
349,349,Wyoming,04-18-2020,309,2
399,399,Wyoming,04-19-2020,313,2
449,449,Wyoming,04-20-2020,317,2
499,499,Wyoming,04-21-2020,443,2
549,549,Wyoming,04-22-2020,447,6
599,599,Wyoming,04-23-2020,453,7
649,649,Wyoming,04-24-2020,473,7
699,699,Wyoming,04-25-2020,491,7
749,749,Wyoming,04-26-2020,502,7
799,799,Wyoming,04-27-2020,520,7
849,849,Wyoming,04-28-2020,536,7
899,899,Wyoming,04-29-2020,545,7
949,949,Wyoming,04-30-2020,559,7
999,999,Wyoming,05-01-2020,566,7
1049,1049,Wyoming,05-02-2020,579,7
1099,1099,Wyoming,05-03-2020,586,7
1149,1149,Wyoming,05-04-2020,596,7
1199,1199,Wyoming,05-05-2020,604,7
1249,1249,Wyoming,05-06-2020,631,7
1299,1299,Wyoming,05-07-2020,635,7
1349,1349,Wyoming,05-08-2020,644,7
1399,1399,Wyoming,05-09-2020,653,7
1449,1449,Wyoming,05-10-2020,662,7
1499,1499,Wyoming,05-11-2020,669,7
1549,1549,Wyoming,05-12-2020,675,7
1599,1599,Wyoming,05-13-2020,688,7
1649,1649,Wyoming,05-14-2020,701,7
1699,1699,Wyoming,05-15-2020,716,7
1749,1749,Wyoming,05-16-2020,741,7
1799,1799,Wyoming,05-17-2020,754,8
1849,1849,Wyoming,05-18-2020,766,10
1899,1899,Wyoming,05-19-2020,776,10
1949,1949,Wyoming,05-20-2020,787,11
1999,1999,Wyoming,05-21-2020,801,12
2049,2049,Wyoming,05-22-2020,803,12
2099,2099,Wyoming,05-23-2020,813,12
2149,2149,Wyoming,05-24-2020,838,12
2199,2199,Wyoming,05-25-2020,843,12
2249,2249,Wyoming,05-26-2020,850,13
2299,2299,Wyoming,05-27-2020,860,14
2349,2349,Wyoming,05-28-2020,876,15
2399,2399,Wyoming,05-29-2020,891,15
2449,2449,Wyoming,05-30-2020,898,16
2499,2499,Wyoming,05-31-2020,903,16
2549,2549,Wyoming,06-01-2020,910,17
2599,2599,Wyoming,06-02-2020,912,17
2649,2649,Wyoming,06-03-2020,915,17
2699,2699,Wyoming,06-04-2020,921,17
2749,2749,Wyoming,06-05-2020,933,17
2799,2799,Wyoming,06-06-2020,939,17
2849,2849,Wyoming,06-07-2020,947,17
2899,2899,Wyoming,06-08-2020,960,17
2949,2949,Wyoming,06-09-2020,970,17
2999,2999,Wyoming,06-10-2020,980,18
3049,3049,Wyoming,06-11-2020,1009,18
3099,3099,Wyoming,06-12-2020,1027,18
3149,3149,Wyoming,06-13-2020,1050,18
3199,3199,Wyoming,06-14-2020,1060,18
3249,3249,Wyoming,06-15-2020,1079,18
3299,3299,Wyoming,06-16-2020,1089,18
3349,3349,Wyoming,06-17-2020,1114,18
3399,3399,Wyoming,06-18-2020,1144,18
3449,3449,Wyoming,06-19-2020,1173,20
3499,3499,Wyoming,06-20-2020,1179,20
3549,3549,Wyoming,06-21-2020,1197,20
3599,3599,Wyoming,06-22-2020,1230,20
3649,3649,Wyoming,06-23-2020,1254,20
3699,3699,Wyoming,06-24-2020,1282,20
3749,3749,Wyoming,06-25-2020,1326,20
3799,3799,Wyoming,06-26-2020,1368,20
3849,3849,Wyoming,06-27-2020,1392,20
3899,3899,Wyoming,06-28-2020,1417,20
3949,3949,Wyoming,06-29-2020,1450,20
3999,3999,Wyoming,06-30-2020,1487,20
4049,4049,Wyoming,07-01-2020,1514,20
4099,4099,Wyoming,07-02-2020,1550,20
4149,4149,Wyoming,07-03-2020,1582,20
4199,4199,Wyoming,07-04-2020,1606,20
4249,4249,Wyoming,07-05-2020,1634,20
4299,4299,Wyoming,07-06-2020,1675,20
4349,4349,Wyoming,07-07-2020,1709,21
4399,4399,Wyoming,07-08-2020,1740,21
4449,4449,Wyoming,07-09-2020,1769,21
4499,4499,Wyoming,07-10-2020,1790,21
4549,4549,Wyoming,07-11-2020,1839,21
4599,4599,Wyoming,07-12-2020,1862,21
4649,4649,Wyoming,07-13-2020,1903,21
4699,4699,Wyoming,07-14-2020,1950,22
4749,4749,Wyoming,07-15-2020,1985,22
4799,4799,Wyoming,07-16-2020,2026,24
4849,4849,Wyoming,07-17-2020,2069,24
4899,4899,Wyoming,07-18-2020,2108,24
4949,4949,Wyoming,07-19-2020,2126,25
4999,4999,Wyoming,07-20-2020,2187,24
5049,5049,Wyoming,07-21-2020,2238,25
5099,5099,Wyoming,07-22-2020,2288,25
5149,5149,Wyoming,07-23-2020,2347,25
5199,5199,Wyoming,07-24-2020,2405,25
5249,5249,Wyoming,07-25-2020,2446,25
5299,5299,Wyoming,07-26-2020,2475,25
5349,5349,Wyoming,07-27-2020,2520,25
